"Figure 6.1: Key telecoms indicators, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I only use a landline,6.30%,5.60%,9.60%,0.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I use a landline when I can – it's cheaper than mobile,47.20%,37.50%,63.00%,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I use a landline only for specific calls and mobile for the rest,34.60%,50.90%,22.00%,52.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I only use a mobile,12.00%,5.90%,5.50%,31.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Analysys Mason Connected Consumer, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.70: Average cost of a fixed voice call minute, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pence per minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,16.7,19.2,21.1,22.3,22.4,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,11.4,11.2,10.5,10.9,10.5,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,6.7,7.1,7.4,8.4,9.2,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,12.2,10.7,9.6,9.3,9.4,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,11.8,11.3,10.8,10.3,9.6,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,9.3,9.5,9.3,9,8.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,4.9,5.1,5.4,5.6,6.5,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,6.7,6.4,6.6,6.7,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,12.2,11,10.5,11.2,11.7,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,,,9.8,9.7,9.8,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,10,10.1,9.6,9.1,9.1,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,7.8,7.1,6.9,6.3,7.7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,,,,,9.2,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,5.1,5.5,6.1,6.6,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,5.6,5.5,5.4,5.5,5.4,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.71: Average cost of an outgoing mobile voice call minute, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pence per minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,32.7,31,29.4,26.6,21.2,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,42,37.7,29.8,21.1,18.2,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,16.9,16.3,14.6,14.2,14.2,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,15.1,14.4,12.9,11.2,10,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,16.8,15.1,12.8,11,9,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,11.9,10.8,9.8,8.7,8.2,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,7.1,6.4,6.1,6.1,5.4,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,5.4,4.5,3.9,3.5,3.3,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,21,18.1,16.7,16.2,15.1,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,13.4,15.4,15.5,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,20.4,18,13.9,11.5,9.4,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,18.6,12.5,11,9.9,9.1,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,15.9,12.7,10,9,7.7,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,20.6,17.6,12.1,9.3,7.6,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,5.8,5.5,6,5.2,3.8,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2.2,1.9,1.5,1.2,1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,1.8,1.2,0.9,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: USA, CAN and CHN calculation includes incoming call revenues ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.72: Average mobile voice call use and the comparative cost of fixed and mobile voice calls, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly minutes per person / mobile call cost premium (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mobile voice premium,Average calls per person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,69.60%,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,-15.50%,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,103.30%,92.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,-21.40%,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,77.30%,127.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,56.40%,130.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,27.50%,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,-17.00%,163.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,22.60%,181.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,-28.80%,185.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,-18.60%,198.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,-88.80%,247.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,-5.30%,253.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,-43.40%,311.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,-69.00%,617.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: USA, CAN and CHN include incoming calls ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.73: Fixed broadband connections per 100 people, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,Total,Total,Total,,,,,,,,,,,,,,
2004,10.16,10.75,8.32,8.08,12.1,18.2,14.61,6.9,7.97,19.49,15.25,3.21,2.27,1.4,0.81,0.02,1.92,,3.481516638,11.18186649,1.066496,,,,,,,,,,,,,,
2009,29.33,30.32,30.29,21.2,27.28,30.78,24.97,24.97,20.84,37.05,32.48,21.18,13.56,5.56,10.59,0.68,7.77,,9.950379329,26.53393754,4.838062901,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.74: Proportion of consumers with fixed broadband who buy it in conjunction with another service, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double-play,42%,47%,58%,62%,38%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triple-play,31%,34%,22%,14%,31%,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quad-play,4%,8%,3%,4%,5%,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77%,89%,83%,80%,74%,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All with a broadband connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base sizes: UK=930, France=993, Germany=793, Italy=844, USA=904, Japan=943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.75: Mobile broadband connections per 100 population, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6.7,3.3,4,6.8,3.8,1.5,11.9,10.5,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: European Commission's 15th Progress Report on the Single European Electronic Communications Market, 2009  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.76: Household penetration of fixed and mobile broadband, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed only,82%,88%,66%,69%,83%,84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed and mobile,10%,10%,12%,15%,6%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile only,6%,1%,11%,13%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All with a broadband connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base sizes: UK=930, France=993, Germany=793, Italy=844, USA=904, Japan=943 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.77: Proportion of people using a mobile handset to access the internet at home, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents,29%,26%,18%,23%,27%,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base sizes: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.78: Devices used to access the internet at home, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop computer,58%,68%,68%,63%,74%,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop computer,69%,61%,62%,72%,59%,48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Video games console,14%,13%,7%,8%,14%,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base sizes: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.79: Online activities undertaken at home, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access email,94%,94%,93%,92%,94%,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use social networking sites,62%,58%,54%,66%,64%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instant messaging,42%,65%,40%,53%,47%,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make voice calls (VoIP),18%,29%,19%,28%,15%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base sizes: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.80: Three most frequently-mentioned mobile data services used, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,,FRA,,,GER,,,ITA,,,USA,,,JPN,,,,,,,,,,,,,,,,,,,
,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,,,,,,,,,,,,,,,,,
Text message,89%,,,88%,,,88%,,,89%,,,71%,,,,,34%,,,,,,,,,,,,,,,,,
Email,,,,,,,,,,,,,,,27%,90%,,,,,,,,,,,,,,,,,,,
Picture message,,,29%,,42%,,,,26%,,42%,,,,,,,,,,,,,,,,,,,,,,,,
Access the internet,,37%,,,,37%,,27%,,,,31%,,36%,,,70%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: all who own and use a mobile phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base sizes: UK=918, France=853, Germany=822, Italy=910, USA=854, Japan=750 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.81: Average monthly mobile messages per person, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Messages per person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,,
2004,37.358,13.878,20.006,15.902,1.815,0,136.576,24.806,,19.204,78.913,17.255,,,,,,,,,,,,,,,,,,,,,,,
2009,140.257,81.982,35.01,297.919,88.015,0,253.555,19.607,44.324,151.156,217.995,104.882,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for the USA include push-to-text and are not comparable to the other comparator countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.82: Four most frequently used non-SMS mobile data services, by country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,ESP,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,60%,60%,41%,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social networks,44%,40%,36%,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geolocation,39%,42%,44%,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instant Messaging,32%,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch TV,,35%,,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Orange Mobile Exposure 2010 study: http://exposure2010.orangeadvertisingnetwork.co.uk/pdf/Consumer-Orange-Exposure-English-FINAL.pdf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.83: Average monthly revenue per fixed broadband connection, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£s per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,29.64,22.84,26.76,23.26,24.82,27.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,27.07,26.33,26.93,26.2,24.78,25.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,32.59,26.39,27.83,25.79,25.51,24.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,27.65,23.51,23.05,23.31,22.99,23.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,20.49,21.02,21.64,22.5,22.83,23.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,24.64,22.1,21.1,21.1,21.44,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,32.13,25.14,21.33,19.53,17.75,16.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,24.41,22.2,19.65,18.15,16.68,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,41.87,37.61,30.73,28.25,28.14,26.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,33.11,26.72,25.52,23.91,23.89,26.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,62.17,44.41,31.08,26.1,22.33,20.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,29.9,27.2,24.26,21.83,21.25,20.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,17.65,18.93,18.55,12.58,11.39,11.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.84: Least expensive bundled offer of fixed-line and broadband connection, October 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£s per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA - CA,USA - NY,USA - COL,CAN,JPN,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,
>4-8Mbit/s,16.54,35.33,29.49,36.79,48.88,59.43,44.23,36.9,28.19,36.61,27.94,29.8,47.37,52.75,,,,,,,,,,,,,,,,,,,,,
>8-20Mbit/s,36.28,31.79,31.41,43.07,63.45,56,51.22,41,30.71,47.57,32.66,24.88,46.72,76.72,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: European Commission - Broadband Internet Access Cost, Second Semester 2009, http://ec.europa.eu/information_society/eeurope/i2010/docs/eda/biac_2009.pdf P134 and 139 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures show the cost of the least expensive tariff from those offered by the three largest ISPs in each territory and include a fixed telephone line and a broadband internet connection with 30GB or 20 hours per month of internet use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
