Title:,River Water Quality: 1990 to 2006,,,,,,,,,,,,,,,,,,,,,
North West,149,Bolton,2000,chemistry,3.9,25.4,20.4,0,10.4,2.4,62.5,6.3,40.6,32.6,0,16.7,3.8,46.9,32.6,16.7,3.8,
North West,149,Bolton,2000,nitrate,17,30,14.5,1,0,0,62.5,27.2,47.9,23.2,1.6,0,0,,,,,0
North West,149,Bolton,2000,phosphate,0,6.2,20.7,23.8,11.9,0,62.5,0,9.8,33.1,38.1,19,0,,,,,57
North West,149,Bolton,2001,chemistry,1.2,23.9,19.3,6.5,9.3,2.4,62.5,1.9,38.3,30.8,10.4,14.8,3.8,40.1,41.2,14.8,3.8,
North West,149,Bolton,2001,nitrate,34.8,13.2,13.5,0,1,0,62.5,55.6,21.1,21.6,0,1.6,0,,,,,1.6
North West,149,Bolton,2001,phosphate,0,10.4,17.1,22.8,12.2,0,62.5,0,16.6,27.4,36.5,19.5,0,,,,,56
North West,149,Bolton,2002,phosphate,0,10.4,16.5,22.4,13.2,0,62.5,0,16.6,26.4,35.8,21.2,0,,,,,57
North West,149,Bolton,2002,biology,1.2,14,8.9,21.8,11.4,2.4,59.7,1.9,23.4,14.9,36.5,19.2,4,25.3,51.5,19.2,4,
North West,149,Bolton,2002,chemistry,1.2,19.7,23.5,6.5,9.3,2.4,62.5,1.9,31.5,37.6,10.4,14.8,3.8,33.4,48,14.8,3.8,
North West,149,Bolton,2002,nitrate,39,8,14.5,0,1,0,62.5,62.4,12.7,23.2,0,1.6,0,,,,,1.6
North West,149,Bolton,2003,phosphate,0,8.9,14.6,15.2,23.8,0,62.5,0,14.2,23.4,24.4,38,0,,,,,62.4
North West,149,Bolton,2003,nitrate,40.7,6.3,14.5,0,1,0,62.5,65,10.1,23.2,0,1.6,0,,,,,1.6
North West,149,Bolton,2003,chemistry,3.9,15.7,15.4,14.7,10.4,2.4,62.5,6.3,25.1,24.6,23.5,16.7,3.8,31.4,48.1,16.7,3.8,
North West,149,Bolton,2003,biology,1.2,14,4.2,28.6,9.4,2.4,59.7,1.9,23.4,7.1,47.9,15.7,4,25.3,54.9,15.7,4,
North West,149,Bolton,2004,biology,5.3,9.8,12.9,21.5,8.3,2.4,60.3,8.8,16.3,21.5,35.6,13.9,4,25.1,57.1,13.9,4,
North West,149,Bolton,2004,chemistry,1.2,21.9,22.5,6.4,8.2,2.4,62.5,1.9,35.1,35.9,10.2,13.1,3.8,36.9,46.1,13.1,3.8,
North West,149,Bolton,2004,nitrate,38.4,11,12.1,1,0,0,62.5,61.4,17.6,19.4,1.6,0,0,,,,,0
North West,149,Bolton,2004,phosphate,0,1.2,23,14.5,23.8,0,62.5,0,1.9,36.8,23.3,38,0,,,,,61.3
North West,149,Bolton,2005,biology,5.3,4.8,18.6,22.1,7.1,2.4,60.3,8.8,8,30.8,36.7,11.8,4,16.8,67.5,11.8,4,
North West,149,Bolton,2005,chemistry,8.3,15.4,18.6,9.7,8.2,2.4,62.5,13.3,24.6,29.7,15.4,13.1,3.8,37.9,45.1,13.1,3.8,
North West,149,Bolton,2005,nitrate,35,14.4,12.1,1,0,0,62.5,55.9,23.1,19.4,1.6,0,0,,,,,0
North West,149,Bolton,2005,phosphate,0,1.2,23,14.5,21.4,2.4,62.5,0,1.9,36.8,23.3,34.2,3.8,,,,,61.3
North West,149,Bolton,2006,nitrate,25.3,21.6,13.2,2.4,0,0,62.5,40.5,34.6,21.1,3.8,0,0,,,,,0
North West,149,Bolton,2006,phosphate,0,18.6,5.6,29.8,6.1,2.4,62.5,0,29.8,8.9,47.6,9.8,3.8,,,,,61.3
North West,149,Bolton,2006,chemistry,11.1,8.5,22.6,13.8,4.1,2.4,62.5,17.7,13.7,36.2,22,6.6,3.8,31.4,58.2,6.6,3.8,
North West,149,Bolton,2006,biology,5.3,4.8,18.6,26.2,3,2.4,60.3,8.8,8,30.8,43.5,5,4,16.8,74.3,5,4,
North West,150,Burnley,1990,chemistry,7.1,10,17.2,4.2,0,0,38.5,18.5,26,44.6,11,0,0,44.4,55.6,0,0,
North West,150,Burnley,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,150,Burnley,1990,phosphate,5.7,8.8,13.8,3.1,1.1,4.2,36.7,15.6,24,37.5,8.4,2.9,11.5,,,,,22.9
North West,150,Burnley,1990,biology,0,6.3,5.7,6.9,9.3,0,28.3,0,22.3,20.2,24.6,33,0,22.3,44.8,33,0,
North West,150,Burnley,1993,chemistry,4,17.4,8.3,11.2,4.2,0,45.1,8.9,38.5,18.4,24.8,9.4,0,47.4,43.2,9.4,0,
North West,150,Burnley,1994,chemistry,2.3,22.7,18.2,0,5.9,0,49.1,4.7,46.2,37.2,0,12,0,50.9,37.2,12,0,
North West,150,Burnley,1995,biology,0,19.4,11.2,5.9,1.3,0,37.9,0,51.2,29.7,15.5,3.5,0,51.2,45.2,3.5,0,
North West,150,Burnley,1995,chemistry,2.3,23,16.4,1.4,5.9,0,49.1,4.7,47,33.5,2.9,12,0,51.6,36.4,12,0,
North West,150,Burnley,1995,nitrate,40.4,0,3.3,4.2,0,0,48,84.3,0,6.9,8.8,0,0,,,,,0
North West,150,Burnley,1995,phosphate,6.8,25.7,6.9,3.1,0.6,5.9,49.1,13.9,52.4,14.2,6.3,1.2,12,,,,,19.5
North West,150,Burnley,1996,chemistry,6.3,19,16.4,3.1,4.2,0,49.1,12.9,38.7,33.5,6.3,8.6,0,51.6,39.8,8.6,0,
North West,150,Burnley,1997,chemistry,8.6,17.8,15.3,7.3,0,0,49.1,17.5,36.4,31.3,14.9,0,0,53.8,46.2,0,0,
North West,150,Burnley,1998,chemistry,12,17,14.5,5.7,0,0,49.1,24.4,34.6,29.5,11.5,0,0,58.9,41.1,0,0,
North West,150,Burnley,1999,chemistry,12,15.1,14.3,7.8,0,0,49.1,24.4,30.7,29.1,15.9,0,0,55.1,44.9,0,0,
North West,150,Burnley,2000,biology,7.6,13.2,8.7,4.2,4.1,0,37.9,20.1,34.8,23.1,11.1,10.9,0,54.9,34.2,10.9,0,
North West,150,Burnley,2000,chemistry,9.7,17.4,14.3,7.8,0,0,49.1,19.7,35.4,29.1,15.9,0,0,55.1,44.9,0,0,
North West,150,Burnley,2000,nitrate,39.2,2.3,7.5,0,0,0,49.1,79.9,4.7,15.4,0,0,0,,,,,0
North West,150,Burnley,2000,phosphate,0,31.4,5.3,4.8,1.7,5.9,49.1,0,64,10.9,9.8,3.4,12,,,,,25.2
North West,150,Burnley,2001,chemistry,14.2,14.2,12.8,7.8,0,0,49.1,29,29,26.1,15.9,0,0,58,42,0,0,
North West,150,Burnley,2001,nitrate,39.3,2.2,7.5,0,0,0,49.1,80.1,4.6,15.4,0,0,0,,,,,0
North West,150,Burnley,2001,phosphate,0,28.8,8,5.8,0.6,5.9,49.1,0,58.7,16.3,11.8,1.2,12,,,,,25
North West,150,Burnley,2002,phosphate,0,16.2,22.8,3.6,0.6,5.9,49.1,0,33,46.5,7.2,1.2,12,,,,,20.4
North West,150,Burnley,2002,biology,3.6,19.8,10.4,0,4.1,0,37.9,9.4,52.2,27.5,0,10.9,0,61.6,27.5,10.9,0,
North West,150,Burnley,2002,chemistry,11.9,19,0,18.1,0,0,49.1,24.3,38.8,0,36.9,0,0,63.1,36.9,0,0,
North West,150,Burnley,2002,nitrate,39.3,2.2,7.5,0,0,0,49.1,80.1,4.6,15.4,0,0,0,,,,,0
North West,150,Burnley,2003,phosphate,0,18.7,22.8,1.1,0.6,5.9,49.1,0,38.1,46.5,2.2,1.2,12,,,,,15.4
North West,150,Burnley,2003,nitrate,41.5,0,7.5,0,0,0,49.1,84.6,0,15.4,0,0,0,,,,,0
North West,150,Burnley,2003,biology,1.3,22,13.5,0,1.1,0,37.9,3.5,58.1,35.6,0,2.8,0,61.6,35.6,2.8,0,
North West,150,Burnley,2003,chemistry,12,12,17.3,7.8,0,0,49.1,24.4,24.4,35.3,15.9,0,0,48.8,51.2,0,0,
North West,150,Burnley,2004,biology,1.3,22,13.5,1.1,0,0,37.9,3.5,58.1,35.6,2.8,0,0,61.6,38.4,0,0,
North West,150,Burnley,2004,chemistry,15.5,11.4,5.1,17,0,0,49.1,31.7,23.2,10.4,34.7,0,0,54.8,45.2,0,0,
North West,150,Burnley,2004,nitrate,41.5,0,3.3,4.2,0,0,49.1,84.6,0,6.8,8.6,0,0,,,,,0
North West,150,Burnley,2004,phosphate,0,32.4,9.1,1.1,0.6,5.9,49.1,0,66.1,18.5,2.2,1.2,12,,,,,15.4
North West,150,Burnley,2005,biology,0,24.8,12,1.1,0,0,37.9,0,65.4,31.8,2.8,0,0,65.4,34.6,0,0,
North West,150,Burnley,2005,chemistry,17.8,9.4,10.6,11.2,0,0,49.1,36.4,19.2,21.6,22.8,0,0,55.6,44.4,0,0,
North West,150,Burnley,2005,nitrate,41.5,0,3.3,4.2,0,0,49.1,84.6,0,6.8,8.6,0,0,,,,,0
North West,150,Burnley,2005,phosphate,0,32.2,9.3,1.1,0.6,5.9,49.1,0,65.6,19,2.2,1.2,12,,,,,15.4
North West,150,Burnley,2006,phosphate,0,37,5.6,0,2.3,4.2,49.1,0,75.4,11.4,0,4.6,8.6,,,,,13.2
North West,150,Burnley,2006,nitrate,41.5,0,3.3,4.2,0,0,49.1,84.6,0,6.8,8.6,0,0,,,,,0
North West,150,Burnley,2006,chemistry,20.4,6.8,10.6,11.2,0,0,49.1,41.6,13.9,21.6,22.8,0,0,55.6,44.4,0,0,
North West,150,Burnley,2006,biology,3.1,19.5,14.3,1.1,0,0,37.9,8.1,51.4,37.7,2.8,0,0,59.5,40.5,0,0,
North West,151,Bury,1990,chemistry,0,0,0,14.2,13.4,4.2,31.7,0,0,0,44.6,42.3,13.1,0,44.6,42.3,13.1,
North West,151,Bury,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,151,Bury,1990,phosphate,0,0,0,4.6,27.2,0,31.7,0,0,0,14.4,85.6,0,,,,,100
North West,151,Bury,1990,biology,0,0,0,0,8.9,17.7,26.6,0,0,0,0,33.4,66.6,0,0,33.4,66.6,
North West,151,Bury,1993,chemistry,0.9,5.4,22.2,0,8.1,4.2,40.9,2.2,13.2,54.4,0,19.9,10.4,15.4,54.4,19.9,10.4,
North West,151,Bury,1994,chemistry,0.9,6,21.7,0,12.3,0.1,40.9,2.2,14.6,52.9,0,30.1,0.2,16.8,52.9,30.1,0.2,
North West,151,Bury,1995,biology,0,0.9,0,8.3,15.6,12.9,37.7,0,2.4,0,22,41.4,34.2,2.4,22,41.4,34.2,
North West,151,Bury,1995,chemistry,0.9,6,22.5,4.2,7.3,0.1,40.9,2.2,14.6,55.1,10.2,17.7,0.2,16.8,65.3,17.7,0.2,
North West,151,Bury,1995,nitrate,6.1,7.8,27,0,0,0,40.9,15,19,66,0,0,0,,,,,0
North West,151,Bury,1995,phosphate,0,10.9,2.7,0,27.2,0,40.9,0,26.7,6.6,0,66.6,0,,,,,66.6
North West,151,Bury,1996,chemistry,0.9,6,22.5,4.2,0,7.3,40.9,2.2,14.6,55.1,10.2,0,17.9,16.8,65.3,0,17.9,
North West,151,Bury,1997,chemistry,0.9,9.2,19.4,4.2,0,7.3,40.9,2.2,22.4,47.3,10.2,0,17.9,24.6,57.5,0,17.9,
North West,151,Bury,1998,chemistry,0,10,22.6,0.9,7.3,0.1,40.9,0,24.6,55.4,2.2,17.7,0.2,24.6,57.5,17.7,0.2,
North West,151,Bury,1999,chemistry,0,9.5,23.2,0.9,7.3,0.1,40.9,0,23.1,56.8,2.2,17.7,0.2,23.1,59,17.7,0.2,
North West,151,Bury,2000,biology,0,1.3,7.1,11.5,19.1,0,38.9,0,3.3,18.1,29.5,49.1,0,3.3,47.6,49.1,0,
North West,151,Bury,2000,chemistry,0,10.3,20.5,2.8,7.3,0.1,40.9,0,25.1,50.2,6.8,17.7,0.2,25.1,57,17.7,0.2,
North West,151,Bury,2000,nitrate,5.5,8.4,27,0,0,0,40.9,13.4,20.6,66,0,0,0,,,,,0
North West,151,Bury,2000,phosphate,0,4.2,3,6.6,27.2,0,40.9,0,10.3,7.2,16,66.5,0,,,,,82.5
North West,151,Bury,2001,chemistry,0,6.3,25.4,1.9,7.3,0.1,40.9,0,15.4,62.1,4.7,17.7,0.2,15.4,66.7,17.7,0.2,
North West,151,Bury,2001,nitrate,5.5,8.4,27,0,0,0,40.9,13.4,20.6,66,0,0,0,,,,,0
North West,151,Bury,2001,phosphate,0,3.3,3.8,6.6,27.2,0,40.9,0,8.1,9.4,16,66.5,0,,,,,82.5
North West,151,Bury,2002,phosphate,0,0,7.2,6.6,27.2,0,40.9,0,0,17.5,16,66.5,0,,,,,82.5
North West,151,Bury,2002,biology,0,1.3,11.2,7.3,19.1,0,38.9,0,3.3,28.9,18.8,49.1,0,3.3,47.6,49.1,0,
North West,151,Bury,2002,chemistry,4.6,1.7,24.5,2.8,7.3,0.1,40.9,11.2,4.1,59.9,6.8,17.7,0.2,15.4,66.7,17.7,0.2,
North West,151,Bury,2002,nitrate,6.1,7.8,27,0,0,0,40.9,14.8,19.2,66,0,0,0,,,,,0
North West,151,Bury,2003,phosphate,0,0,6.4,7.3,27.2,0,40.9,0,0,15.6,17.8,66.6,0,,,,,84.4
North West,151,Bury,2003,nitrate,6.1,7.8,27,0,0,0,40.9,15,19,66,0,0,0,,,,,0
North West,151,Bury,2003,chemistry,0,10.3,22.4,0.9,7.3,0.1,40.9,0,25.1,54.8,2.2,17.7,0.2,25.1,57,17.7,0.2,
North West,151,Bury,2003,biology,0,5.5,4.8,10.4,18.3,0,38.9,0,14.1,12.2,26.6,47.1,0,14.1,38.9,47.1,0,
North West,151,Bury,2004,biology,0,5.5,4.8,20.5,8.1,0,38.9,0,14.1,12.2,52.8,20.9,0,14.1,65,20.9,0,
North West,151,Bury,2004,chemistry,4.6,12.3,15.8,0.9,7.3,0.1,40.9,11.2,30.2,38.5,2.2,17.7,0.2,41.4,40.7,17.7,0.2,
North West,151,Bury,2004,nitrate,6.1,7.8,27,0,0,0,40.9,15,19,66,0,0,0,,,,,0
North West,151,Bury,2004,phosphate,0,1.3,5.1,7.3,27.2,0,40.9,0,3.1,12.5,17.8,66.6,0,,,,,84.4
North West,151,Bury,2005,biology,0,5.5,0.6,24.7,8.1,0,38.9,0,14.1,1.5,63.5,20.9,0,14.1,65,20.9,0,
North West,151,Bury,2005,chemistry,4.6,8.2,14.3,6.5,7.3,0.1,40.9,11.2,20,35.1,15.8,17.7,0.2,31.2,50.9,17.7,0.2,
North West,151,Bury,2005,nitrate,6.1,7.8,27,0,0,0,40.9,15,19,66,0,0,0,,,,,0
North West,151,Bury,2005,phosphate,0,1.3,5.1,7.3,27.2,0,40.9,0,3.1,12.5,17.8,66.6,0,,,,,84.4
North West,151,Bury,2006,nitrate,6.1,7.8,27,0,0,0,40.9,15,19,66,0,0,0,,,,,0
North West,151,Bury,2006,phosphate,0,5.5,0.9,7.4,27.2,0,40.9,0,13.4,2.2,18,66.5,0,,,,,84.4
North West,151,Bury,2006,chemistry,4.6,19.2,9.8,0,7.3,0.1,40.9,11.2,47,23.8,0,17.7,0.2,58.3,23.8,17.7,0.2,
North West,151,Bury,2006,biology,0,4.6,1.5,32,0.9,0,38.9,0,11.8,3.8,82.1,2.3,0,11.8,85.9,2.3,0,
North West,152,Carlisle,1990,chemistry,41.7,103.1,15.6,0,0,1.2,161.6,25.8,63.8,9.7,0,0,0.7,89.6,9.7,0,0.7,
North West,152,Carlisle,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,152,Carlisle,1990,phosphate,56.7,89.1,6.3,20.7,1.2,0,174,32.6,51.2,3.6,11.9,0.7,0,,,,,12.6
North West,152,Carlisle,1990,biology,142.7,165.7,93.5,13.8,29,13,457.7,31.2,36.2,20.4,3,6.3,2.8,67.4,23.4,6.3,2.8,
North West,152,Carlisle,1993,chemistry,86.4,275.1,72,14,10.4,1.2,459.1,18.8,59.9,15.7,3,2.3,0.3,78.7,18.7,2.3,0.3,
North West,152,Carlisle,1994,chemistry,80.7,285,79.9,18.2,6.1,1.2,471.1,17.1,60.5,17,3.9,1.3,0.3,77.6,20.8,1.3,0.3,
North West,152,Carlisle,1995,biology,238.7,178.9,38.8,8,0,0,464.3,51.4,38.5,8.4,1.7,0,0,89.9,10.1,0,0,
North West,152,Carlisle,1995,chemistry,124.2,278.6,41.9,15.9,7.6,2.8,471.1,26.4,59.1,8.9,3.4,1.6,0.6,85.5,12.3,1.6,0.6,
North West,152,Carlisle,1995,nitrate,152.8,196.2,41.2,48,29.2,3.6,471.1,32.4,41.6,8.7,10.2,6.2,0.8,,,,,7
North West,152,Carlisle,1995,phosphate,161.4,143.4,97.7,48,11.7,0,462.2,34.9,31,21.1,10.4,2.5,0,,,,,12.9
North West,152,Carlisle,1996,chemistry,96.2,312.5,44.1,3.9,8,6.5,471.1,20.4,66.3,9.4,0.8,1.7,1.4,86.7,10.2,1.7,1.4,
North West,152,Carlisle,1997,chemistry,89.7,342.4,24.5,0,8,6.5,471.1,19,72.7,5.2,0,1.7,1.4,91.7,5.2,1.7,1.4,
North West,152,Carlisle,1998,chemistry,199.4,203.6,53.6,4.3,3.6,6.5,471.1,42.3,43.2,11.4,0.9,0.8,1.4,85.6,12.3,0.8,1.4,
North West,152,Carlisle,1999,chemistry,261.1,153,42.5,10.4,4.1,0,471.1,55.4,32.5,9,2.2,0.9,0,87.9,11.2,0.9,0,
North West,152,Carlisle,2000,biology,98.6,262.7,60.5,11.6,30.8,0,464.3,21.2,56.6,13,2.5,6.6,0,77.8,15.5,6.6,0,
North West,152,Carlisle,2000,chemistry,305.1,111.9,45.7,4.3,4.1,0,471.1,64.8,23.7,9.7,0.9,0.9,0,88.5,10.6,0.9,0,
North West,152,Carlisle,2000,nitrate,162.8,143.1,66.4,72.8,21,5.1,471.1,34.5,30.4,14.1,15.5,4.5,1.1,,,,,5.5
North West,152,Carlisle,2000,phosphate,206.9,131,17.6,87.5,28.1,0,471.1,43.9,27.8,3.7,18.6,6,0,,,,,24.5
North West,152,Carlisle,2001,chemistry,287.8,143.1,28.2,3.6,8.4,0,471.1,61.1,30.4,6,0.8,1.8,0,91.5,6.8,1.8,0,
North West,152,Carlisle,2001,nitrate,176.1,108.2,93.6,70.8,18.5,3.9,471.1,37.4,23,19.9,15,3.9,0.8,,,,,4.8
North West,152,Carlisle,2001,phosphate,206.9,112.2,36.4,89.4,26.2,0,471.1,43.9,23.8,7.7,19,5.6,0,,,,,24.5
North West,152,Carlisle,2002,phosphate,197.9,139.9,16.6,100.6,16,0,471.1,42,29.7,3.5,21.4,3.4,0,,,,,24.8
North West,152,Carlisle,2002,biology,178.6,195,57.6,11.6,21.4,0,464.3,38.5,42,12.4,2.5,4.6,0,80.5,14.9,4.6,0,
North West,152,Carlisle,2002,chemistry,286.5,113.7,58.9,1.2,10.8,0,471.1,60.8,24.1,12.5,0.3,2.3,0,84.9,12.8,2.3,0,
North West,152,Carlisle,2002,nitrate,176.1,148.2,65.9,60.9,14.9,5.1,471.1,37.4,31.5,14,12.9,3.2,1.1,,,,,4.2
North West,152,Carlisle,2003,phosphate,206.9,135.8,38.8,73.6,16,0,471.1,43.9,28.8,8.2,15.6,3.4,0,,,,,19
North West,152,Carlisle,2003,nitrate,176.1,149.7,52.1,66.4,22.9,3.9,471.1,37.4,31.8,11.1,14.1,4.9,0.8,,,,,5.7
North West,152,Carlisle,2003,biology,219.6,163.6,61.5,0,19.6,0,464.3,47.3,35.2,13.3,0,4.2,0,82.5,13.3,4.2,0,
North West,152,Carlisle,2003,chemistry,268.2,145.1,49.5,0,4.1,4.3,471.1,56.9,30.8,10.5,0,0.9,0.9,87.7,10.5,0.9,0.9,
North West,152,Carlisle,2004,biology,217.2,164.8,66.8,11.8,3.6,0,464.3,46.8,35.5,14.4,2.5,0.8,0,82.3,16.9,0.8,0,
North West,152,Carlisle,2004,chemistry,198.7,185.7,69.4,9.4,3.6,4.3,471.1,42.2,39.4,14.7,2,0.8,0.9,81.6,16.7,0.8,0.9,
North West,152,Carlisle,2004,nitrate,162.8,151.9,63.3,66.4,21.7,5.1,471.1,34.5,32.2,13.4,14.1,4.6,1.1,,,,,5.7
North West,152,Carlisle,2004,phosphate,206.9,135.8,26.9,85.5,16,0,471.1,43.9,28.8,5.7,18.2,3.4,0,,,,,21.5
North West,152,Carlisle,2005,biology,197.1,165.4,86.4,11.8,3.6,0,464.3,42.4,35.6,18.6,2.5,0.8,0,78.1,21.2,0.8,0,
North West,152,Carlisle,2005,chemistry,169.7,237.3,41.1,18.6,0,4.3,471.1,36,50.4,8.7,4,0,0.9,86.4,12.7,0,0.9,
North West,152,Carlisle,2005,nitrate,162.8,120.8,94.4,61.5,27.7,3.9,471.1,34.5,25.6,20,13.1,5.9,0.8,,,,,6.7
North West,152,Carlisle,2005,phosphate,158.3,184.4,33.9,78.5,16,0,471.1,33.6,39.1,7.2,16.7,3.4,0,,,,,20.1
North West,152,Carlisle,2006,biology,235.7,138.6,70.2,16.1,3.6,0,464.3,50.8,29.8,15.1,3.5,0.8,0,80.6,18.6,0.8,0,
North West,152,Carlisle,2006,phosphate,182.6,155.3,45.9,71.4,16,0,471.1,38.8,33,9.7,15.2,3.4,0,,,,,18.5
North West,152,Carlisle,2006,nitrate,162.8,169.3,45.8,68.3,23.7,1.1,471.1,34.5,35.9,9.7,14.5,5,0.2,,,,,5.3
North West,152,Carlisle,2006,chemistry,232.9,191.2,42.7,0,0,4.3,471.1,49.4,40.6,9.1,0,0,0.9,90,9.1,0,0.9,
North West,153,Chester,1990,biology,0,0,8.2,2.7,29.1,4.1,44.2,0,0,18.6,6.1,66,9.3,0,24.8,66,9.3,
North West,153,Chester,1990,chemistry,0,9.2,7.3,21.1,41.6,0,79.2,0,11.6,9.3,26.6,52.6,0,11.6,35.9,52.6,0,
North West,153,Chester,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,153,Chester,1990,phosphate,0,0,0,2,73.7,3.5,79.2,0,0,0,2.5,93,4.4,,,,,100
North West,153,Chester,1993,chemistry,6.8,4.3,27.6,44.6,51.8,3.4,138.6,4.9,3.1,19.9,32.2,37.4,2.5,8,52.1,37.4,2.5,
North West,153,Chester,1994,chemistry,9.2,4.7,17.6,57.3,46.3,3.4,138.6,6.6,3.4,12.7,41.4,33.4,2.5,10,54.1,33.4,2.5,
North West,153,Chester,1995,phosphate,0,0,6.7,18.7,88.1,25,138.6,0,0,4.8,13.5,63.6,18,,,,,95.1
North West,153,Chester,1995,nitrate,0,11.1,49.9,20.6,24.3,29.7,135.5,0,8.2,36.8,15.2,17.9,21.9,,,,,39.8
North West,153,Chester,1995,chemistry,9.2,14.1,34,33.8,45.6,1.9,138.6,6.6,10.2,24.5,24.4,32.9,1.4,16.8,48.9,32.9,1.4,
North West,153,Chester,1995,biology,0,17.7,39.6,35.8,10.7,0,103.7,0,17.1,38.2,34.5,10.3,0,17.1,72.7,10.3,0,
North West,153,Chester,1996,chemistry,6.9,12.4,44.4,25.6,47.3,2,138.6,5,8.9,32,18.5,34.2,1.4,13.9,50.5,34.2,1.4,
North West,153,Chester,1997,chemistry,0,21.1,46.2,21.7,47.6,2,138.6,0,15.2,33.4,15.6,34.4,1.4,15.2,49,34.4,1.4,
North West,153,Chester,1998,chemistry,2,39.4,53.2,10.7,31.3,2,138.6,1.4,28.5,38.4,7.7,22.6,1.4,29.9,46.1,22.6,1.4,
North West,153,Chester,1999,chemistry,2,17.9,68.5,19.9,28.8,1.5,138.6,1.4,12.9,49.5,14.4,20.8,1.1,14.3,63.8,20.8,1.1,
North West,153,Chester,2000,phosphate,0,0,2,19.2,97.5,19.8,138.6,0,0,1.4,13.9,70.4,14.3,,,,,98.6
North West,153,Chester,2000,nitrate,0,0,17,41.9,12.3,67.4,138.6,0,0,12.3,30.2,8.8,48.6,,,,,57.5
North West,153,Chester,2000,chemistry,2,10.5,75.8,28.6,20.2,1.5,138.6,1.4,7.6,54.7,20.6,14.6,1.1,9,75.3,14.6,1.1,
North West,153,Chester,2000,biology,0.9,8.7,50.9,33.7,10.3,0.4,104.9,0.8,8.3,48.5,32.1,9.8,0.4,9.1,80.6,9.8,0.4,
North West,153,Chester,2001,chemistry,2,15.9,59.8,43.7,12.2,4.9,138.6,1.4,11.5,43.2,31.5,8.8,3.6,12.9,74.7,8.8,3.6,
North West,153,Chester,2001,nitrate,0,11.1,37.3,28,37.5,24.6,138.6,0,8,26.9,20.2,27.1,17.8,,,,,44.8
North West,153,Chester,2001,phosphate,0,0,2,19.2,109,8.4,138.6,0,0,1.4,13.9,78.6,6,,,,,98.6
North West,153,Chester,2002,chemistry,2,22.6,60.3,28,25.7,0,138.6,1.4,16.3,43.5,20.2,18.5,0,17.7,63.7,18.5,0,
North West,153,Chester,2002,nitrate,0,14.1,46.5,20.6,44.9,12.5,138.6,0,10.2,33.6,14.9,32.4,9,,,,,41.4
North West,153,Chester,2002,biology,0,17.4,50.2,28,9.3,0,104.9,0,16.6,47.9,26.7,8.8,0,16.6,74.6,8.8,0,
North West,153,Chester,2002,phosphate,0,0,2,19.2,109,8.4,138.6,0,0,1.4,13.9,78.6,6,,,,,98.6
North West,153,Chester,2003,biology,7.4,13.4,45,29.8,7.9,0,103.5,7.1,13,43.5,28.8,7.6,0,20.1,72.3,7.6,0,
North West,153,Chester,2003,phosphate,0,0,2,19.2,109,8.4,138.6,0,0,1.4,13.9,78.6,6,,,,,98.6
North West,153,Chester,2003,nitrate,0,17.5,41.7,21.9,42.9,14.4,138.6,0,12.6,30.1,15.8,31,10.4,,,,,41.4
North West,153,Chester,2003,chemistry,2,27.6,72.1,13.3,18.6,4.9,138.6,1.4,19.9,52.1,9.6,13.4,3.6,21.4,61.6,13.4,3.6,
North West,153,Chester,2004,biology,7.4,16.2,42.9,32.6,4.5,0,103.5,7.1,15.6,41.5,31.5,4.3,0,22.7,72.9,4.3,0,
North West,153,Chester,2004,chemistry,6.8,27.6,46.2,40.1,14,3.8,138.6,4.9,19.9,33.3,29,10.1,2.7,24.9,62.3,10.1,2.7,
North West,153,Chester,2004,nitrate,0,11.1,48.2,21.9,46.9,10.5,138.6,0,8,34.8,15.8,33.8,7.6,,,,,41.4
North West,153,Chester,2004,phosphate,0,0,6.7,14.5,99.9,17.4,138.6,0,0,4.8,10.4,72.1,12.6,,,,,95.1
North West,153,Chester,2005,phosphate,0,0,2,19.2,99.9,17.4,138.6,0,0,1.4,13.9,72.1,12.6,,,,,98.6
North West,153,Chester,2005,chemistry,9.1,23.2,61.5,23.5,17.4,3.8,138.6,6.6,16.7,44.4,17,12.6,2.7,23.3,61.3,12.6,2.7,
North West,153,Chester,2005,nitrate,0,11.1,8.9,55.9,49.1,13.5,138.6,0,8,6.4,40.4,35.4,9.8,,,,,45.2
North West,153,Chester,2005,biology,10.9,13.5,41.9,32.7,5.8,0,104.9,10.4,12.9,39.9,31.2,5.6,0,23.3,71.2,5.6,0,
North West,153,Chester,2006,phosphate,0,2,0,22.6,101.8,12.2,138.6,0,1.4,0,16.3,73.4,8.8,,,,,98.6
North West,153,Chester,2006,biology,10.9,26.9,32.2,27.2,4.3,0,101.4,10.7,26.5,31.8,26.8,4.3,0,37.2,58.6,4.3,0,
North West,153,Chester,2006,chemistry,9.2,20.8,42.4,42.3,23.6,0.4,138.6,6.6,15,30.6,30.5,17,0.3,21.6,61.1,17,0.3,
North West,153,Chester,2006,nitrate,0,11.1,4.6,60.7,45.8,16.3,138.6,0,8,3.3,43.8,33,11.8,,,,,44.8
North West,154,Chorley,1990,biology,0,0,0,7.7,43.6,5.8,57.1,0,0,0.1,13.5,76.3,10.1,0,13.6,76.3,10.1,
