Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,net_amount
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/08/2016,"3,348.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/08/2016,224
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/08/2016,"3,605.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/08/2016,"2,109.00"
Professional / Trade Body,AMHPA,Central Support Costs,Fees and Charges,23/08/2016,800
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,03/08/2016,455.6
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,03/08/2016,833
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,03/08/2016,768.4
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,03/08/2016,"1,917.60"
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,03/08/2016,44.2
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,03/08/2016,465.8
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,03/08/2016,941.8
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,03/08/2016,867
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,03/08/2016,"1,924.40"
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,03/08/2016,136
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,17/08/2016,122.4
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,17/08/2016,935
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,17/08/2016,880.6
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,17/08/2016,"1,870.00"
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,17/08/2016,207.4
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,17/08/2016,890.8
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,17/08/2016,799
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,17/08/2016,"1,989.00"
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,17/08/2016,74.8
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,31/08/2016,897.6
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,31/08/2016,860.2
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,31/08/2016,"1,856.40"
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,31/08/2016,64.6
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,31/08/2016,771.8
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,31/08/2016,"1,084.60"
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,31/08/2016,"1,815.60"
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,31/08/2016,64.6
Professional / Consultancy Services,ANGELA REDMAN,Childrens & Educational Services,Other Payments,01/08/2016,"1,000.00"
Forensics / Laboratories,Anglia DNA Services Ltd,Childrens & Educational Services,Care Payments,26/08/2016,550
Animal Welfare Services,ANIMAL WARDENS LTD,Environmental & Regulatory Services,Animal Welfare,08/08/2016,960
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,16/08/2016,198.4
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,16/08/2016,132.2
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,16/08/2016,116
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,16/08/2016,99.2
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,16/08/2016,45.6
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,16/08/2016,65.6
Communications and Technology,ANS Group Plc,Planning Services,Information and Communications Technology,05/08/2016,"8,588.12"
Communications and Technology,ANS Group Plc,Planning Services,Information and Communications Technology,05/08/2016,"10,766.23"
Construction / Building Services,Antique Fireplace Restoration Compa,Capital Expenditure,Furniture and Equipment,01/08/2016,"1,200.00"
Surveyor,APPLEYARD & TREW LLP,Capital Expenditure,Professional Fees,05/08/2016,"1,500.00"
Surveyor,APPLEYARD & TREW LLP,Capital Expenditure,Professional Fees,26/08/2016,"1,500.00"
Surveyor,APPLEYARD & TREW LLP,Capital Expenditure,Professional Fees,26/08/2016,"1,500.00"
Construction / Building Services,APPROVED HEATING COMPANY LTD,Capital Expenditure,Capital Expenditure - Works,31/08/2016,"1,890.00"
Financial Services,APS Financial Ltd,Childrens & Educational Services,Care Payments,17/08/2016,"2,000.00"
Financial Services,APS Financial Ltd,Childrens & Educational Services,Care Payments,01/08/2016,"2,000.00"
Financial Services,APS Financial Ltd,Childrens & Educational Services,Care Payments,02/08/2016,"1,000.00"
Financial Services,APS Financial Ltd,Childrens & Educational Services,Care Payments,10/08/2016,920.98
Financial Services,APS Financial Ltd,Childrens & Educational Services,Care Payments,16/08/2016,"1,000.00"
Financial Services,APS Financial Ltd,Childrens & Educational Services,Care Payments,30/08/2016,980
Financial Services,APS Financial Ltd,Childrens & Educational Services,Care Payments,30/08/2016,888.9
Financial Services,APS Financial Ltd,Childrens & Educational Services,Care Payments,30/08/2016,500
Further and Higher Education,AQUINAS COLLEGE,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,10/08/2016,"11,299.00"
Construction / Building Services,ARBORICULTURAL SERVICES TREEWORK LT,Highways & Transport Services,Grounds Maintenance,22/08/2016,696
Construction / Building Services,ARBORICULTURAL SERVICES TREEWORK LT,Highways & Transport Services,Grounds Maintenance,25/08/2016,"2,500.00"
Social Care Services,Ark Home Healthcare Ltd,Adult Social Care,Care Payments,03/08/2016,"1,713.92"
Social Care Services,Ark Home Healthcare Ltd,Adult Social Care,Care Payments,26/08/2016,"1,729.44"
Social Care Services,Ark Home Healthcare Ltd,Adult Social Care,Care Payments,26/08/2016,"1,551.08"
Transport and Travel,ASAPPcars,Childrens & Educational Services,Leasing /Transport Hire,09/08/2016,"1,433.00"
Construction / Building Services,ASBESTOS BUSINESS CONTRACTORS LTD,Capital Expenditure,Capital Expenditure - Works,16/08/2016,645
Construction / Building Services,ASBESTOS BUSINESS CONTRACTORS LTD,Capital Expenditure,Capital Expenditure - Works,16/08/2016,945
Construction / Building Services,ASBESTOS BUSINESS CONTRACTORS LTD,Capital Expenditure,Capital Expenditure - Works,16/08/2016,845
Construction / Building Services,ASBESTOS BUSINESS CONTRACTORS LTD,Capital Expenditure,Capital Expenditure - Works,26/08/2016,850
Social Care Services,ASHBOURNE HOUSE,Adult Social Care,Care Payments,01/08/2016,"-3,447.31"
Social Care Services,ASHBOURNE HOUSE,Adult Social Care,Care Payments,01/08/2016,"8,326.00"
Social Care Services,ASHBOURNE HOUSE,Adult Social Care,Care Payments,01/08/2016,"1,752.00"
Social Care Services,ASHBOURNE HOUSE,Adult Social Care,Care Payments,22/08/2016,-92.29
Social Care Services,ASHBOURNE HOUSE,Adult Social Care,Care Payments,22/08/2016,"3,931.57"
Social Care Services,ASHBOURNE HOUSE,Adult Social Care,Care Payments,22/08/2016,"1,321.86"
Social Care Services,ASHBOURNE HOUSE,Adult Social Care,Care Payments,22/08/2016,-43.71
Social Care Services,ASHBOURNE HOUSE,Adult Social Care,Care Payments,22/08/2016,636.43
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,08/08/2016,556.98
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,10/08/2016,774.42
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,09/08/2016,673.98
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,12/08/2016,545.82
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,12/08/2016,524.17
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,12/08/2016,483.09
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,12/08/2016,34.24
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,12/08/2016,522.1
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,16/08/2016,664.2
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,08/08/2016,533.3
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,19/08/2016,510.34
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,19/08/2016,653.57
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,23/08/2016,695.9
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,26/08/2016,655.23
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,26/08/2016,510.64
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,26/08/2016,534.89
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,26/08/2016,566.13
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,26/08/2016,634.72
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,30/08/2016,655.27
Education Services,Assoc Board of Royal Schools of Mus,Childrens & Educational Services,Fees and Charges,15/08/2016,"5,455.00"
Education Services,Assoc Board of Royal Schools of Mus,Childrens & Educational Services,Fees and Charges,15/08/2016,"-5,455.00"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,166.6
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,64.6
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,"2,471.80"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,40.8
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,"3,763.80"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,"7,945.80"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,"1,190.00"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,826.2
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,34
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,159.8
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,64.6
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,"2,264.40"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,40.8
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,"3,733.20"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,"7,847.20"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,"1,387.20"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,890.8
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,03/08/2016,40.8
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,163.2
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,64.6
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,"2,169.20"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,13.6
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,"3,699.20"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,"7,646.60"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,"1,366.80"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,771.8
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,44.2
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,166.6
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,37.4
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,"2,104.60"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,40.8
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,"3,784.20"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,"7,503.80"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,"1,424.60"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,741.2
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,17/08/2016,47.6
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,24/08/2016,149.6
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,24/08/2016,108.8
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,24/08/2016,272
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,24/08/2016,95.2
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,24/08/2016,531.2
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,149.6
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,51
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,"2,478.60"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,27.2
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,"3,587.00"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,"7,327.00"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,"1,397.40"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,897.6
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,44.2
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,163.2
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,47.6
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,"2,509.20"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,40.8
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,"3,542.80"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,"7,507.20"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,"1,400.80"
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,901
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,31/08/2016,47.6
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Information and Communications Technology,03/08/2016,-975.03
Engineering Services,Atkins Global Ltd,Capital Expenditure,Professional Fees,03/08/2016,"1,486.00"
Engineering Services,Atkins Global Ltd,Capital Expenditure,Professional Fees,02/08/2016,"5,400.00"
Engineering Services,Atkins Global Ltd,Capital Expenditure,Professional Fees,18/08/2016,"7,458.75"
Engineering Services,Atkins Global Ltd,Capital Expenditure,Professional Fees,03/08/2016,"7,311.50"
Engineering Services,Atkins Global Ltd,Capital Expenditure,Professional Fees,03/08/2016,"3,292.67"
Engineering Services,Atkins Global Ltd,Highways & Transport Services,Professional Fees,01/08/2016,"2,476.70"
Engineering Services,Atkins Global Ltd,Capital Expenditure,Professional Fees,02/08/2016,"18,696.00"
Engineering Services,Atkins Global Ltd,Capital Expenditure,Professional Fees,18/08/2016,840
Engineering Services,Atkins Global Ltd,Capital Expenditure,Professional Fees,18/08/2016,"1,285.00"
Engineering Services,Atkins Global Ltd,Capital Expenditure,Professional Fees,12/08/2016,"3,247.00"
Engineering Services,Atkins Global Ltd,Highways & Transport Services,Professional Fees,31/08/2016,"10,201.59"
Engineering Services,Atkins Global Ltd,Capital Expenditure,Professional Fees,18/08/2016,-840
