Section 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1, Global communications revenues ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,46%,41%,31%,54%,14%,64%,54%,5%,46%,63%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2010 Base sizes: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001  Q: Which of the following devices do you ++own and personally use++?  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.20,NO CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.21,Most-missed activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch television,28%,23%,22%,14%,30%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Listen to the radio,5%,5%,8%,4%,4%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use a mobile phone,9%,12%,7%,16%,7%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use home fixed line phone ,1%,2%,3%,3%,1%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use the internet via a computer/ laptop,41%,44%,47%,49%,44%,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read national newspapers,1%,1%,2%,3%,0%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read local newspapers,1%,1%,2%,1%,2%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read magazines,1%,1%,0%,1%,1%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch videos/ DVDs,2%,2%,2%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Play console/computer games,4%,4%,2%,2%,4%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Listen to music on a portable media player,3%,2%,2%,2%,3%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Listen to music on hi-fi/ CD or tape player,3%,3%,2%,2%,2%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None of these ,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don’t know,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research, October 2010. Base sizes: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001 Q:  Which ++one++ of these media activities would you miss doing the most? Please select one",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1994,1998,2002,2006,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRAs of NRAs,12,30,63,119,134,148,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source ITU-D GSR reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.23,No CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.24 ,No CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.25,No CSV ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.26,TV programme export revenues 2008-2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,1227,1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,181,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,33,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom analysis of Screen Digest/Pact/UKTI/TRP data. NB: Data collection methodologies and item definitions may vary between countries meaning cross country comparisons should be regarded as indicative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.27,UK TV Programme export revenues by geography in 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA & Canada,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia & New Zealand,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Pact/UKTI/TRP, Ofcom analysis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.28,Reported revenue by geography of selected EU headquarted telecoms companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telecom  Italia,BT,France Telecom,Deutsche Telekom,Telefonica,Vodafone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion revenue from outside HQ country,20%,23%,56%,57%,65%,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Company reports, Ofcom analysis and calculations. Note: Comparisons should be regarded as indicative given potential differences in accounting treatments.  Includes only revenue reported against a specific geographic segment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.2: Best prices available, including multi-play offers
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basket 1,,,,,,,Basket 2,,,,,,,Basket 3,,,,,,,Basket 4,,,,,,,Basket 5,,,,,,
,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,
Fixed voice,17.5,17.02,18.2,15.24,16.76,16.04,,0,0,0,0,0,21.08,,0,0,0,0,0,0,,0,0,0,0,0,22.98,,0,0,0,0,0,19.83,
Mobile,0,0,0,0,0,0,,5.53,8.51,6.05,4.03,11.1,17.68,,30.8,66.62,76.68,60.46,71.54,61.46,,55.52,79.96,104.39,64.97,94.7,140.03,,41.1,79.66,88.18,49.51,74.83,93.98,
Broadband,0,0,0,0,0,0,,0,0,0,0,0,22.43,,11.25,19.74,13.76,6.52,27.55,20.87,,0,0,0,0,0,27.04,,0,0,0,0,0,27.28,
Pay-TV,0,0,0,0,0,0,,0,0,0,0,0,0,,11.5,8.72,13.43,7.24,10.42,19.06,,0,0,0,13.82,0,19.06,,0,27.21,44.95,34.04,0,42.62,
Voice & Broadband,,,,,,,,23.24,28.48,18.07,29.55,33.81,0,,,,,,,,,0,0,0,31.14,0,0,,0,28.62,22.9,29.53,0,0,
Tripleplay,,,,,,,,0,0,0,0,0,0,,,,,,,,,37.35,25.99,32.44,0,28.01,0,,67.44,0,0,0,51.95,0,
Mobile & Broadband,,,,,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,
Total,17.5,17.02,18.2,15.24,16.76,16.04,,28.76,36.99,24.13,33.58,44.91,61.19,,53.55,95.08,103.87,74.22,109.51,101.39,,92.87,105.94,136.83,109.92,122.71,209.12,,108.54,135.49,156.03,113.08,126.78,183.71,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Lowest tariff available for each service type from any of the three largest operators by market share in each country including multi-play offers ;July 2009; PPP adjusted. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.3: Best prices available for stand-alone services
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basket 1,,,,,,,Basket 2,,,,,,,Basket 3,,,,,,,Basket 4,,,,,,,Basket 5,,,,,,
,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,
Fixed voice,17.49678584,17.02275443,18.19671624,15.24488401,16.75987101,16.03735148,,0,0,0,0,0,21.07969219,,0,0,0,0,0,0,,0,0,0,0,0,22.97964961,,0,0,0,0,0,19.8327854,
Mobile,0,0,0,0,0,0,,5.527777778,8.511080601,6.052648416,4.034181393,11.10308772,17.6805159,,30.8044,66.61810466,76.68262456,60.45835761,71.54292785,61.45959414,,55.52248918,79.95634788,104.3934795,64.96663921,94.69792259,140.0310314,,41.09733954,79.65819216,88.18066216,49.50644094,74.83193913,93.9765339,
Broadband,0,0,0,0,0,0,,0,0,0,0,0,22.4295294,,11.25,19.7408401,13.75754704,6.518793436,27.55018686,20.87140381,,0,0,0,0,0,27.04407412,,0,0,0,0,0,27.27592321,
Pay-TV,0,0,0,0,0,0,,0,0,0,0,0,0,,11.5,8.7,13.4,7.2,10.4,19.1,,0,0,0,13.82225645,0,19.06397814,,0,27.21471379,44.94965824,34.04258794,0,42.62283696,
Voice & Broadband,,,,,,,,23.2,28.5,18.1,29.6,33.8,0,,,,,,,,,0,0,0,31.13568367,0,0,,0,28.61522788,22.89881153,29.53023567,0,0,
Tripleplay,,,,,,,,0,0,0,0,0,0,,,,,,,,,37.34866181,25.98534711,32.43998816,0,28.01294091,0,,67.44199385,0,0,0,51.95128625,0,
Mobile & Broadband,,,,,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,
Total,17.49678584,17.02275443,18.19671624,15.24488401,16.75987101,16.03735148,,28.7631378,36.98870193,24.12503676,33.58427773,44.90963371,61.18973748,,53.5544,95.08345063,103.8725403,74.22025486,109.5132427,101.3949761,,92.87115099,105.941695,136.8334676,109.9245793,122.7108635,209.1187333,,108.5393334,135.4881338,156.0291319,113.0792646,126.7832254,183.7080795,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Lowest tariff available for each service type from any of the three largest operators by market share in each country including multi-play offers; July 2009; PPP adjusted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.4: Comparative single-service ‘weighed average’ fixed-line voice pricing
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,,France,,,Germany,,,Italy,,,Spain,,,USA,,,,,,,,,,,,,,,,,,,
,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,,,,,,,,,,,,,,,,,
Basket 1,18.29291959,18.87995482,,18.30017194,17.8140548,,19.05751326,19.0792498,,19.38922299,19.69245561,,23.99937216,21.2799954,,21.31579486,17.98051323,,,,,,,,,,,,,,,,,,
Basket 2,21.11,20.98386734,,25.03,24.23997184,,24.13238438,24.40362473,,24.48798443,24.78911006,,30.10452331,24.41608553,,28.22502914,22.8097262,,,,,,,,,,,,,,,,,,
Basket 3,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,
Basket 4 ,19.17,22.08,,40.68,28.86,,34.66800124,26.51125461,,28.69317651,28.05769903,,37.74317458,26.16622725,,48.967034,25.84530493,,,,,,,,,,,,,,,,,,
Basket 5 ,20.34,21.57,,20.63,20.12,,20.27416518,20.55968339,,24.98992138,19.47479113,,29.19062882,26.62236997,,24.54318006,20.14451769,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Weighted  average of best-value tariff from each of the three largest operators by market share in each country; July 2009; PPP adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.5: Comparative single-service ‘best offer’ fixed-line voice pricing
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,,France,,,Germany,,,Italy,,,Spain,,,USA,,,,,,,,,,,,,,,,,,,
,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,,,,,,,,,,,,,,,,,
Basket 1,17.04712775,17.49678584,,17.51762113,17.02275443,,17.4720534,18.19671624,,12.63607417,15.24488401,,21.16060057,16.75987101,,17.30969896,16.03735148,,,,,,,,,,,,,,,,,,
Basket 2,18.27,19.39,,18.97,18.43,,20.39,23.04,,15.35,17.47,,29.29,20.17,,25.5,21.08,,,,,,,,,,,,,,,,,,
Basket 3,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,
Basket 4 ,19.03,20.46,,27.08,19.44,,31.56,23.75,,22.74,18.61,,36.77,21.41,,45.43,22.98,,,,,,,,,,,,,,,,,,
Basket 5 ,18.84,20,,19.2,18.66,,17.6,19.53,,16.85,17.43,,24.63,20.02,,22.09,19.83,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Weighted  average of best-value tariff from each of the three largest operators by market share in each country; July 2009; PPP adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.7: Comparative single-service ‘weighed average’ mobile pricing
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,,France,,,Germany,,,Italy,,,Spain,,,USA,,,,,,,,,,,,,,,,,,,
,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,,,,,,,,,,,,,,,,,
Connection 1,10.15,8.94,,11.44,9.53,,8.59,7.06,,7.12,6.84,,13.16,13.66,,26.14,21.72187205,,,,,,,,,,,,,,,,,,
Connection2,10.48,9.32,,12.03,11.55,,11.86,11.29,,10.8,9.39,,16.23,18.58,,27.08,25.82,,,,,,,,,,,,,,,,,,
Connection 3,11.63,10.39,,12.32,11.81,,15.72,15.52,,13.17,11.47,,20.25,22.41,,28.02,28.63,,,,,,,,,,,,,,,,,,
Connection 4,19.41,16.23,,29.86,20.54,,48.77,36.1,,34.9,25.23,,59.97,37.42,,56.25,37.19,,,,,,,,,,,,,,,,,,
Connection 5,17.17,13.81,,25.49,21.02,,23.97,21.9,,21.63,18.5,,27.99,23.04,,35.74,33.9,,,,,,,,,,,,,,,,,,
Connection 6,34.42,29.73,,67.68,50.94,,79.09,57.74,,73.29,40.24,,75.39,50.09,,79.9,74.21,,,,,,,,,,,,,,,,,,
Connection 7,34.4,35.65,,70.52,68.55,,90.42,84.87,,70.43,53.5,,94.62,77.29,,65.85,82.17,,,,,,,,,,,,,,,,,,
Connection 8,36.01,35.36,,96.09,80.63,,92.2,94.88,,71.27,64.03,,128.12,93.19,,64.44,74.39,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Weighted  average of best-value tariff from each of the three largest operators by market share in each country;  July 2009; PPP adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.8: Comparative single-service ‘best offer’ mobile pricing
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,,France,,,Germany,,,Italy,,,Spain,,,USA,,,,,,,,,,,,,,,,,,,
,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,,,,,,,,,,,,,,,,,
Connection 1,9.38,5.53,,9.83,8.51,,7.21,6.05,,5.95,4.03,,11.98,11.1,,12.01,17.68,,,,,,,,,,,,,,,,,,
Connection2,10,7.88,,10.83,10.32,,7.71,9.49,,8.65,6.96,,15.36,17.74,,14.59,20.26,,,,,,,,,,,,,,,,,,
Connection 3,10.71,10.01,,11.03,10.79,,8.29,13.8,,11.31,7.94,,19.01,19.88,,17.12,22.52,,,,,,,,,,,,,,,,,,
Connection 4,16.45,15.95,,28.71,18.94,,36.63,32.18,,29.02,18.7,,51.24,19.94,,54.45,35.99,,,,,,,,,,,,,,,,,,
Connection 5,15.2,12.98,,21.33,17.63,,19.85,20.16,,15.95,11.84,,20.62,18.3,,33.3,30.92,,,,,,,,,,,,,,,,,,
Connection 6,31.69,21.69,,58.14,39.9,,77.74,48.92,,46.52,31.37,,55.58,37.14,,67.09,61.26,,,,,,,,,,,,,,,,,,
Connection 7,29.56,28.11,,55.01,62.03,,84.46,68.02,,43.93,37.67,,80.04,56.54,,50.96,63.05,,,,,,,,,,,,,,,,,,
Connection 8,35.73,30.8,,82.44,66.62,,81.9,76.68,,48.23,60.46,,123.11,71.54,,54.33,61.46,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Weighted  average of best-value tariff from each of the three largest operators by market share in each country; July 2009; PPP adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.9: Comparative pricing for mobile tariffs with 1,000 minutes and 4,000 minutes, July 2009
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,000 minutes",,,,,,,"4,000 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,SPA,USA,,,UK,FRA,GER,ITA,SPA,USA,,,,,,,,,,,,,,,,,,,,,
Best-offer',20,70.52,50.44,39.11,59.67,33.75,,Best-offer',55,70.52,61.18,234.83,269.26,41.24,,,,,,,,,,,,,,,,,,,,,
Weighted average',25.85,78.97,62.24,44,87.11,37.61,,Weighted average',74.91,71.87,63.21,276.25,413.47,54.62,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:  No international calls. Weighted  average of best-value tariff from each of the three largest operators by market share in each country; July 2009; PPP adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.10: Comparative single-service ‘weighed average’ fixed-line broadband pricing
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,,France,,,Germany,,,Italy,,,Spain,,,USA,,,,,,,,,,,,,,,,,,,
,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,,,,,,,,,,,,,,,,,
Basket 1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,
Basket 2,13.33,13.57,,14.62,13.76,,25.13,25.77,,26.63,26.61,,29.32,29.56,,19.38,24.75,,,,,,,,,,,,,,,,,,
Basket 3,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,
Basket 4 ,13.33,13.57,,19.83,13.76,,37.94,29.52,,35.76,26.61,,34.68,35.15,,37.75,27.47,,,,,,,,,,,,,,,,,,
Basket 5 ,13.33,13.57,,14.62,13.76,,28.95,37.03,,30.2,30.09,,29.32,35.15,,25.8,31.42,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Weighted  average of best-value tariff from each of the three largest operators by market share in each country; July 2009; PPP adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.11: Comparative single-service ‘best offer’ fixed-line broadband pricing
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,,France,,,Germany,,,Italy,,,Spain,,,USA,,,,,,,,,,,,,,,,,,,
,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,,,,,,,,,,,,,,,,,
Basket 1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,
Basket 2,12.23,12.07,,12.24,11.89,,25.13,22.5,,16.11,15.66,,29.32,27.69,,15.64,22.43,,,,,,,,,,,,,,,,,,
Basket 3,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,
Basket 4 ,12.49,12.07,,16.56,11.89,,37.94,22.5,,21.63,15.66,,34.68,34.41,,31.66,27.04,,,,,,,,,,,,,,,,,,
Basket 5 ,12.23,12.07,,12.24,11.89,,28.95,22.5,,17.09,17.83,,29.32,34.41,,21.91,27.28,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Weighted  average of best-value tariff from each of the three largest operators by market share in each country; July 2009; PPP adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.12: Mobile broadband ‘best offer' pricing
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,SPA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basket 1 (1GB/month),6.67,12.51,11.26,4.89,18.08,20.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basket 2 (3GB/month),11.25,19.74,13.76,6.52,27.55,20.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basket 3 (5GB/month),15,19.74,13.76,6.52,27.55,20.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Lowest tariff available from any of the three largest operators by market share in each country; July 2009; PPP adjusted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.13: Comparative single-service TV pricing
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,,France,,,Germany,,,Italy,,,Spain,,,USA,,,,,,,,,,,,,,,,,,,
,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,,,,,,,,,,,,,,,,,
Basic pay-tv,16.5,11.5,,7.15,8.72,,12.89,13.43,,8.94,7.24,,14.38,10.42,,14.45,19.06,,,,,,,,,,,,,,,,,,
