Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,D-U-N-S Number,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,05/11/2013,Software Licences,Finance & Corporate Services,SOLOGICAL SOLUTIONS,,Micro,,215557790,5106198375,Software Licence Renewal GIS247,NG12 2NJ,"6,834.30",
Communities & Local Government,DCLG,05/11/2013,Telecoms equipment (non-capitalised),Finance & Corporate Services,DAMOVO UK LTD,,Large,,221481042,5106198399,Telephone Support Services,RH12 4QP,"13,871.22",
Communities & Local Government,DCLG,05/11/2013,Variable Maintenance < £15k,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198396,Eland House Pass Through Costs,BS32 4NH,"2,132.47",
Communities & Local Government,DCLG,05/11/2013,Variable Maintenance < £15k,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198396,Eland House Variable Maintenance Costs,BS32 4NH,"5,642.20",
Communities & Local Government,DCLG,05/11/2013,Variable Maintenance < £15k,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198396,Temple Quay Pass Through Costs,BS32 4NH,"2,667.79",
Communities & Local Government,DCLG,05/11/2013,Variable Maintenance < £15k,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198396,Temple Quay Variable Maintenance Costs,BS32 4NH,"2,009.25",
Communities & Local Government,DCLG,05/11/2013,Variable Maintenance < £15k,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198396,Hemel Pass Through Costs,BS32 4NH,97.42,
Communities & Local Government,DCLG,05/11/2013,Variable Maintenance < £15k,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198396,Bridge House Variable Maintenace Costs,BS32 4NH,171.49,
Communities & Local Government,DCLG,05/11/2013,Variable Maintenance < £15k,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198396,Citygate Variable Maintenance Costs,BS32 4NH,976.64,
Communities & Local Government,DCLG,05/11/2013,Variable Maintenance < £15k,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198396,Queen Street Variable Maintenance Costs,BS32 4NH,191.16,
Communities & Local Government,DCLG,05/11/2013,Variable Maintenance < £15k,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198396,5 SPP  Pass Through Costs,BS32 4NH,"3,105.45",
Communities & Local Government,DCLG,05/11/2013,Variable Maintenance < £15k,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198396,5 SPP  Variable Maintenance Costs,BS32 4NH,"2,953.98",
Communities & Local Government,DCLG,05/11/2013,Variable Maintenance < £15k,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198396,Paradise Circ Variable Maintenance Cost,BS32 4NH,428.96,
Communities & Local Government,DCLG,05/11/2013,Vehicle hire,Strategy and Private Office Group,GOVERNMENT CAR & DESPATCH AGENCY,,Public Bodies,,,5106198383,Car of SOS -Duty Car 1- LT206,SW8 5AX,614.15,
Communities & Local Government,DCLG,05/11/2013,Vehicle Maintenance,Localism,BABCOCK CRITICAL SERVICES LTD,,Large,,641006945,5106198395,Fixed cost 13/14,NG15 0DR,"543,813.19",
Communities & Local Government,DCLG,05/11/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Eland House Waste 13-14,BS32 4NH,"3,244.34",
Communities & Local Government,DCLG,05/11/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,TQH Waste 13-14,BS32 4NH,"1,301.76",
Communities & Local Government,DCLG,05/11/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Hemel Hemp Waste 13-14,BS32 4NH,267.48,
Communities & Local Government,DCLG,05/11/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Rivergate Waste 13-14,BS32 4NH,917.18,
Communities & Local Government,DCLG,05/11/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Bridge House Waste 13-14,BS32 4NH,516.30,
Communities & Local Government,DCLG,05/11/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Citygate Waste 13-14,BS32 4NH,868.70,
Communities & Local Government,DCLG,05/11/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Queen Street Waste 13-14,BS32 4NH,476.25,
Communities & Local Government,DCLG,05/11/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,5SPP Waste 13-14,BS32 4NH,858.73,
Communities & Local Government,DCLG,05/11/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Paradise Waste 13-14,BS32 4NH,498.92,
Communities & Local Government,DCLG,05/11/2013,Water,Finance & Corporate Services,BRISTOL WATER,,Large,,770124543,5106198394,2013/14 Rivergate Annual Water Charge,BS48 1WA,"1,179.23",
Communities & Local Government,DCLG,05/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,BIOCITY NOTTINGHAM LIMITED,,Small,,,7600006607,Revenue Grant To Be Paid,NG1 1GF,847.21,Yes
Communities & Local Government,DCLG,05/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CHESTERFIELD BOROUGH COUNCIL,,Large,,,7600006603,Revenue Grant To Be Paid,S40 1LP,"6,214.77",Yes
Communities & Local Government,DCLG,05/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LINCONSHIRE COUNTY COUNCIL,,Large,,,7600006601,Revenue Grant To Be Paid,LN1 1YT,"4,430.51",Yes
Communities & Local Government,DCLG,05/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,MANSFIELD DISTRICT COUNCIL,,Large,,,7600006606,Revenue Grant To Be Paid,NG19 7BH,"37,194.25",Yes
Communities & Local Government,DCLG,05/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NBV (NOTTINGHAM BUSINESS VENTURE),,Small,,,7600006609,Revenue Grant To Be Paid,NG7 7FN,"1,323.08",Yes
Communities & Local Government,DCLG,05/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORTHAMPTON UNIVERSITY,,Large,,,7600006604,Revenue Grant To Be Paid,NN2 7AL,"52,800.78",Yes
Communities & Local Government,DCLG,05/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORTHAMPTON UNIVERSITY,,Large,,,7600006608,Revenue Grant To Be Paid,NN2 7AL,"35,287.83",Yes
Communities & Local Government,DCLG,05/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,LINCONSHIRE COUNTY COUNCIL,,Large,,,7600006602,Capital Grant To Be Paid,LN1 1YT,"83,755.14",Yes
Communities & Local Government,DCLG,05/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,LINCONSHIRE COUNTY COUNCIL,,Large,,,7600006605,Capital Grant To Be Paid,LN1 1YT,"88,720.40",Yes
Communities & Local Government,DCLG,05/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,MANSFIELD DISTRICT COUNCIL,,Large,,,7600006606,Capital Grant To Be Paid,NG19 7BH,"10,623.50",Yes
Communities & Local Government,DCLG,05/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,NBV (NOTTINGHAM BUSINESS VENTURE),,Small,,,7600006609,Capital Grant To Be Paid,NG7 7FN,"739,118.18",Yes
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,215581006,5106198417,Interim Manager,SL6 1DP,505.49,
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,215581006,5106198428,CPD 0492030 Capita MSP,SL6 1DP,"2,702.88",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,215581006,5106198434,Interim Manager,SL6 1DP,"2,862.00",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,215581006,5106198435,Extension of Interim Mgr,SL6 1DP,"3,960.00",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,215581006,5106198438,CPD 0492030 Capita MSP,SL6 1DP,637.50,
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Finance & Corporate Services,SBS GROUP (UK) LTD,,Large,,423935241,5106198466,SAP Technical Support,EC1N 8UA,"9,928.80",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Localism,CAPITA RESOURCING LTD,,Large,,215581006,5106198430,Expenses,SL6 1DP,52.80,
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Localism,CAPITA RESOURCING LTD,,Large,,215581006,5106198430,Interim Manager (Ext 01),SL6 1DP,"4,193.45",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198414,Interim Manager (Expenses),SL6 1DP,214.20,
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198414,Interim Manager - Ext 01,SL6 1DP,"1,912.50",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198417,Expenses INTERREG 2Seas-Territorial Faci,SL6 1DP,57.30,
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198420,Contractor ERDF,SL6 1DP,"1,020.00",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198420,Contractor ERDF Expenses,SL6 1DP,69.42,
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198423,Interim Manager - Ext 01,SL6 1DP,"1,794.72",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198424,Interim Manager,SL6 1DP,"2,035.20",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198425,Interim Manager - Ext 01,SL6 1DP,"1,242.00",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198426,Interim Manager - Ext 01,SL6 1DP,"2,018.28",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198431,Expenses,SL6 1DP,4.43,
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198431,Interim Manager - Ext 01,SL6 1DP,"1,912.50",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198432,Interim Manager - Ext 01,SL6 1DP,"2,375.94",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198433,CPD 0492030 Capita MSP,SL6 1DP,"1,749.00",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198437,Expenses,SL6 1DP,15.24,
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198437,Interim Manager - Ext 01,SL6 1DP,"1,552.50",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198460,CPD 0492030 Capita MSP,SL6 1DP,"1,399.20",
Communities & Local Government,DCLG,06/11/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,215581006,5106198460,Expenses,SL6 1DP,41.40,
Communities & Local Government,DCLG,06/11/2013,Fees,Strategy and Private Office Group,MRS S V WELLER,,,,,2100236061,FEES + ERS,,"10,848.42",
Communities & Local Government,DCLG,06/11/2013,Grant in Aid to NDPBs (non budget),Localism,VALUATION TRIBUNAL SERVICE,,,,211218366,2100236021,,E1 1DU,"476,501.00",Yes
Communities & Local Government,DCLG,06/11/2013,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOMES & COMMUNITIES AGENCY,,Public Bodies,,215576860,2100236057,HCA Grant in Aid for November 2013,NE11 0NA,"156,503,137.00",Yes
Communities & Local Government,DCLG,06/11/2013,IT - Service Contracts,Finance & Corporate Services,AMOR BUSINESS TECHNOLOGY SOLUTIONS,,Large,,399909910,5106198454,Database ERDF (development service),PA4 9LH,"5,136.00",
Communities & Local Government,DCLG,06/11/2013,IT - Service Contracts,Finance & Corporate Services,AMOR BUSINESS TECHNOLOGY SOLUTIONS,,Large,,399909910,5106198455,Database ERDF (development service),PA4 9LH,"5,661.00",
Communities & Local Government,DCLG,06/11/2013,IT - Service Contracts,Finance & Corporate Services,AMOR BUSINESS TECHNOLOGY SOLUTIONS,,Large,,399909910,5106198473,Database ERDF (development service),PA4 9LH,"5,661.00",
Communities & Local Government,DCLG,06/11/2013,IT - Service Contracts,Finance & Corporate Services,SWIRRL IT LIMITED,,Micro,,211074993,5106198459,DCLG Open Data Strategy,FK7 7WT,"12,150.00",
Communities & Local Government,DCLG,06/11/2013,IT - Service Contracts,Localism,INFORMED SOLUTIONS LTD,,Small,,346179542,5106198409,GPSManaged Servcies to 28 January 2014,WA14 4PA,"33,712.26",
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,BEXLEY LB,,,,,5000236876,Grant Payable by Exchequer,DA8 1TL,"26,909.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,BOLSOVER DC,,Large,,235516523,5000236877,Grant Payable by Exchequer,S44 6NF,"65,057.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,COLCHESTER BC,,,,,5000236879,Grant Payable by Exchequer,CO3 3WG,752.00,Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,ENFIELD LB,,,,,5000236882,Grant Payable by Exchequer,EN1 3XF,"936,783.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,HARBOROUGH DC,,Public Bodies,,232611962,5000236883,Grant Payable by Exchequer,LE16 7AG,"1,525,093.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,IPSWICH BC,,,,226861391,5000236885,Grant Payable by Exchequer,IP1 2EE,"910,560.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,ISLES OF SCILLY COUNCIL,,,,214146040,5000236886,Grant Payable by Exchequer,TR21 0LW,"45,314.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,KNOWSLEY MBC,,,,,5000236889,Grant Payable by Exchequer,L36 9YZ,"4,883.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,LEWES DC,,,,213090082,5000236890,Grant Payable by Exchequer,BN7 2DQ,"146,063.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,MID SUFFOLK DC,,,,219028933,5000236893,Grant Payable by Exchequer,IP6 8DL,"425,885.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,NORTH TYNESIDE MBC,,,,,5000236896,Grant Payable by Exchequer,NE30 1AE,"1,126,218.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,NORTH WARWICKSHIRE BC,,,,,5000236897,Grant Payable by Exchequer,CV9 1DE,"42,524.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,PRESTON BC,,,,232604124,5000236899,Grant Payable by Exchequer,PR1 2RL,"250,042.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,RUSHCLIFFE BOROUGH COUNCIL,,,,,5000236900,Grant Payable by Exchequer,NG2 5FE,"1,378,413.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,SALFORD CITY CNCL,,,,213180073,5000236902,Grant Payable by Exchequer,M27 5AW,"275,577.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,SOUTH BUCKS DC,,,,221356624,5000236904,Grant Payable by Exchequer,UB9 4LH,821.00,Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,SOUTH STAFFORDSHIRE DC,,,,210305155,5000236906,Grant Payable by Exchequer,WV8 1PX,359.00,Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,STEVENAGE BC,,,,236440186,5000236909,Grant Payable by Exchequer,SG1 1HN,"310,305.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,STRATFORD ON AVON DC,,,,227473881,5000236910,Grant Payable by Exchequer,CV37 6HX,"10,992.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,SUTTON LB,,,,,5000236911,Grant Payable by Exchequer,SM1 1EA,"108,000.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,SWINDON BC,,,,458639697,5000236912,Grant Payable by Exchequer,SN1 2JH,"1,752,887.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,TANDRIDGE DC,,,,225481076,5000236913,Grant Payable by Exchequer,RH8 0BT,"72,479.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,WALSALL MBC,,,,212515585,5000236916,Grant Payable by Exchequer,WS1 1TW,"211,835.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,WEALDEN DC,,,,232688697,5000236918,Grant Payable by Exchequer,BN22 9LN,"680,551.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,WELWYN HATFIELD COUNCIL,,,,210360804,5000236919,Grant Payable by Exchequer,AL8 6AE,"10,428.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,WEST DORSET DC,,,,424295350,5000236920,Grant Payable by Exchequer,DT1 1UZ,"62,748.00",Yes
Communities & Local Government,DCLG,06/11/2013,NNDR Outturn Adjustments,Localism,WEYMOUTH & PORTLAND BC,,,,735157948,5000236921,Grant Payable by Exchequer,DT4 8TA,"127,472.00",Yes
Communities & Local Government,DCLG,06/11/2013,Online Database Information Retrieval,Finance & Corporate Services,DOW JONES REUTERS BUS INTERACTIVE L,,Large,,221036630,5106198415,Factiva 2013-14,E1W 1AZ,954.00,
Communities & Local Government,DCLG,06/11/2013,Professional services,Localism,VALUATION OFFICE AGENCY,,Public Bodies,,215253886,2100236019,,W1B 5BU,"12,000,000.00",
Communities & Local Government,DCLG,06/11/2013,Publicity,Finance & Corporate Services,GORKANA GROUP LTD,,Large,,210089876,5106198467,Press Cuttings,EC1Y 8QE,"3,255.70",
Communities & Local Government,DCLG,06/11/2013,Steady State Service Provision,Finance & Corporate Services,CGI IT UK LIMITED,,Large,,239881618,5106198471,Payroll Services & Licences   13/14,CF31 9AP,"7,484.69",
Communities & Local Government,DCLG,06/11/2013,Steady State Service Provision,Localism,FIRE & RISK MANAGEMENT SUPPORT SERV,,Medium,,516076168,5106198369,Support of FSEC Toolkit,SK8 5JA,"5,985.00",
Communities & Local Government,DCLG,06/11/2013,Training,Finance & Corporate Services,INSTITUTE OF INTERNAL AUDITORS,,Small,,292669967,5106198440,IIA/FAP Annual Conference 2013,SW4 7BX,210.00,
