Data is Unweighted,,,Q5,,,,,,,,,,,,,,,,,,Q6,,,,,,,,,,,,,,,,,,,,,,,,Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,"For each of the statements below, how often do you feel this way about your job?",,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your job?,,,,,,,,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This sheet contains questions relating to: job design and work pressure, and being respected and valued at work",,,a) I look forward to going to work,,,,,,b) I am enthusiastic about my job,,,,,,c) Time passes quickly when I am working ,,,,,,"a) I have clear, planned goals and objectives for my job",,,,,,b) I always know what my work responsibilities are,,,,,,c) I am trusted to do my job,,,,,,d) I am able to do my job to a standard I am personally pleased with,,,,,,a) There are frequent opportunities for me to show initiative in my role,,,,,,b) I am able to make suggestions to improve the work of my team / department,,,,,,c) I am involved in deciding on changes introduced that affect my work area / team / department,,,,,,d) I am able to make improvements happen in my area of work,,,,,,e) I am unable to meet all the conflicting demands on my time at work,,,,,,"f) I have adequate materials, supplies and equipment to do my work",,,,,,g) There are enough staff at this organisation for me to do my job properly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWY,Calderdale and Huddersfield NHS Foundation Trust,Q32,3,12,34,34,17,503,1,5,25,39,30,500,2,4,21,33,41,501,1,8,16,56,19,502,1,5,9,54,31,501,0,2,5,49,43,502,2,7,9,48,34,501,1,9,16,53,21,501,2,8,12,59,19,500,5,19,23,37,15,499,3,15,28,40,14,500,3,27,28,28,13,495,5,20,21,45,9,501,17,33,20,25,5,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGT,Cambridge University Hospitals NHS Foundation Trust,Q35,3,6,32,41,18,390,1,4,19,41,35,389,1,4,19,35,40,391,1,6,16,55,22,389,1,4,7,53,35,390,1,1,7,43,48,390,2,9,7,45,37,389,2,10,20,49,19,389,2,7,16,57,20,389,6,18,23,39,14,390,3,13,28,41,15,389,4,28,28,27,13,389,6,19,17,47,11,389,16,28,25,27,5,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW3,Central Manchester University Hospitals NHS Foundation Trust,Q31,3,13,34,34,16,388,2,5,27,35,32,387,2,3,21,31,44,386,2,8,17,52,21,388,1,8,7,54,30,388,1,3,7,47,41,387,4,9,6,46,34,385,2,11,16,53,18,388,3,6,17,53,21,388,7,16,22,37,17,387,5,12,26,42,15,383,6,24,26,31,13,384,8,17,18,46,11,385,17,29,18,28,7,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Q36,3,9,33,36,19,505,1,5,23,39,32,501,2,4,18,39,38,503,2,4,14,58,22,507,1,3,7,56,33,506,1,1,5,53,40,505,2,5,7,49,37,500,2,5,19,51,23,506,2,6,14,55,23,505,6,13,24,40,17,506,3,11,23,45,18,503,5,26,32,27,10,504,4,16,16,51,13,505,11,26,21,33,10,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFS,Chesterfield Royal Hospital NHS Foundation Trust,Q33,4,13,32,36,15,391,1,6,24,37,32,390,1,4,20,32,42,389,2,9,18,56,16,392,2,7,5,56,30,392,2,3,4,51,40,392,2,16,8,45,29,391,4,14,18,50,14,390,2,15,16,52,15,391,9,26,23,32,10,391,6,24,29,32,8,391,5,23,28,32,13,392,6,17,17,47,13,390,19,35,19,23,4,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLN,City Hospitals Sunderland NHS Foundation Trust,Q30,4,10,33,38,15,365,2,6,25,34,34,364,2,3,18,34,43,363,1,5,16,57,21,362,1,4,5,53,37,365,2,1,3,50,43,365,4,6,5,47,37,364,3,8,16,53,19,365,2,7,14,56,20,365,8,18,20,41,13,364,5,16,24,41,14,364,5,24,32,29,10,364,4,18,18,50,10,363,16,30,23,25,7,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDE,Colchester Hospital University NHS Foundation Trust,Q35,5,10,36,35,14,328,2,8,23,36,32,327,2,5,18,33,42,327,3,7,18,55,17,326,2,5,9,55,30,328,1,2,5,53,38,328,4,10,10,43,33,328,5,11,17,51,16,326,5,8,17,56,14,326,9,20,27,34,11,328,7,18,30,34,11,327,4,19,30,35,11,327,6,17,22,44,10,325,23,28,21,22,6,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR,Countess of Chester Hospital NHS Foundation Trust,Q31,2,9,35,38,16,367,0,4,22,43,31,368,1,2,19,38,39,368,1,8,19,59,13,367,1,5,9,57,28,368,1,3,4,56,36,368,1,5,10,49,34,368,3,8,22,49,18,365,2,7,15,59,16,364,6,19,20,44,11,365,5,14,25,47,10,364,3,25,27,34,11,357,2,16,17,54,12,364,16,32,19,28,5,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXP,County Durham and Darlington NHS Foundation Trust,Q30,4,13,36,34,13,441,3,6,26,37,29,438,2,5,18,32,43,438,2,10,20,52,16,440,1,7,10,55,28,441,1,1,8,50,41,442,3,10,10,50,28,440,3,12,21,51,13,439,3,8,20,55,15,440,8,17,23,41,12,437,5,15,29,40,11,438,5,24,30,30,12,439,7,15,21,50,7,440,23,28,22,23,4,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ6,Croydon Health Services NHS Trust,Q36,4,10,31,33,22,407,2,6,24,33,34,405,3,3,20,29,44,405,4,7,17,50,22,406,2,6,9,49,34,407,2,3,6,40,49,407,4,8,9,44,35,407,3,10,20,44,22,403,4,10,16,50,20,406,10,20,24,32,14,408,6,13,30,38,14,403,4,19,33,29,14,402,7,21,21,42,8,406,23,35,24,15,3,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN7,Dartford And Gravesham NHS Trust,Q37,3,10,32,39,16,335,1,4,27,36,32,335,1,4,16,40,39,335,2,6,18,55,19,336,1,4,8,57,30,338,1,2,5,53,38,335,2,10,9,51,28,333,2,10,20,49,19,337,1,9,14,53,22,338,6,15,24,38,17,330,4,13,25,43,14,333,3,27,30,34,6,335,8,22,21,42,6,336,15,28,27,27,3,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTG,Derby Hospitals NHS Foundation Trust,Q33,5,12,32,36,15,425,3,7,25,36,29,421,2,3,19,38,39,425,2,8,19,54,17,426,1,6,6,56,32,424,1,2,6,49,42,426,2,8,6,48,35,426,3,10,22,50,15,424,4,7,16,55,17,424,8,19,25,35,13,422,6,14,31,37,12,422,5,25,30,30,11,419,7,21,22,43,8,424,20,30,21,25,3,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP5,Doncaster and Bassetlaw Hospitals NHS Foundation Trust,Q32,7,15,34,33,12,467,3,8,25,34,30,466,3,6,21,34,36,463,2,8,20,54,17,466,2,6,8,59,25,465,2,4,5,50,39,465,4,11,8,45,32,463,6,13,21,46,15,466,5,11,18,50,15,464,14,23,22,31,11,465,8,20,29,34,9,467,6,23,29,30,12,467,9,22,17,46,6,467,24,31,21,21,3,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBD,Dorset County Hospital NHS Foundation Trust,Q39,6,12,34,35,13,421,3,6,29,37,26,422,3,6,23,32,36,422,4,5,19,56,15,420,3,5,10,58,24,422,2,3,6,54,35,422,3,13,11,48,25,421,3,10,19,52,16,421,3,10,15,57,15,421,9,22,19,39,11,421,6,21,25,38,10,418,4,24,28,32,13,420,6,23,22,44,6,421,19,38,20,20,3,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC3,Ealing Hospital NHS Trust,Q36,5,11,29,34,21,429,3,5,24,36,32,430,2,4,17,33,44,430,3,6,18,54,20,430,1,4,9,54,31,435,1,2,5,49,42,434,3,9,10,42,37,433,3,10,25,48,13,433,3,7,22,53,14,433,8,18,26,37,10,432,5,14,29,41,11,430,4,19,35,29,13,428,10,20,22,40,8,429,22,24,26,24,4,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWH,East And North Hertfordshire NHS Trust,Q35,4,9,30,37,20,347,2,4,23,36,35,346,1,4,21,33,41,348,3,9,14,52,22,347,2,7,8,51,32,350,1,3,5,49,42,350,3,8,7,46,36,347,2,7,17,55,18,349,3,7,16,56,18,349,7,17,23,40,14,348,4,13,24,45,14,347,5,27,30,28,10,346,5,19,18,47,12,347,16,32,20,26,6,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJN,East Cheshire NHS Trust,Q31,2,14,31,39,13,352,1,5,24,38,32,352,1,3,17,35,44,353,1,6,18,59,16,353,1,6,7,58,28,353,1,1,5,49,44,354,1,12,7,50,30,353,3,11,15,52,19,351,2,9,15,55,19,351,7,18,23,39,12,351,4,16,29,40,11,353,5,21,29,30,15,350,10,28,22,35,6,353,21,31,20,24,4,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVV,East Kent Hospitals University NHS Foundation Trust,Q37,4,11,36,31,17,395,2,6,28,33,31,394,2,4,22,32,40,394,3,7,21,52,17,395,3,5,8,57,26,395,2,3,5,58,33,395,4,8,11,48,29,394,6,8,24,47,15,395,6,8,18,53,15,394,10,18,27,36,9,393,6,14,30,38,12,394,5,23,29,29,14,391,7,20,21,43,9,391,19,26,24,26,5,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXR,East Lancashire Hospitals NHS Trust,Q31,2,10,34,35,19,385,1,4,25,32,37,382,2,4,18,31,45,385,3,7,15,55,20,386,2,4,6,55,33,387,1,2,5,46,45,386,1,7,10,43,39,385,3,8,19,48,22,386,3,6,15,56,19,385,5,19,24,38,15,385,4,14,28,40,14,386,4,24,28,31,13,383,3,20,19,45,12,385,16,29,23,26,7,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXC,East Sussex Healthcare NHS Trust,Q37,5,9,35,35,15,410,2,7,25,38,28,410,1,5,23,34,37,408,2,8,17,59,15,410,1,6,7,63,23,411,0,4,5,57,33,413,3,10,13,50,24,412,3,9,23,52,14,411,3,10,16,55,15,413,9,22,23,36,10,413,6,18,27,38,11,412,4,22,32,30,11,408,7,22,21,45,5,413,19,30,25,23,4,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVR,Epsom And St Helier University Hospitals NHS Trust,Q36,3,10,36,34,17,435,3,4,27,32,34,438,2,4,22,32,40,438,2,6,19,53,20,438,1,6,8,53,32,438,1,3,7,47,42,439,3,10,7,45,35,436,4,12,14,53,18,438,3,7,13,57,21,438,7,16,24,37,16,437,4,14,23,43,15,436,3,24,29,32,11,437,6,22,20,44,8,437,16,32,20,29,4,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDU,Frimley Park Hospital NHS Foundation Trust,Q37,3,10,30,39,19,486,1,6,20,39,35,486,1,4,19,31,46,484,2,4,16,55,23,487,1,4,5,53,37,488,1,2,3,49,45,486,1,6,9,45,39,486,2,11,15,51,22,487,3,7,15,51,23,486,7,16,25,32,20,486,4,14,27,38,18,485,6,23,33,29,8,486,5,13,13,56,14,487,15,28,23,28,7,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR7,Gateshead Health NHS Foundation Trust,Q30,5,10,36,34,14,407,2,7,26,35,30,405,1,5,21,37,35,407,2,7,16,60,15,407,1,6,8,56,30,408,0,3,7,51,39,407,1,7,10,50,31,407,3,11,23,44,19,406,4,7,18,51,20,406,9,19,22,36,14,404,6,16,29,37,13,405,3,26,29,33,9,406,4,18,19,48,11,406,14,27,25,30,5,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT,George Eliot Hospital NHS Trust,Q34,5,10,32,37,16,392,2,8,21,33,36,392,2,5,19,30,44,392,3,6,16,56,19,390,2,5,7,57,29,390,3,1,5,51,40,390,5,13,7,44,31,391,3,9,20,51,17,392,4,8,17,56,16,392,8,18,24,36,14,393,7,12,29,37,14,391,6,22,31,30,12,387,6,19,25,40,10,389,19,35,22,19,5,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTE,Gloucestershire Hospitals NHS Foundation Trust,Q39,4,15,34,35,11,491,2,7,29,38,24,492,2,4,22,36,36,492,1,9,17,58,14,491,1,5,10,56,28,494,1,1,6,52,40,494,3,14,11,47,25,492,3,11,16,54,16,490,4,9,16,58,13,493,9,22,21,40,9,491,7,20,26,39,9,486,5,23,26,33,14,481,5,18,19,52,5,488,22,29,23,22,3,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN3,Great Western Hospitals NHS Foundation Trust,Q39,3,11,27,40,19,510,1,6,19,39,35,508,1,2,18,36,43,509,2,7,17,56,18,510,1,5,7,58,29,511,1,2,6,50,41,511,2,11,10,49,28,510,3,11,21,50,16,509,2,9,18,56,15,508,6,20,27,35,12,508,5,17,28,41,9,506,4,24,27,30,14,506,5,17,17,52,8,503,16,34,20,25,5,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ1,Guy's and St Thomas' NHS Foundation Trust,Q36,3,8,31,34,24,348,1,6,24,32,37,345,1,3,22,29,45,346,2,5,16,51,25,347,1,5,10,42,42,350,1,2,4,41,52,348,2,6,9,43,39,349,3,8,17,47,25,346,1,7,14,49,28,349,7,16,18,37,22,349,4,12,18,45,21,346,6,23,28,32,11,338,5,15,18,48,14,344,10,22,25,36,7,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN5,Hampshire Hospitals NHS Foundation Trust,Q38,4,12,33,34,18,377,2,6,23,38,31,376,1,4,17,35,43,376,1,8,19,53,19,377,1,5,11,54,30,377,2,3,7,47,41,378,2,11,9,47,32,375,2,12,16,49,20,376,3,11,14,53,20,377,7,21,23,34,15,377,5,16,27,39,14,373,3,24,29,31,13,376,6,21,21,42,9,375,18,36,21,20,4,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCD,Harrogate and District NHS Foundation Trust,Q32,2,9,28,45,15,502,1,5,21,43,31,500,1,3,17,39,40,501,2,7,15,58,18,501,2,4,6,59,29,503,2,2,4,50,43,503,2,8,11,49,29,499,2,9,18,52,18,498,2,8,13,54,23,500,5,18,20,39,18,501,4,13,25,42,16,502,3,23,28,32,14,499,6,17,18,49,9,502,16,33,20,26,5,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR1,Heart of England NHS Foundation Trust,Q34,6,12,31,36,16,360,2,7,23,35,33,360,2,5,18,33,41,361,3,8,17,53,18,356,3,5,7,53,33,360,1,2,5,49,43,360,3,11,7,43,37,360,4,11,20,46,20,356,3,7,14,55,20,360,7,21,20,38,14,359,5,15,24,43,14,354,4,25,24,35,12,357,7,18,17,48,10,357,19,30,20,26,6,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD7,Heatherwood and Wexham Park Hospitals NHS Foundation Trust,Q38,4,11,33,34,18,338,2,7,24,34,34,336,2,6,23,29,40,336,4,9,15,55,16,337,2,5,8,59,25,336,1,2,7,54,35,337,1,6,7,57,28,334,2,13,19,53,13,337,4,9,21,50,16,336,9,17,28,34,12,337,6,13,30,41,10,335,7,25,26,33,9,334,8,25,21,40,7,335,13,28,28,28,3,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQQ,Hinchingbrooke Health Care NHS Trust,Q35,2,12,33,36,17,451,1,6,26,36,30,447,1,5,20,35,39,451,2,7,20,55,17,450,2,4,10,56,29,452,1,3,7,52,38,453,2,10,9,46,33,453,2,10,22,49,16,451,2,10,18,52,18,450,6,19,28,33,14,451,4,16,29,37,14,450,3,22,31,31,13,446,3,14,27,47,9,449,17,35,22,21,5,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQX,Homerton University Hospital NHS Foundation Trust,Q36,3,8,28,38,24,373,1,3,22,34,38,374,0,5,18,35,41,373,1,5,13,53,28,372,2,4,4,52,38,374,2,2,6,46,44,375,2,5,5,48,40,374,3,9,14,46,28,374,4,7,15,49,26,375,7,11,22,40,20,374,4,11,22,47,16,373,3,28,29,31,9,372,2,12,17,54,16,373,9,20,25,37,9,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,Hull And East Yorkshire Hospitals NHS Trust,Q32,6,14,39,30,11,290,2,6,29,38,24,290,2,5,22,34,36,290,3,9,18,54,17,289,1,6,6,58,28,291,0,3,6,51,40,289,2,10,8,48,31,289,3,12,19,50,16,289,3,12,14,53,17,290,12,20,20,36,11,289,7,18,22,41,11,287,3,25,31,34,7,287,8,23,21,42,7,288,20,34,22,20,4,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYJ,Imperial College Healthcare NHS Trust,Q36,3,11,32,31,23,404,1,7,22,35,35,404,2,3,22,35,38,405,2,8,14,53,23,410,2,4,7,48,39,411,1,2,3,46,47,410,2,7,9,43,39,409,2,8,19,51,20,408,1,9,20,50,20,409,7,22,24,37,11,409,4,14,23,47,12,407,6,24,28,31,12,407,4,20,19,46,11,407,17,28,28,22,6,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGQ,Ipswich Hospital NHS Trust,Q35,4,13,37,32,14,407,2,6,30,39,23,403,1,4,21,36,37,403,2,10,18,53,18,406,2,7,7,54,29,406,1,1,7,50,41,406,4,12,11,44,29,406,2,11,20,51,15,406,3,8,15,55,19,407,7,19,25,36,13,407,4,17,31,36,12,406,5,20,28,36,11,405,8,22,21,42,7,407,23,32,23,18,3,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1F1,Isle of Wight NHS Primary Care Trust (acute sector),Q38,3,13,29,38,17,429,1,5,23,38,33,428,3,3,18,37,39,431,3,7,16,56,19,430,2,6,7,51,34,430,1,2,6,48,43,431,3,11,8,45,34,430,2,9,19,52,18,427,3,9,17,52,19,431,7,20,18,40,14,430,5,16,25,41,12,430,5,28,28,26,13,429,6,18,18,49,9,430,17,34,22,23,3,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGP,James Paget University Hospitals NHS Foundation Trust,Q35,4,9,35,38,14,384,1,6,29,38,25,386,1,3,22,38,37,386,1,8,17,57,17,385,1,3,6,58,32,386,1,1,4,50,44,387,1,7,7,49,36,385,2,11,18,54,15,381,3,7,14,59,17,386,4,19,21,43,12,385,4,14,29,41,11,386,4,23,30,32,11,383,3,16,22,51,9,386,20,29,23,24,4,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNQ,Kettering General Hospital NHS Foundation Trust,Q33,3,15,27,37,19,408,1,5,23,36,35,407,2,4,20,32,42,404,3,8,17,51,22,408,2,4,10,51,33,409,2,1,7,44,47,409,4,9,8,44,35,409,5,13,21,45,16,409,3,12,17,51,17,409,10,20,24,33,12,409,6,18,27,38,11,409,6,24,27,31,12,402,9,20,21,43,8,409,21,29,22,24,4,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJZ,King's College Hospital NHS Foundation Trust,Q36,3,7,26,40,24,404,1,3,21,35,40,402,0,3,20,34,42,402,1,6,14,51,28,402,1,4,7,49,39,404,1,2,5,43,50,404,2,5,8,46,40,400,2,7,17,49,25,402,1,5,15,52,26,403,5,15,22,40,18,403,3,12,24,43,19,402,5,28,27,32,9,399,7,18,17,45,12,403,10,28,23,32,8,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAX,Kingston Hospital NHS Trust,Q36,3,10,34,35,17,383,2,7,23,36,32,383,2,4,17,33,44,384,2,5,14,59,20,385,2,3,5,55,35,386,1,1,5,47,46,385,2,8,10,44,36,385,3,7,15,53,22,384,3,7,16,51,23,383,7,16,19,39,18,384,4,13,24,43,17,380,4,25,28,34,9,380,4,17,17,50,11,383,17,34,20,24,5,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Q31,5,11,37,33,14,472,2,6,27,38,27,472,1,4,21,33,40,472,3,8,18,54,17,471,2,5,7,53,33,472,2,3,5,50,40,472,3,9,9,42,37,471,3,11,20,48,18,470,4,11,16,52,17,470,9,24,20,35,12,471,5,21,24,38,12,470,5,24,27,33,12,466,7,21,16,46,9,469,21,32,20,22,6,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR8,Leeds Teaching Hospitals NHS Trust,Q32,7,16,34,33,11,386,3,7,30,35,25,383,2,5,21,38,35,383,3,11,20,52,15,384,2,8,9,53,28,384,2,4,5,53,36,384,5,11,9,47,27,385,5,11,17,51,15,383,4,11,21,51,14,383,13,24,23,32,8,381,8,21,25,37,9,380,6,23,30,27,13,379,10,21,19,43,7,384,34,28,18,16,4,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ2,Lewisham Healthcare NHS Trust,Q36,4,8,34,40,15,262,2,5,18,49,26,260,2,5,12,33,48,259,2,5,12,56,25,262,2,3,9,54,33,261,2,3,3,48,45,260,2,9,5,49,35,260,2,7,14,52,26,263,1,7,14,54,24,262,6,14,22,44,15,262,2,12,23,49,14,260,3,21,32,29,14,258,3,19,23,46,9,259,13,33,22,28,4,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC9,Luton and Dunstable Hospital NHS Foundation Trust,Q35,2,7,30,43,18,378,1,3,20,42,34,379,2,2,16,36,44,378,1,5,14,57,23,381,2,4,6,57,31,381,1,2,6,50,41,380,2,7,11,46,34,379,1,7,22,47,22,379,1,7,18,55,19,381,4,15,27,38,17,381,3,13,26,41,16,381,2,23,28,37,9,372,7,13,21,47,12,380,17,29,20,28,6,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
