4.IWBC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
UK internet and web-based content market: key statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UK internet and web-based content market ,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,
uk-4.56,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Most popular news sites on desktop and laptop computers in the UK,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unique audience (m),,,,,,,,,,,,,,,,,,,,,,,,,
BBC News,10.1,,,,,,,,,,,,,,,,,,,,,,,,,
MailOnline,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
Guardian Online,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
Telegraph Online,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
Yahoo! News Websites,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
The Sun,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
Newsquest Media Group,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
HuffingtonPost,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
The Independent,2.1,,,,,,,,,,,,,,,,,,,,,,,,,
MSN News Network,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Sky News,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Google News,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, month of March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Unique audience is the total number of unique persons who have visited a website at least once,,,,,,,,,,,,,,,,,,,,,,,,,,
in the specified reporting period. Persons visiting the same website more than once in the reporting,,,,,,,,,,,,,,,,,,,,,,,,,,
period are only counted once.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.57,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of stories from selected news sites shared on Facebook and Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Twitter (000s),Facebook (000s),Total,,,,,,,,,,,,,,,,,,,,,,,
BBC News,945,282,"1,227",,,,,,,,,,,,,,,,,,,,,,,
Guardian Online,360,298,658,,,,,,,,,,,,,,,,,,,,,,,
MailOnline,133,360,493,,,,,,,,,,,,,,,,,,,,,,,
Telegraph Online,203,78,281,,,,,,,,,,,,,,,,,,,,,,,
Independent,30,16,46,,,,,,,,,,,,,,,,,,,,,,,
Sky News,30,8,38,,,,,,,,,,,,,,,,,,,,,,,
Financial Times,11,3,14,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Rippla, month of March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
"Note (1): The stories included are restricted to the categories of News, Politics, Opinion and Business/Economy.",,,,,,,,,,,,,,,,,,,,,,,,,,
Note (2): The number of times stories are shared includes links posted outside the UK on Facebook and Twitter.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.58,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Year-on-year changes in headline circulation of print versions and unique audiences of online versions of selected newspapers: March 2011 and March 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Print: 2011-2012 change (%),Online: 2011-2012 change (%),,,,,,,,,,,,,,,,,,,,,,,,
Mail,-4.3,18.2,,,,,,,,,,,,,,,,,,,,,,,,
Guardian,-16.8,6.3,,,,,,,,,,,,,,,,,,,,,,,,
Telegraph,-8,6.7,,,,,,,,,,,,,,,,,,,,,,,,
Sun,-7.2,3.8,,,,,,,,,,,,,,,,,,,,,,,,
Independent,-44.7,0,,,,,,,,,,,,,,,,,,,,,,,,
Times,-11.7,-53.3,,,,,,,,,,,,,,,,,,,,,,,,
Financial Times,-16.3,-12.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source (1): Audit Bureau of Circulations, March 2011 and March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
"Source (2): UKOM/Nielsen home and work panel, March 2011 and March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
"Note (1): Headline circulation includes subscriptions, overseas distribution and bulk sales to airlines,",,,,,,,,,,,,,,,,,,,,,,,,,,
"railways, hotels and gyms.",,,,,,,,,,,,,,,,,,,,,,,,,,
Note (2): Unique audience is the total number of unique persons who have visited a website at least once,,,,,,,,,,,,,,,,,,,,,,,,,,
in the specified reporting period. Persons visiting the same website more than once in the reporting,,,,,,,,,,,,,,,,,,,,,,,,,,
period are only counted once.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.59,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Overlapping audiences of selected news sites on desktop and laptop computers,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unique audience (m),Overlap with BBC News (%),Overlap with Mail (%),Overlap with Guardian (%),Overlap with Telegraph (%),Overlap with Sun (%),Overlap with Independent (%),Overlap with Times (%),,,,,,,,,,,,,,,,,,
BBC News,10.1,100,36.3,32.1,28.7,14.9,13.3,4.6,,,,,,,,,,,,,,,,,,
Mail,6.5,56.5,100,37.5,38.4,22.9,17.4,6,,,,,,,,,,,,,,,,,,
Guardian,5.1,63,47.7,100,45,20.7,23.9,7.8,,,,,,,,,,,,,,,,,,
Telegraph,4.8,60.9,52.3,48.5,100,21.6,23.1,8.3,,,,,,,,,,,,,,,,,,
Sun,2.7,55.3,54.6,39.1,37.8,100,18.8,7.8,,,,,,,,,,,,,,,,,,
Independent,2.1,64.2,53.9,58.7,52.6,24.5,100,11.8,,,,,,,,,,,,,,,,,,
Times,0.7,63.7,53.6,55.6,54.7,29.2,34.2,100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, month of March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Note (1): Unique audience is the total number of unique persons who have visited a website at least once,,,,,,,,,,,,,,,,,,,,,,,,,,
in the specified reporting period. Persons visiting the same website more than once in the reporting,,,,,,,,,,,,,,,,,,,,,,,,,,
period are only counted once.,,,,,,,,,,,,,,,,,,,,,,,,,,
Note (2): Overlapping audience is the proportion of the unique audience of a site which also visited a,,,,,,,,,,,,,,,,,,,,,,,,,,
second designated site in the specified reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,
