Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department for Transport,Department for Transport,07/06/2013,Agency Staff Costs,Group HR,HAYS PERSONNEL SERVICE LTD,2000005211,4154.1,#,KT3 4JQ
Department for Transport,Department for Transport,07/06/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000005228,2568,#,SL1 3SA
Department for Transport,Department for Transport,07/06/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000005228,2505.6,#,SL1 3SA
Department for Transport,Department for Transport,07/06/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000005228,4080,#,SL1 3SA
Department for Transport,Department for Transport,07/06/2013,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,100006982,-3408.78,#,BR1 1HP
Department for Transport,Department for Transport,07/06/2013,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,100006982,3408.78,#,BR1 1HP
Department for Transport,Department for Transport,07/06/2013,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000005229,3408.78,#,BR1 1HP
Department for Transport,Department for Transport,07/06/2013,Agency Staff Costs,Local,EXPERIS LTD,2000005217,2235.3,#,EC1R 3DR
Department for Transport,Department for Transport,07/06/2013,Agency Staff Costs,Highspeed 2,BADENOCH & CLARK,2000005214,1755.66,#,EC4V 4BG
Department for Transport,Department for Transport,07/06/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000005228,528,#,SL1 3SA
Department for Transport,Department for Transport,07/06/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000005228,2759.99,#,SL1 3SA
Department for Transport,Department for Transport,07/06/2013,Building Service Cha,Business Transformation,AMEY COMMUNITY LTD,2000005244,4521.48,#,OX4 4DQ
Department for Transport,Department for Transport,07/06/2013,Building Service Cha,Business Transformation,AMEY COMMUNITY LTD,2000005244,9000,#,OX4 4DQ
Department for Transport,Department for Transport,07/06/2013,Building Service Cha,Business Transformation,AMEY COMMUNITY LTD,2000005244,225358.01,#,OX4 4DQ
Department for Transport,Department for Transport,07/06/2013,Car Hire and Leasing,Motoring Services,LEX AUTOLEASE LTD,2000005212,433.94,#,BL9 8RT
Department for Transport,Department for Transport,07/06/2013,Computer Consumables,Transport Security - Security Compliance Division ,XMA LIMITED GOSC,2000005240,412.22,CB381A-LON Longbow HP LJCM6040 CYAN,NG11 7EP
Department for Transport,Department for Transport,07/06/2013,Computer Consumables,Transport Security - Security Compliance Division ,XMA LIMITED GOSC,2000005240,206.11,CB382A-LON Longbow HP LJCM6040 YELLOW,NG11 7EP
Department for Transport,Department for Transport,07/06/2013,Computer Consumables,Transport Security - Security Compliance Division ,XMA LIMITED GOSC,2000005240,100.92,CB383A-LON Longbow HP LJCM6040 MAGENTA,NG11 7EP
Department for Transport,Department for Transport,07/06/2013,Computer Consumables,Transport Security - Security Compliance Division ,XMA LIMITED GOSC,2000005240,130.85,CB390AC HP LJCM6040 BLACK,NG11 7EP
Department for Transport,Department for Transport,07/06/2013,Computer equipment,Business Transformation,REMPLOY LTD,2000005210,3534.9,#,LS12 6LN
Department for Transport,Department for Transport,07/06/2013,IT Ser Running Costs,Business Transformation,COMPUTACENTER,2000005226,5639.98,#,AL10 9TW
Department for Transport,Department for Transport,07/06/2013,IT Ser Running Costs,Business Transformation,COMPUTACENTER,2000005226,3900,#,AL10 9TW
Department for Transport,Department for Transport,07/06/2013,Legal Consultancy,Rail Commercial Contracts,EVERSHEDS LLP,2000005218,14532,#,LS11 5DR
Department for Transport,Department for Transport,07/06/2013,Legal Consultancy,DASH,xxxxxxxx,2000005237,8640,#,#
Department for Transport,Department for Transport,07/06/2013,Legal Consultancy,DASH,RICHARD TURNEY,2000005238,3096,#,EC4A 2HG
Department for Transport,Department for Transport,07/06/2013,Legal Consultancy,DASH,xxxxxxxx,2000005225,30348,#,#
Department for Transport,Department for Transport,07/06/2013,Printing,Air Accident Investigation Branch,WILLIAMS LEA LIMITED,2000005234,1764.25,#,NR3 1PD
Department for Transport,Department for Transport,07/06/2013,Printing,Air Accident Investigation Branch,WILLIAMS LEA LIMITED,2000005234,2424.4,#,NR3 1PD
Department for Transport,Department for Transport,07/06/2013,Printing,Roads,WILLIAMS LEA LIMITED,2000005234,476.76,#,NR3 1PD
Department for Transport,Department for Transport,07/06/2013,Printing,DASH,WILLIAMS LEA LIMITED,2000005234,1112.44,#,NR3 1PD
Department for Transport,Department for Transport,07/06/2013,Printing,DASH,WILLIAMS LEA LIMITED,2000005234,2360.59,#,NR3 1PD
Department for Transport,Department for Transport,07/06/2013,Recruitment Fees,Group HR,RACHEL FROST LTD,2000005232,1891.68,#,KT1 1ER
Department for Transport,Department for Transport,07/06/2013,Research,Analysis/Science,HALCROW GROUP LTD,2000005219,31017.56,#,W6 7BY
Department for Transport,Department for Transport,07/06/2013,Research,Analysis/Science,HALCROW GROUP LTD,2000005219,8495,#,W6 7BY
Department for Transport,Department for Transport,07/06/2013,Small Software,Business Transformation,THE PRESS ASSOCIATION LTD,2000005230,875.56,#,SW1V 1A
Department for Transport,Department for Transport,07/06/2013,Support Services,Marine Accident Investigation Branch,MATERIAAL METINGEN TESTGROEP BV,2000005209,1670.81,#,2980 GE
Department for Transport,Department for Transport,07/06/2013,Traffic Survey & Cou,Roads,PARSONS BRINCKERHOFF LTD,2000005221,11854.32,#,NE4 7YQ
Department for Transport,Department for Transport,07/06/2013,Traffic Survey & Cou,Roads,PARSONS BRINCKERHOFF LTD,2000005221,24948,#,NE4 7YQ
Department for Transport,Department for Transport,07/06/2013,Training,Group HR,HIGHWAYS AGENCY,2000005208,12221,#,B1 1RN
Department for Transport,Department for Transport,07/06/2013,Transport  Consult,Rail and Road Projects,OVE ARUP & PARTNERS,2000005220,27480.42,#,NE1 3PL
Department for Transport,Department for Transport,07/06/2013,Transport  Consult,Rail Commercial Contracts,LEIGHFISHER LTD,2000005231,85555.12,#,W2 2ES
Department for Transport,Department for Transport,07/06/2013,Transport  Consult,Aviation,FRAZER-NASH CONSULTANCY LTD,2000005235,2594.3,#,RH4 1HJ
Department for Transport,Department for Transport,10/06/2013,Agency Staff Costs,Business Transformation,LA INTERNATIONAL COMPUTER,2000005323,6318.78,#,ST1 5UB
Department for Transport,Department for Transport,10/06/2013,Agency Staff Costs,Business Transformation,MICHAEL PAGE INTERNATIONAL,2000005329,14053.54,#,SL1 3SA
Department for Transport,Department for Transport,10/06/2013,Agency Staff Costs,Business Transformation,NETWORKERS INTERNATIONAL (UK) PLC,2000005333,4406.7,#,BR1 1HP
Department for Transport,Department for Transport,10/06/2013,Agency Staff Costs,Rail Commercial Contracts,LEND LEASE CONSULTING (EMEA) LTD,2000005330,10530,#,NW1 3BF
Department for Transport,Department for Transport,10/06/2013,Agency Staff Costs,Group Finance,METHODS CONSULTING LTD,2000005325,3663,#,WC2H 8AD
Department for Transport,Department for Transport,10/06/2013,Agency Staff Costs,Highspeed 2,NETWORKERS INTERNATIONAL (UK) PLC,2000005333,5769.12,#,BR1 1HP
Department for Transport,Department for Transport,10/06/2013,Agency Staff Costs,Refran Prog Off,METHODS CONSULTING LTD,2000005325,16216.56,#,WC2H 8AD
Department for Transport,Department for Transport,10/06/2013,Agency Staff Costs,Aviation,NETWORKERS INTERNATIONAL (UK) PLC,2000005333,838.2,#,BR1 1HP
Department for Transport,Department for Transport,10/06/2013,Contract Cleaning,Rail Accident Investigation Branch,INTERSERVE,2000005336,744.71,#,BS32 4NH
Department for Transport,Department for Transport,10/06/2013,Contract Cleaning,Rail Accident Investigation Branch,INTERSERVE,2000005336,744.71,#,BS32 4NH
Department for Transport,Department for Transport,10/06/2013,CurrGrt Las in AEF/A,Rail,TRANSPORT FOR LONDON,2000005332,2208700.87,TfL - LOROL Grant - 3rd Payment,SW1H 0TL
Department for Transport,Department for Transport,10/06/2013,CurrGrtOth to NDPBs,Aviation,COVENTRY AIRPORT,2000005340,19453.52,Coventry final payment,CV3 4PB
Department for Transport,Department for Transport,10/06/2013,Data Supply - TD,Transport Direct and Travel information,BASEMAP LIMITED,2000005338,2110.8,#,GU2 7YG
Department for Transport,Department for Transport,10/06/2013,IT Ser Running Costs,Rail Commercial Contracts,METHODS CONSULTING LTD,2000005325,9530.46,#,WC2H 8AD
Department for Transport,Department for Transport,10/06/2013,Legal Consultancy,Rail,BURGES SALMON,2000005318,3837.78,#,BS1 4AH
Department for Transport,Department for Transport,10/06/2013,Legal Consultancy,Refran Prog Off,EVERSHEDS LLP,2000005320,2642.5,#,LS11 5DR
Department for Transport,Department for Transport,10/06/2013,Newspapers,Business Transformation,JONES YARRELL LEADENHALL,2000005322,578.95,#,E3 3JH
Department for Transport,Department for Transport,10/06/2013,Postage,DASH,ROYAL MAIL,2000005326,644.64,#,PE4 5PG
Department for Transport,Department for Transport,10/06/2013,Property Maintenance,Rail Accident Investigation Branch,INTERSERVE,2000005336,766.81,#,BS32 4NH
Department for Transport,Department for Transport,10/06/2013,Property Maintenance,Rail Accident Investigation Branch,INTERSERVE,2000005336,764.99,#,BS32 4NH
Department for Transport,Department for Transport,10/06/2013,Publicity,Roads,GROUPM UK LIMITED,2000005339,233272.9,#,WC1X 8RX
Department for Transport,Department for Transport,10/06/2013,Rates,Business Transformation,DTZ,2000005316,37070.75,#,EH3 9QG
Department for Transport,Department for Transport,10/06/2013,Rent - L&B (non-PFI),Business Transformation,HIGHWAYS AGENCY,2000005314,49686.12,#,B1 1RN
Department for Transport,Department for Transport,10/06/2013,Rent - L&B (non-PFI),Business Transformation,BERALA SARL,2000005317,1703910,#,B4 6AJ
Department for Transport,Department for Transport,10/06/2013,Rent - L&B (non-PFI),Business Transformation,SAVILLS COMMERCIAL LTD,2000005328,98248.8,#,EC2M 7EE
Department for Transport,Department for Transport,10/06/2013,Rent - L&B (non-PFI),Business Transformation,JONES LANG LaSALLE (BODMIN),2000005335,223500,#,E14 5EG
Department for Transport,Department for Transport,10/06/2013,Support Services,Managing Director Motoring Services,HIGHWAYS AGENCY,2000005314,1329000,#,B1 1RN
Department for Transport,Department for Transport,10/06/2013,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000005331,3016.06,#,DL3 6XR
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000005327,729,#,BS24 9BP
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000005327,7239,#,BS24 9BP
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000005327,2560,#,BS24 9BP
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000005327,2178,#,BS24 9BP
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000005327,1528,#,BS24 9BP
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000005327,4380,#,BS24 9BP
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000005321,23217,#,G2 7HX
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000005321,15889,#,G2 7HX
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000005321,17962,#,G2 7HX
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000005321,15472.5,#,G2 7HX
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000005321,17632,#,G2 7HX
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000005321,31275,#,G2 7HX
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000005321,22292,#,G2 7HX
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000005321,26376,#,G2 7HX
Department for Transport,Department for Transport,10/06/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000005321,20737.4,#,G2 7HX
Department for Transport,Department for Transport,10/06/2013,Transport  Consult,Aviation,RED SCIENTIFIC LTD,2000005315,6930.71,#,GU34 2YT
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000005392,4036.38,#,BN11 2BW
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Rail Commercial Contracts,CAPITA RESOURCING LTD,2000005409,13056,#,DL1 9HN
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Rail Commercial Contracts,MICHAEL PAGE INTERNATIONAL,2000005407,2478.17,#,SL1 3SA
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,CAPITA RESOURCING LTD,2000005409,3345.12,#,DL1 9HN
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,CAPITA RESOURCING LTD,2000005409,15334.58,#,DL1 9HN
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Group Finance,LA INTERNATIONAL COMPUTER,2000005400,11800.4,#,ST1 5UB
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000005407,528,#,SL1 3SA
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000005407,660,#,SL1 3SA
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000005407,2808,#,SL1 3SA
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000005395,3270.3,#,EC4V 4BG
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000005395,2616.24,#,EC4V 4BG
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,CAPITA RESOURCING LTD,2000005409,18734.65,#,DL1 9HN
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,CAPITA RESOURCING LTD,2000005409,15489.36,#,DL1 9HN
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,LA INTERNATIONAL COMPUTER,2000005400,16454.84,#,ST1 5UB
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,100007139,3514.8,Match to credit note in full,SL1 3SA
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,100007139,-3514.8,Match to credit note in full,SL1 3SA
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,100007140,3514.8,Match to credit note in full,SL1 3SA
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,100007140,-3514.8,Match to credit note in full,SL1 3SA
Department for Transport,Department for Transport,11/06/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000005407,3333,#,SL1 3SA
Department for Transport,Department for Transport,11/06/2013,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000005403,19100,#,E14 9SQ
Department for Transport,Department for Transport,11/06/2013,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000005403,6775,#,E14 9SQ
Department for Transport,Department for Transport,11/06/2013,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000005403,6605,#,E14 9SQ
Department for Transport,Department for Transport,11/06/2013,Books,General Counsel's Office,SWETS INFORMATION SERVICES,2000005390,7704.2,#,OX14 1UQ
Department for Transport,Department for Transport,11/06/2013,Cap Grt Loc Auth,DASH,NORFOLK COUNTY COUNCIL,2000005412,387000,Norfolk Smart Enable and Smart Ticketing Pilot RES,NR1 2UG
Department for Transport,Department for Transport,11/06/2013,Computer equipment,Business Transformation,PROCESSFLOWS (UK) LTD,2000005394,942,#,SO23 8RY
Department for Transport,Department for Transport,11/06/2013,Contract Cleaning,Marine Accident Investigation Branch,PROGRESS CLEANING SERVICES,2000005391,702,#,SO30 2FQ
Department for Transport,Department for Transport,11/06/2013,CurrGrt Las in AEF/A,London and Olympics,GREATER LONDON AUTHORITY,2000005421,76479000,GLA Grant Payment - No 6,SE1 2UT
Department for Transport,Department for Transport,11/06/2013,CurrGrt Las in AEF/A,DASH,NORFOLK COUNTY COUNCIL,2000005412,59000,Norfolk Smart Enable and Smart Ticketing Pilot RES,NR1 2UG
Department for Transport,Department for Transport,11/06/2013,Financial Consultanc,Refran Prog Off,GRANT THORNTON UK LLP,2000005410,37080,#,NN4 7YE
Department for Transport,Department for Transport,11/06/2013,Financial Consultanc,Refran Prog Off,GRANT THORNTON UK LLP,2000005410,36480,#,NN4 7YE
Department for Transport,Department for Transport,11/06/2013,Financial Consultanc,Refran Prog Off,PRICEWATERHOUSECOOPERS LLP,2000005403,47883.6,#,E14 9SQ
Department for Transport,Department for Transport,11/06/2013,IT Ser Running Costs,Transport Direct and Travel information,ATOS IT SERVICES UK LTD,2000005393,9073.2,#,WV10 6UH
Department for Transport,Department for Transport,11/06/2013,IT Ser Running Costs,Transport Security - Security Compliance Division ,CACI INFORMATION SOLUTIONS LTD,2000005397,17324.86,#,W14 8TS
