UK in Context CSVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2015-2019 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues, which refers to letter mail only. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. All figures are nominal and are displayed at 2014 currency exchange ratesNote: Postal revenues are for our 18 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,2014,,YoY,CAGR,,,,,,,,,,,,,,,,,,,,,,,,,,
Five or more,5,4,5,8,8,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four,2,1,1,2,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three,4,3,3,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two ,8,5,7,10,10,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One,10,8,8,9,14,14,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None in the last month,45,42,48,34,39,38,46,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never downloaded an app,7,12,10,6,6,5,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't know,18,25,18,27,15,26,16,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most commonly downloaded apps on Google Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone owners (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: App Annie Top App Charts Aug 31, 2015. Translation notes: 1. ???????????2. ????-200??????????3. ????—?1??????????????4. Yahoo!????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,Facebook,Heroes of the Alpha Arena,WhatsApp Messenger,Messenger,Google Photos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,Facebook,Messenger,Snapchat,Google Photos,WhatsApp Messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,WhatsApp Messenger,Facebook ,360 Security,Messenger,Heroes X Mortals: Kriegsarena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,WhatsApp Messenger,Facebook ,Messenger,360 Security,COOKING MAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Messenger,Google Photos,Facebook,360 Security,Pandora Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,RPG Iruna Senki online 1,Collect the real battleship empire2,Battered hero – battle game3,Yahoo! Browser 4,Clash of Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Facebook,Messenger,Google Photos,Golden Lion Slots,Instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,WhatsApp Messenger,Facebook,Messenger,Google Photos,64 Games ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most commonly downloaded apps on iPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone owners (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: App Annie Top App Charts Aug 31, 2015. Translation notes: 1. ????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,Happy Wheels,WhatsApp Messenger,The Walking Dead: Road to Survival,Messenger,Facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,The Walking Dead: Road to Survival,Happy Wheels,WhatsApp Messenger,Messenger,iMusic Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,Happy Wheels,WhatsApp Messenger,The Walking Dead: Road to Survival,iMusic Pro,Messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,Happy Wheels ,WhatsApp Messenger ,Messenger ,Layout from Instagram,Jusapp – Prank Calls ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Happy Wheels,The Walking Dead: Road to Survival,Messenger,Facebook,Instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,Happy Wheels,Pokemon Shuffle Mobile,Pirates of war1,SUUMO,LINE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Happy Wheels,Messenger,Layout from Instagram ,Facebook,Instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,WhatsApp Messenger,Layout from Instagram ,Messenger ,Instagram,Facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levels of interest in types of news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of 4G respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Reuters Institute / YouGov research Jan/Feb 2015Base: total sample in each countryQ2: Which of the following types of news is most important to you? Choose up to five. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,US,JPN,AUS,IRE,ESP,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,
News about the country,72%,65%,67%,56%,57%,55%,62%,59%,63%,64%,,,,,,,,,,,,,,,,,,,,,,,,,,
International news,51%,59%,70%,49%,46%,46%,75%,64%,53%,66%,,,,,,,,,,,,,,,,,,,,,,,,,,
Local news about my town or city,44%,33%,41%,44%,52%,22%,41%,42%,34%,38%,,,,,,,,,,,,,,,,,,,,,,,,,,
News about my region,37%,40%,54%,35%,28%,26%,29%,29%,41%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,
Business and financial news,20%,14%,12%,15%,19%,25%,28%,27%,15%,26%,,,,,,,,,,,,,,,,,,,,,,,,,,
News about the economy,37%,32%,29%,30%,41%,45%,35%,42%,40%,34%,,,,,,,,,,,,,,,,,,,,,,,,,,
Entertainment and celebrity news,16%,9%,13%,16%,13%,29%,20%,21%,7%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,
Fun/weird news,14%,12%,12%,19%,17%,18%,15%,18%,16%,18%,,,,,,,,,,,,,,,,,,,,,,,,,,
Health news,27%,27%,22%,33%,28%,31%,26%,30%,32%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,
Education news,12%,14%,12%,14%,15%,11%,11%,13%,25%,12%,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts and culture news,11%,15%,8%,26%,10%,18%,11%,13%,21%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,
Sports news,30%,21%,28%,30%,21%,32%,29%,33%,30%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,
News about the country’s politics,41%,46%,50%,46%,47%,47%,28%,32%,46%,46%,,,,,,,,,,,,,,,,,,,,,,,,,,
Science and technology news,24%,23%,25%,35%,28%,26%,28%,27%,31%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Starting points for online news consumption, by country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone owners (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Reuters Institute / YouGov research Jan/Feb 2015 Base: Total sample in each country Q10: Thinking about how you got news online in the last week, which were the ways in which you came across news stories? Please select all that apply",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,US,JPN,AUS,IRE,ESP,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct to news brand,52%,27%,26%,20%,36%,15%,33%,44%,36%,54%,,,,,,,,,,,,,,,,,,,,,,,,,,
Search ,32%,40%,45%,66%,40%,54%,49%,46%,54%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,
Social media,28%,21%,20%,33%,35%,14%,41%,36%,35%,38%,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,10%,21%,15%,17%,25%,15%,20%,9%,14%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile notifications/,10%,14%,9%,7%,13%,7%,9%,9%,8%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,
alerts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.54 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of online sources by country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Reuters Institute / YouGov research Jan/Feb 2015 Base: Total sample in each country Q5b: Which, if any, of the following have you used to access news in the last week? Please select all that apply",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1 source,More than 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,26,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,26,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,25,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,25,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAP,36,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,27,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,21,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRE,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEN,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Social media as a source of news, by country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Reuters Institute / YouGov research Jan/Feb 2015 Base: Total sample in each country Q3: Which, if any, of the following have you used in the last week as a source of news? Please select all that apply",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,2014,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,23,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,19,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,48,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,0,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,46,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRE,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEN,35,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top three social networks by country ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Reuters Institute / YouGov research Jan/Feb 2015 Base: Total sample in each country Q12b: Which, if any, of the following have you used for reading, watching, sharing or discussing news in the last week? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Facebook,YouTube,Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,29,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,35,22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,23,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,55,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,40,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,11,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,48,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,52,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRE,46,18,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEN,44,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devices used for reading news online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of all respondents who read news online ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents who read news online, UK= 734, FRA= 759, GER=812, ITA= 868, USA= 686, JPN= 743, AUS= 686, ESP= 819 SWE= 804Q.9a Which, if any, of the following internet activities do you use each of your devices for: reading news online?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop/desktop/notebook,80,84,84,75,85,84,82,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile phone/smartphone,39,35,40,57,33,46,36,51,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tablet,28,22,22,31,20,21,26,27,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connected TV,5,4,3,5,4,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of international news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of all respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004 Q.11 Which, if any, is your main source for the following information? International News",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,TV,Internet,Newspaper/ magazine,Radio,Other people,Not interested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,43,30,9,8,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,44,27,8,10,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,42,30,9,12,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,36,42,8,7,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,40,32,10,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,29,43,9,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,41,36,8,5,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,40,36,9,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,37,34,9,8,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of national news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of all respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004 Q.11 Which, if any, is your main source for the following information? National News",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,TV,Internet,Newspaper/ magazine,Radio,Other people,Not interested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,41,32,10,8,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,43,27,9,13,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,38,27,13,13,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,29,40,14,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,35,36,10,6,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,40,39,11,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,40,36,10,6,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,34,35,11,11,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,33,30,15,11,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of regional/local news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of all respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September – October 2015 Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004 Q.11 Which, if any, is your main source for the following information? Regional / local News",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,TV,Internet,Newspaper/ magazine,Radio,Other people,Not interested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,34,26,18,9,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,28,22,23,13,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,18,21,29,19,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,26,33,23,10,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,32,22,24,7,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,35,29,21,3,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,29,24,24,11,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,21,29,24,14,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,14,24,35,10,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of sports news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of all respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004 Q.11 Which, if any, is your main source for the following information? Sports news",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,TV,Internet,Newspaper/ magazine,Radio,Other people,Not interested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,24,25,7,10,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,25,20,6,11,4,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,27,20,9,11,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,25,29,8,13,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,26,19,9,11,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,36,29,8,2,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,29,22,7,9,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,25,26,9,16,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,23,18,7,8,3,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of celebrity news/gossip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of all respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
