Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,PSPES Level 2,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,02/08/2013,Mobile phone costs,Finance & Corporate Services,VODAFONE BUSINESS SOLUTIONS,,Large,,2300001926,Telecoms,credit note for consolidated telephone costs,RG14 5FF,-598.20,
Communities & Local Government,DCLG,02/08/2013,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106195805,Office Supplies,DELWEEKLY ABS Stapler Half Strip Black,NR3 1PD,3.31,
Communities & Local Government,DCLG,02/08/2013,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106195805,Office Supplies,DELWEEKLY Banner A4 Recycled Copier Pape,NR3 1PD,263.28,
Communities & Local Government,DCLG,02/08/2013,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106195805,Office Supplies,DELWEEKLY Banner A4 Recycled Side Spiral,NR3 1PD,27.14,
Communities & Local Government,DCLG,02/08/2013,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106195805,Office Supplies,DELWEEKLY Banner Brilliant Page Marker 3,NR3 1PD,1.56,
Communities & Local Government,DCLG,02/08/2013,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106195805,Office Supplies,DELWEEKLY Banner Fine Ballpoint Pen Blue,NR3 1PD,7.86,
Communities & Local Government,DCLG,02/08/2013,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106195805,Office Supplies,DELWEEKLY Banner Flipchart Marker Assort,NR3 1PD,2.45,
Communities & Local Government,DCLG,02/08/2013,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106195805,Office Supplies,DELWEEKLY Banner Medium Glue Stick 20g,NR3 1PD,0.77,
Communities & Local Government,DCLG,02/08/2013,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106195805,Office Supplies,DELWEEKLY Himark Dry Wipe Bullet Tip Mar,NR3 1PD,2.40,
Communities & Local Government,DCLG,02/08/2013,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106195805,Office Supplies,DELWEEKLY Himark Highlighter Assorted,NR3 1PD,3.25,
Communities & Local Government,DCLG,02/08/2013,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106195805,Office Supplies,DELWEEKLY SELF-STICK NOTES 38 X 51MM PAL,NR3 1PD,5.76,
Communities & Local Government,DCLG,02/08/2013,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106195805,Office Supplies,DELWEEKLY SELF-STICK NOTES 76 X 127MM PA,NR3 1PD,7.10,
Communities & Local Government,DCLG,02/08/2013,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106195805,Office Supplies,DELWEEKLY SELF-STICK NOTES 76 X 76MM PAL,NR3 1PD,4.51,
Communities & Local Government,DCLG,02/08/2013,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106195805,Office Supplies,DELWEEKLY Stylo Stik Ballpoint Pen Black,NR3 1PD,11.30,
Communities & Local Government,DCLG,02/08/2013,Photocopying,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Operational Services,Eland House Reproduction 13-14,BS32 4NH,348.04,
Communities & Local Government,DCLG,02/08/2013,Photocopying,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Operational Services,TQH Reproduction 13-14,BS32 4NH,"6,529.09",
Communities & Local Government,DCLG,02/08/2013,Photocopying,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Operational Services,Hemel Hemp Reproduction 13-14,BS32 4NH,124.53,
Communities & Local Government,DCLG,02/08/2013,Photocopying,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Operational Services,5SPP Reproduction 13-14,BS32 4NH,348.04,
Communities & Local Government,DCLG,02/08/2013,Physical Storage,Finance & Corporate Services,IRON MOUNTAIN (UK) LIMITED,,Large,,5106195858,Warehousing and Storage,Off site storage 2011 costs,EH54 7DF,"7,622.49",
Communities & Local Government,DCLG,02/08/2013,Professional services,Finance & Corporate Services,E C HARRIS LLP,,Large,,5106195782,Construction Service Providers,COM 094 - 12 month proff servs - CS,N1 9AB,"8,580.00",
Communities & Local Government,DCLG,02/08/2013,Professional services,Finance & Corporate Services,ENVIRONMENT AGENCY,,Public Bodies,,5106195867,Environmental Services,CRC Subsistance Fees 2013/14,PE2 8YD,"1,290.00",
Communities & Local Government,DCLG,02/08/2013,Professional services,Localism,VALUATION OFFICE AGENCY,,Public Bodies,,2100233116,Environmental Services,,W1B 5BU,"12,000,000.00",
Communities & Local Government,DCLG,02/08/2013,Professional services,Neighbourhoods,AECOM LIMITED,,Large,,5106195850,Technical Services,Contract amendment CPD0410287,AL1 3ER,"15,253.20",
Communities & Local Government,DCLG,02/08/2013,Professional services,Neighbourhoods,LONDON PENSIONS FUND AUTHORITY,,Public Bodies,,2100233108,Environmental Services,Handling of audit queries on LTGDC closure and pension liabilities,EC3N 4LP,996.00,
Communities & Local Government,DCLG,02/08/2013,Publications,Finance & Corporate Services,JONES YARRELL LEADENHALL LTD,,Large,,5106195831,Learning and Development Materials,Newspaper and Journal susbcription,E3 3JH,571.93,
Communities & Local Government,DCLG,02/08/2013,Publications,Finance & Corporate Services,JONES YARRELL LEADENHALL LTD,,Large,,5106195836,Learning and Development Materials,Journals supply 2013-14,E3 3JH,321.04,
Communities & Local Government,DCLG,02/08/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Security,Eland House Security 13-14,BS32 4NH,"19,761.04",
Communities & Local Government,DCLG,02/08/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Security,TQH Security 13-14,BS32 4NH,"9,286.58",
Communities & Local Government,DCLG,02/08/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Security,Hemel Hemp Security 13-14,BS32 4NH,"4,209.91",
Communities & Local Government,DCLG,02/08/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Security,Rivergate Security 13-14,BS32 4NH,"6,764.25",
Communities & Local Government,DCLG,02/08/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Security,Bridge House Security 13-14,BS32 4NH,"3,164.70",
Communities & Local Government,DCLG,02/08/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Security,Citygate Security 13-14,BS32 4NH,"2,510.43",
Communities & Local Government,DCLG,02/08/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Security,Queen Street Security 13-14,BS32 4NH,"2,321.36",
Communities & Local Government,DCLG,02/08/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Security,5SPP Security 13-14,BS32 4NH,"4,747.65",
Communities & Local Government,DCLG,02/08/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Security,Paradise Security 13-14,BS32 4NH,"2,114.36",
Communities & Local Government,DCLG,02/08/2013,Software Licences,Finance & Corporate Services,VODAFONE BUSINESS SOLUTIONS,,Large,,5106195861,Software,BES licences for FUJITSU transition,RG14 5FF,"3,480.43",
Communities & Local Government,DCLG,02/08/2013,Telecoms equipment (non-capitalised),Finance & Corporate Services,B T PAYMENT SERVICES LTD,,Large,,5106195853,Telecoms,Call charges to 6 July2013,DH98 1BT,"2,808.40",
Communities & Local Government,DCLG,02/08/2013,Travel and Subsistence Account,Localism,CFOA (NATIONAL RESILIANCE) LTD,,Small,,5106195847,Business Travel,ESMCP Secondee's Expense,GL56 0RH,"2,517.70",
Communities & Local Government,DCLG,02/08/2013,Vehicle hire,Finance & Corporate Services,GOVERNMENT CAR & DESPATCH AGENCY,,Public Bodies,,5106195699,Vehicle Hire and Lease,Ministerial Cars,SW8 5AX,247.50,
Communities & Local Government,DCLG,02/08/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Waste Management Services,Eland House Waste 13-14,BS32 4NH,"3,244.34",
Communities & Local Government,DCLG,02/08/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Waste Management Services,TQH Waste 13-14,BS32 4NH,"1,301.76",
Communities & Local Government,DCLG,02/08/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Waste Management Services,Hemel Hemp Waste 13-14,BS32 4NH,267.48,
Communities & Local Government,DCLG,02/08/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Waste Management Services,Rivergate Waste 13-14,BS32 4NH,917.18,
Communities & Local Government,DCLG,02/08/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Waste Management Services,Bridge House Waste 13-14,BS32 4NH,516.30,
Communities & Local Government,DCLG,02/08/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Waste Management Services,Citygate Waste 13-14,BS32 4NH,868.70,
Communities & Local Government,DCLG,02/08/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Waste Management Services,Queen Street Waste 13-14,BS32 4NH,476.25,
Communities & Local Government,DCLG,02/08/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Waste Management Services,5SPP Waste 13-14,BS32 4NH,858.73,
Communities & Local Government,DCLG,02/08/2013,Waste Disposal and pest control,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Waste Management Services,Paradise Waste 13-14,BS32 4NH,498.92,
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,BIOCITY NOTTINGHAM LIMITED,,Small,,7600005816,,Revenue Grant To Be Paid,NG1 1GF,571.90,Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CORNWALL DEVELOPMENT COMPANY LTD,,,,7600005825,,Revenue Grant Clawback Offset,TR1 1EA,"-2,575.90",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CORNWALL DEVELOPMENT COMPANY LTD,,,,7600005825,,Revenue Grant To Be Paid,TR1 1EA,"41,112.32",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,ENTERPRISE LOANS EAST MIDLANDS,,Small,,7600005813,,Revenue Grant To Be Paid,NG7 5FU,"16,945.75",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,GO GLOBAL NORTHEAST,,Small,,7600005815,,Revenue Grant Clawback Offset,SR5 3HD,-66.08,Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,GO GLOBAL NORTHEAST,,Small,,7600005815,,Revenue Grant To Be Paid,SR5 3HD,"235,340.43",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,KIRKLEES COUNCIL,,,,7600005817,,Revenue Grant To Be Paid,HD1 2TG,"17,290.33",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LEEDS CITY COUNCIL,,,,7600005807,,Revenue Grant To Be Paid,LS2 8BB,"18,112.73",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORTH EAST ENTERPRISE AGENCY LTD,,,,7600005808,,Revenue Grant To Be Paid,SR3 1AX,"48,251.63",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORTH EAST LINCOLNSHIRE COUNCIL,,Public Bodies,,7600005820,,Revenue Grant To Be Paid,DN31 1HN,738.06,Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORTH YORKSHIRE COUNTY COUNCIL,,Large,,7600005812,,Revenue Grant To Be Paid,DL7 8AL,"27,831.46",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORTHUM'LAND BUSINESS SERVICES LTD,,,,7600005822,,Revenue Grant To Be Paid,NE63 8QZ,"67,500.59",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NTH EAST SOCIAL ENTERPRISE PARTNERS,,,,7600005821,,Revenue Grant To Be Paid,NE33 4EB,"154,619.39",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SOUTH DEVON COLLEGE,,,,7600005826,,Revenue Grant Clawback Offset,TQ4 7EJ,"-4,695.29",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SOUTH DEVON COLLEGE,,,,7600005826,,Revenue Grant To Be Paid,TQ4 7EJ,"9,614.23",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SOUTH DEVON COLLEGE,,,,7600005827,,Revenue Grant To Be Paid,TQ4 7EJ,"23,229.97",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,UNIVERSITY OF SHEFFIELD,,,,7600005811,,Revenue Grant To Be Paid,S60 5TZ,"18,301.96",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,UNIVERSITY OF SHEFFIELD,,,,7600005814,,Revenue Grant To Be Paid,S60 5TZ,"12,201.29",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,UNIVERSITY OF SUNDERLAND,,,,7600005818,,Revenue Grant To Be Paid,SR1 3SD,"83,569.68",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,YORK UNIVERSITY,,Large,,7600005810,,Revenue Grant To Be Paid,YO10 5DD,"9,969.56",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,YTKO LIMITED,,,,7600005823,,Revenue Grant To Be Paid,CB4 0WS,"54,723.20",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,YTKO LIMITED,,,,7600005824,,Revenue Grant To Be Paid,CB4 0WS,"54,723.20",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,BIOCITY NOTTINGHAM LIMITED,,Small,,7600005816,,Capital Grant To Be Paid,NG1 1GF,318.78,Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,CORNWALL DEVELOPMENT COMPANY LTD,,,,7600005825,,Capital Grant To Be Paid,TR1 1EA,"148,007.82",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,DURHAM COUNTY COUNCIL,,,,7600005819,,Capital Grant To Be Paid,DL16 6JQ,"181,656.19",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,HOMES & COMMUNITIES AGENCY,,Large,,7600005806,,Capital Grant To Be Paid,NE11 0NA,"21,330.98",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,JARRANG LTD,,,,7600005809,,Capital Grant To Be Paid,TR11 4SZ,"7,837.84",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,KIRKLEES COUNCIL,,,,7600005817,,Capital Grant To Be Paid,HD1 2TG,"87,601.17",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,NORTH YORKSHIRE COUNTY COUNCIL,,Large,,7600005812,,Capital Grant To Be Paid,DL7 8AL,"4,783.80",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,UNIVERSITY OF SHEFFIELD,,,,7600005811,,Capital Grant To Be Paid,S60 5TZ,"901,312.50",Yes
Communities & Local Government,DCLG,02/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,YORK UNIVERSITY,,Large,,7600005810,,Capital Grant To Be Paid,YO10 5DD,"59,529.04",Yes
Communities & Local Government,DCLG,05/08/2013,Agency Staff,Finance & Corporate Services,CERTES COMPUTING LTD,,Medium,,5106195898,Contingent Labour,Temporary Staff July 2013,B46 1HQ,"2,946.24",
Communities & Local Government,DCLG,05/08/2013,Agency Staff,Finance & Corporate Services,REED EMPLOYMENT SERVICES,,Large,,5106195909,Contingent Labour,Admin support for DG,SW20 0BA,579.77,
Communities & Local Government,DCLG,05/08/2013,Agency Staff,Finance & Corporate Services,REED EMPLOYMENT SERVICES,,Large,,5106195911,Contingent Labour,PA admin,SW20 0BA,606.88,
Communities & Local Government,DCLG,05/08/2013,Agency Staff,Finance & Corporate Services,REED EMPLOYMENT SERVICES,,Large,,5106195912,Contingent Labour,Admin support for DG,SW20 0BA,596.82,
Communities & Local Government,DCLG,05/08/2013,Current Grants to Non Profit Bodies,Localism,ANNE FRANK TRUST UK LTD,,Small,,2100233183,,Anne Frank Educational Programme,NW5 4B4,"50,406.00",Yes
Communities & Local Government,DCLG,05/08/2013,Current Grants to Non Profit Bodies,Localism,FAITH MATTERS,Yes,Small,,2100233186,,Tell MAMA Funding for August and September 2013,SW7 1EE,"20,722.00",Yes
Communities & Local Government,DCLG,05/08/2013,Current Grants to Non Profit Bodies,Localism,KEEP BRITAIN TIDY,,Medium,,2100233182,,Support for KBT for  Love Parks  week,WN3 4EX,"4,500.00",Yes
Communities & Local Government,DCLG,05/08/2013,Fixed Maintenance,Neighbourhoods,E C HARRIS LLP,,Large,,5106195751,Construction Service Providers,ERDF SW LDU QS Services to Feb 14,N1 9AB,450.00,
Communities & Local Government,DCLG,05/08/2013,Office Supplies,Finance & Corporate Services,DANWOOD FINANCE LIMITED,,Large,,5106195895,Office Supplies,Hemel Photocopiers,RH1 1NY,318.64,
Communities & Local Government,DCLG,05/08/2013,Professional services,Neighbourhoods,E C HARRIS LLP,,Large,,5106195753,Construction Service Providers,ERDF Southwest QS Services,N1 9AB,"4,266.00",
Communities & Local Government,DCLG,05/08/2013,Professional services,Neighbourhoods,LONDON PENSIONS FUND AUTHORITY,,Public Bodies,,5106195874,Financial,admin of pensions for LTGDC,EC3N 4LP,"1,880.00",
Communities & Local Government,DCLG,05/08/2013,Research,Neighbourhoods,ROYAL TOWN PLANNING INSTITUTE-NW,,Medium,,5106195910,Operational Services,European Structural Fund Programme Costs,EC3R 8DL,"10,864.20",
Communities & Local Government,DCLG,05/08/2013,Research,Neighbourhoods,ROYAL TOWN PLANNING INSTITUTE-NW,,Medium,,5106195910,Operational Services,European Structural Fund Programme Costs,EC3R 8DL,71.10,
Communities & Local Government,DCLG,05/08/2013,Services provided by other Govt Orgs,Finance & Corporate Services,DEPT FOR EDUCATION,,Public Bodies,,5106195843,Business and Commercial Services,DCLG Security Vetting 2013-14,CF14 3UW,"3,226.40",Yes
