Newcastle City Council Invoices over £250 paid in September 2013,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,
Children's Services,Int Childhood Services     ,Supplies & Services,30/09/2013,ALBANY OFFICE FURNITURE SOLUTIONS,6012528,Revenue,1E31P,General Admin Pool Children S,279.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ALEXANDRA PARK,5995555,Revenue,1MM20,Ind Res Care MH,"8,262.96 ",,,,,,,,,
Environment & Regeneration,E&R-Highway&Traffic Management   ,Third Party Payments,10/09/2013,ALI'S TRAVEL,5995441,Revenue,1KE88,Transport Road Safety,700.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,ALLAN COURT RESIDENTIAL HOME,5995562,Revenue,1MG10,Ind Nursing Care Elderly,"-5,806.28 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,ALLAN COURT RESIDENTIAL HOME,5995562,Revenue,1MG20,Ind Res Care Elderly,"-3,676.40 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ALLAN COURT RESIDENTIAL HOME,5995562,Revenue,1MG10,Ind Nursing Care Elderly,"20,944.00 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ALLAN COURT RESIDENTIAL HOME,5995562,Revenue,1MG20,Ind Res Care Elderly,"15,220.00 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ALLAN COURT RESIDENTIAL HOME,5995562,Revenue,3WH71,Free Nursing Care Self Funder,"1,317.48 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ALLAN COURT RESIDENTIAL HOME,5995562,Revenue,3WH77,Free Nursing Care Com Care,"4,391.60 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ALLAN COURT RESIDENTIAL HOME,5995562,Revenue,3WH93,Continuing Care,"7,173.48 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ALLAN COURT RESIDENTIAL HOME,5995578,Revenue,3WH78,Fre Nursing Care Out of Area,878.32 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,ALLIED HEALTHCARE GROUP,5989513,Revenue,1MG51,Ind Home Per Care Elderly,"65,007.05 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,ALLIED HEALTHCARE GROUP,5989513,Revenue,1MG52,Ind Home Dom Supp Elderly,"1,492.36 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,ALLIED HEALTHCARE GROUP,5989513,Revenue,1MH51,Ind Home Per Care PD,"12,139.19 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,ALLIED HEALTHCARE GROUP,5989513,Revenue,1MH52,Ind Home Dom Supp PD,513.57 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,ALLIED HEALTHCARE GROUP,5989513,Revenue,1MK51,Ind Home-Per Care LD,"2,233.54 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,ALLIED HEALTHCARE GROUP,5989513,Revenue,1MK52,Ind Home-Dom Supp LD,38.76 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,ALLIED HEALTHCARE GROUP,5989513,Revenue,1MM51,Ind Home-Per Care MH,"1,901.66 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,ALLIED HEALTHCARE GROUP,5989513,Revenue,1MM52,Ind Home-Dom Supp MH,232.56 ,,,,,,,,,
HRA,HRA Income                 ,Supplies & Services,27/09/2013,ALLPAY.NET LIMITED,6006872,Revenue,1HCTG,HRA Income - General Team,11.40 ,,,,,,,,,
HRA,HRA Income                 ,Supplies & Services,27/09/2013,ALLPAY.NET LIMITED,6006872,Revenue,1HCTG,HRA Income - General Team,5.00 ,,,,,,,,,
HRA,HRA Income                 ,Supplies & Services,27/09/2013,ALLPAY.NET LIMITED,6006895,Revenue,1HCTG,HRA Income - General Team,306.25 ,,,,,,,,,
HRA,HRA Income                 ,Third Party Payments,27/09/2013,ALLPAY.NET LIMITED,6006872,Revenue,1HCTG,HRA Income - General Team,328.61 ,,,,,,,,,
HRA,HRA Income                 ,Third Party Payments,27/09/2013,ALLPAY.NET LIMITED,6006895,Revenue,1HCTG,HRA Income - General Team,"2,271.03 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,ALZHEIMERS SOCIETY,6003932,Revenue,1MG91,Grants To Vol Orgs Elderly,"7,749.56 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,ALZHEIMERS SOCIETY,5990167,Revenue,1MG60,Ind Day Care Elderly,"16,665.56 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2013,ALZHEIMERS SOCIETY,6012214,Revenue,1MG60,Ind Day Care Elderly,"14,795.36 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/09/2013,AMBER HOUSE RESIDENTIAL HOME,6006772,Revenue,1MG20,Ind Res Care Elderly,-627.52 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,AMBER HOUSE RESIDENTIAL HOME,6006772,Revenue,1MG20,Ind Res Care Elderly,"3,444.00 ",,,,,,,,,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,02/09/2013,AMCO ENGINEERING,5988191,Revenue,1KKU6,Ouseburn Barrage Maintenance,"1,251.00 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,05/09/2013,ANCHOR TRUST,5992180,Revenue,1MX51,SP Block Subsidy,"1,028.84 ",,,,,,,,,
Children's Services,Raising Stnds              ,Supplies & Services,10/09/2013,ANDRELL EDUCATION LTD,5995191,Revenue,1E66A,Seconday Improvement Team,"2,750.00 ",,,,,,,,,
Environment & Regeneration,CW Security Services             ,Premises,30/09/2013,ANDTECH SYSTEMS,6002819,Revenue,1KJ81,Void Service,283.00 ,,,,,,,,,
Environment & Regeneration,CW Security Services             ,Premises,30/09/2013,ANDTECH SYSTEMS,6002820,Revenue,1KJ81,Void Service,859.00 ,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,11/09/2013,ANIXTER LTD,5981113,Revenue,1KVEE,Electrical Stand Alone Works,399.66 ,,,,,,,,,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,23/09/2013,ANTALIS MCNAUGHTON LTD,6003669,Revenue,1CP17,Digital Printing,476.70 ,,,,,,,,,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,23/09/2013,ANTALIS MCNAUGHTON LTD,6003672,Revenue,1CP17,Digital Printing,513.90 ,,,,,,,,,
Chief Executive's,CD - Accountancy NOR                   ,Supplies & Services,23/09/2013,AON HEWITT LIMITED,6005160,Revenue,1FF51,Finance,"2,340.00 ",,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,17/09/2013,APEX ELECTRICAL SOLUTIONS LTD,5964989,Revenue,1KVEE,Electrical Stand Alone Works,"1,745.90 ",,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,17/09/2013,APEX ELECTRICAL SOLUTIONS LTD,5964990,Revenue,1KVEE,Electrical Stand Alone Works,"1,702.10 ",,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,17/09/2013,APEX ELECTRICAL SOLUTIONS LTD,5974874,Revenue,1KVEE,Electrical Stand Alone Works,"1,000.00 ",,,,,,,,,
Children's Services,Invoice,Supplies & Services,23/09/2013,APOGEE CORPORATION,6005247,Revenue,1MW03,Capabilities,326.11 ,,,,,,,,,
Adult and Culture,Adult - Learning & Development   ,Employees,11/09/2013,APPLE TRAINING ACADEMY LTD,5989792,Revenue,1MB20,Workforce Reform,995.00 ,,,,,,,,,
Adult and Culture,Adult - Learning & Development   ,Supplies & Services,17/09/2013,APPLE TRAINING ACADEMY LTD,6001583,Revenue,1MB20,Workforce Reform,995.00 ,,,,,,,,,
Environment & Regeneration,EEC Housing                ,Premises,18/09/2013,APPOLLO GAS SERVICES,6001282,Revenue,1D568,Work in Default Recoverable,260.00 ,,,,,,,,,
Children's Services,Educ School Planning    ,Third Party Payments,04/09/2013,AQUILA WAY,5991601,Revenue,1MD62,Support to LAC,"1,568.57 ",,,,,,,,,
Children's Services,Invoice,Supplies & Services,09/09/2013,ARC ENVIRONMENTAL LTD,5953780,Revenue,1D562,River Tyne Sedementation,"2,922.00 ",,,,,,,,,
Children's Services,Invoice,Supplies & Services,25/09/2013,ARCO LTD,6007894,Revenue,1KE21,Brunswick Recycling Centre,419.00 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,23/09/2013,ARCO LTD,6004022,Revenue,1V105,Supervision & Enforcement,290.00 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,28/09/2013,ARCO LTD,6012586,Revenue,1V105,Supervision & Enforcement,368.20 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,30/09/2013,ARCO LTD,6012486,Revenue,1KELA,Traffic Sig General O/H,"1,325.00 ",,,,,,,,,
Children's Services,Schools Payment Agency                 ,Supplies & Services,30/09/2013,ARCUS,6012649,Revenue,1E097,Bridgewater Centre,"1,000.00 ",,,,,,,,,
Children's Services,Schools Payment Agency                 ,Supplies & Services,06/09/2013,ARCUS,5992234,Revenue,1E097,Bridgewater Centre,"1,000.00 ",,,,,,,,,
Chief Executive's,CD - Communities                 ,Supplies & Services,20/09/2013,AREEEBA DISTRIBUTION,5999684,Revenue,1KN42,Parklands Ward,360.00 ,,,,,,,,,
Chief Executive's,CD - Communities                 ,Supplies & Services,20/09/2013,AREEEBA DISTRIBUTION,5999686,Revenue,1KN20,Benwell & Scotswood Ward,360.00 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,30/09/2013,ARK HOUSE TREATMENT CENTRE,6012424,Revenue,1MP27,DAT Residential Rehab,705.72 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,06/09/2013,ARK HOUSE TREATMENT CENTRE,5992847,Revenue,1MP27,DAT Residential Rehab,"1,764.30 ",,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,17/09/2013,ARNOLD CLARK,6000732,Revenue,1KESY,Fleet Services Hire office,301.00 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,03/09/2013,ARNOLD CLARK,5988450,Revenue,1KESY,Fleet Services Hire office,301.00 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Transport,04/09/2013,ARRIVA NORTH EAST,5991506,Revenue,1V301,Travel office Travel Passes,920.00 ,,,,,,,,,
Environment & Regeneration,Cityworks Parks & C/side   ,Supplies & Services,24/09/2013,AS AUDIO SERVICES,6004463,Revenue,1KL79,Hoppings,400.00 ,,,,,,,,,
Environment & Regeneration,Cityworks Gosforth         ,Supplies & Services,25/09/2013,ASA AWARD SCHEME,6007856,Revenue,1KL1G,Gosforth Pool,"1,094.40 ",,,,,,,,,
Chief Executive's,CD - Benefit Centre              ,Transfer Payments,03/09/2013,ASDA BUSINESS AWARDS,5982439,Revenue,1CS17,Crisis Support,"2,437.50 ",,,,,,,,,
Chief Executive's,CD - Benefit Centre              ,Transfer Payments,03/09/2013,ASDA BUSINESS AWARDS,5982440,Revenue,1CS17,Crisis Support,"2,437.50 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,27/09/2013,ASHCHEM CHEMISTS,6010829,Revenue,1ML09,PH - Drugs and alcohol,225.00 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,27/09/2013,ASHCHEM CHEMISTS,6010829,Revenue,1ML10,PH - Sexual health -C'ception,52.80 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,25/09/2013,ASHCHEM CHEMISTS,6008182,Revenue,1ML09,PH - Drugs and alcohol,200.00 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,25/09/2013,ASHCHEM CHEMISTS,6008182,Revenue,1ML11,PH - Smoking & Tobacco,40.00 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,25/09/2013,ASHCHEM CHEMISTS,6008182,Revenue,1ML10,PH - Sexual health -C'ception,39.60 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,ASHFIELD COURT,5995515,Revenue,1MG20,Ind Res Care Elderly,"-2,073.28 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ASHFIELD COURT,5995515,Revenue,1MG20,Ind Res Care Elderly,"6,944.28 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Transport,10/09/2013,ASHTEAD PLANT HIRE CO LTD,5995454,Revenue,1KEMC,Highways,683.20 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Transport,10/09/2013,ASHTEAD PLANT HIRE CO LTD,5995455,Revenue,1KEMC,Highways,713.36 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Transport,09/09/2013,ASHTEAD PLANT HIRE CO LTD,5991187,Revenue,1KEMC,Highways,400.00 ,,,,,,,,,
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,10/09/2013,ASKEWS LIBRARY SERVICES LTD,5994484,Revenue,1EJ13,Stock Services,262.41 ,,,,,,,,,
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,10/09/2013,ASKEWS LIBRARY SERVICES LTD,5994516,Revenue,1EJ13,Stock Services,301.66 ,,,,,,,,,
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,10/09/2013,ASKEWS LIBRARY SERVICES LTD,5994559,Revenue,1EJ13,Stock Services,670.27 ,,,,,,,,,
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,16/09/2013,ASKEWS LIBRARY SERVICES LTD,6000965,Revenue,1EJ13,Stock Services,250.66 ,,,,,,,,,
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,25/09/2013,ASKEWS LIBRARY SERVICES LTD,6001017,Revenue,1EJ13,Stock Services,301.66 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/09/2013,ASPINDEN WOOD CENTRE,6006729,Revenue,1MM20,Ind Res Care MH,-486.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,ASPINDEN WOOD CENTRE,6006729,Revenue,1MM20,Ind Res Care MH,"2,760.00 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,ASPIRATIONS CARE LTD,6003985,Revenue,1MH50,Ind Home Spot Pur PD,"17,672.50 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,ASPIRATIONS CARE LTD,6003986,Revenue,1MH50,Ind Home Spot Pur PD,"10,781.46 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,ASPIRATIONS CARE LTD,6004066,Revenue,1MH50,Ind Home Spot Pur PD,625.33 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,ASPIRATIONS CARE LTD,6004071,Revenue,1MH50,Ind Home Spot Pur PD,625.33 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,ASPIRATIONS CARE LTD,6004076,Revenue,1MH50,Ind Home Spot Pur PD,625.33 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,ASPIRATIONS CARE LTD,6004160,Revenue,1MH50,Ind Home Spot Pur PD,"17,672.50 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,ASPIRATIONS CARE LTD,6004178,Revenue,1MH50,Ind Home Spot Pur PD,625.33 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,ASPIRATIONS CARE LTD,6004181,Revenue,1MH50,Ind Home Spot Pur PD,625.33 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,ASPIRATIONS CARE LTD,6004184,Revenue,1MH50,Ind Home Spot Pur PD,625.33 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,ASPIRATIONS CARE LTD,6004186,Revenue,1MH50,Ind Home Spot Pur PD,625.33 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,ASPIRATIONS CARE LTD,6004187,Revenue,1MH50,Ind Home Spot Pur PD,"10,781.46 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,18/09/2013,ASPIRATIONS CARE LTD,6001329,Revenue,1MH50,Ind Home Spot Pur PD,625.33 ,,,,,,,,,
Environment & Regeneration,E&R Raising Participation        ,Supplies & Services,09/09/2013,ASTLEY EVENT HIRE,5983201,Revenue,1KLFA,Getting Ncle Active - Staff,600.00 ,,,,,,,,,
Chief Executive's,CD - Support Services            ,Supplies & Services,17/09/2013,ASTRA EVENT & CATERING EQUIPMENT HIRE,5995246,Revenue,1FN02,Mansion House,576.72 ,,,,,,,,,
Chief Executive's,CD - Mansion House               ,Supplies & Services,02/09/2013,ASTRA EVENT & CATERING EQUIPMENT HIRE,5985515,Revenue,1FN02,Mansion House,576.72 ,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,19/09/2013,ASTROFADE LTD,6002497,Revenue,1KVWC,Minor Works Contracts,"3,500.00 ",,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,23/09/2013,AT HOME IN THE COMMUNITY LTD,6002924,Revenue,4WX32,Patients Property Suspense,"1,947.32 ",,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,23/09/2013,AT HOME IN THE COMMUNITY LTD,6002925,Revenue,4WX32,Patients Property Suspense,"1,851.80 ",,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,26/09/2013,AT HOME IN THE COMMUNITY LTD,6010063,Revenue,4WX32,Patients Property Suspense,"1,821.60 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,05/09/2013,AT HOME IN THE COMMUNITY LTD,5992211,Revenue,1MX51,SP Block Subsidy,"9,648.00 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",26/09/2013,AT HOME IN THE COMMUNITY LTD,6009043,Revenue,1MK50,Ind Supported Living LD,-651.77 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",19/09/2013,AT HOME IN THE COMMUNITY LTD,6002552,Revenue,1MK50,Ind Supported Living LD,-651.77 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",12/09/2013,AT HOME IN THE COMMUNITY LTD,5998989,Revenue,1MK50,Ind Supported Living LD,-651.77 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",05/09/2013,AT HOME IN THE COMMUNITY LTD,5992144,Revenue,1MK50,Ind Supported Living LD,-651.77 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,26/09/2013,AT HOME IN THE COMMUNITY LTD,6009043,Revenue,1MK50,Ind Supported Living LD,"7,734.88 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,26/09/2013,AT HOME IN THE COMMUNITY LTD,6009043,Revenue,1MK54,Dom Care Own Tenancy LD,"1,448.57 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,26/09/2013,AT HOME IN THE COMMUNITY LTD,6009043,Revenue,1MK55,Dom Care Family/Carer LD,"1,108.28 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,26/09/2013,AT HOME IN THE COMMUNITY LTD,6009043,Revenue,1MM50,Ind Home - Spot Pur MH,"1,514.24 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,26/09/2013,AT HOME IN THE COMMUNITY LTD,6009043,Revenue,3WH96,Continuing Care-Dom Payments,"1,648.85 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/09/2013,AT HOME IN THE COMMUNITY LTD,6002552,Revenue,1MK50,Ind Supported Living LD,"7,734.88 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/09/2013,AT HOME IN THE COMMUNITY LTD,6002552,Revenue,1MK54,Dom Care Own Tenancy LD,"1,448.57 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/09/2013,AT HOME IN THE COMMUNITY LTD,6002552,Revenue,1MK55,Dom Care Family/Carer LD,"1,108.28 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/09/2013,AT HOME IN THE COMMUNITY LTD,6002552,Revenue,1MM50,Ind Home - Spot Pur MH,"1,514.24 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/09/2013,AT HOME IN THE COMMUNITY LTD,6002552,Revenue,3WH96,Continuing Care-Dom Payments,"1,621.16 ",,,,,,,,,
