Data is Unweighted,,,Q8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,How satisfied are you with each of the following?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do the following statements apply to you and your job?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This sheet contains questions relating to: job satisfaction,,,a) The recognition I get for good work,,,,,,b) The support I get from my immediate manager,,,,,,c) The freedom I have to choose my own method of working,,,,,,d) The support I get from my work colleagues,,,,,,e) The amount of responsibility I am given,,,,,,f) The opportunities I have to use my skills,,,,,,g) The extent to which my organisation values my work,,,,,,h) My level of pay,,,,,,a) I am satisfied with the quality of care I give to patients / service users,,,,,,,b) I feel that my role makes a difference to patients / service users,,,,,,,c) I am able to deliver the patient care I aspire to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Q36,5,15,24,44,12,505,4,10,16,45,25,505,2,7,25,48,19,502,2,5,14,57,22,505,2,7,15,58,18,507,3,6,15,55,20,505,6,14,25,43,12,506,11,27,24,33,5,504,1,2,6,40,43,8,505,0,1,4,44,45,6,503,1,7,10,35,33,13,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFS,Chesterfield Royal Hospital NHS Foundation Trust,Q33,8,25,26,35,6,390,7,15,19,43,16,392,3,13,26,47,12,391,1,4,15,54,25,392,2,7,18,58,15,392,3,11,16,56,15,391,10,26,27,30,6,391,12,31,22,33,3,391,2,12,9,39,27,12,392,1,1,8,45,38,7,391,4,19,12,30,16,19,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLN,City Hospitals Sunderland NHS Foundation Trust,Q30,5,20,26,44,5,365,5,9,18,46,22,364,3,8,20,55,14,364,1,4,15,58,22,364,2,7,16,56,18,363,1,6,18,55,19,365,7,18,33,36,6,365,13,22,23,37,5,361,2,4,5,38,40,11,364,1,1,7,42,42,7,365,3,9,9,31,30,19,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDE,Colchester Hospital University NHS Foundation Trust,Q35,9,24,26,34,7,328,8,15,21,36,20,327,3,10,25,49,13,327,1,8,15,56,20,328,2,9,18,55,16,328,3,9,20,54,15,328,13,20,31,31,4,328,13,23,27,34,4,328,3,9,10,36,33,9,327,1,1,8,43,41,5,326,5,12,14,32,22,16,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR,Countess of Chester Hospital NHS Foundation Trust,Q31,6,18,22,45,9,368,6,11,15,49,20,363,1,8,27,50,13,362,1,4,18,58,19,366,2,8,17,59,14,366,2,10,19,55,14,366,6,16,32,38,8,367,10,24,27,36,3,368,1,4,9,40,34,13,366,1,1,7,46,39,7,366,1,9,13,33,24,20,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXP,County Durham and Darlington NHS Foundation Trust,Q30,7,21,27,38,6,438,3,12,21,47,17,440,2,8,27,48,14,441,2,5,15,54,25,442,2,7,18,58,16,442,3,10,19,53,15,439,12,18,35,27,8,439,13,23,26,35,4,439,2,5,10,39,34,9,442,0,2,10,44,37,6,441,4,12,12,34,22,16,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ6,Croydon Health Services NHS Trust,Q36,8,20,27,38,6,405,8,9,24,41,18,406,4,9,23,48,16,403,2,5,19,55,19,407,3,10,19,53,15,404,5,10,20,48,17,406,12,20,34,28,6,406,16,29,25,28,4,407,2,5,7,36,39,10,404,0,1,7,36,49,6,404,3,11,15,29,27,15,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN7,Dartford And Gravesham NHS Trust,Q37,7,18,24,42,9,336,5,11,19,44,20,337,1,8,26,45,20,333,2,4,14,60,20,336,1,5,19,57,18,336,0,9,18,56,18,335,8,18,31,36,7,336,11,27,28,30,4,334,1,5,8,40,35,11,336,0,1,7,46,38,7,334,3,9,12,37,22,17,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTG,Derby Hospitals NHS Foundation Trust,Q33,7,20,30,36,8,425,6,10,22,40,22,423,2,9,28,50,11,422,2,6,17,56,19,425,2,9,19,58,13,424,3,10,16,57,14,426,9,21,32,34,4,425,11,27,23,36,4,424,2,4,8,36,37,12,421,0,1,8,42,41,7,420,2,11,10,33,26,18,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP5,Doncaster and Bassetlaw Hospitals NHS Foundation Trust,Q32,12,24,30,30,4,467,9,15,20,43,12,465,6,12,29,42,12,465,2,8,21,53,17,465,4,9,22,56,10,466,3,12,21,53,11,466,15,23,32,25,5,465,14,33,19,31,2,467,2,11,8,36,31,12,462,0,3,10,41,38,8,461,4,14,12,30,20,19,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBD,Dorset County Hospital NHS Foundation Trust,Q39,8,22,29,34,7,422,5,12,22,42,19,421,2,9,30,44,15,422,2,6,17,55,20,421,3,7,16,59,15,422,3,10,17,58,13,422,14,24,28,28,5,419,12,24,25,34,5,418,1,8,10,40,29,11,418,1,1,10,44,37,7,418,3,13,18,30,17,20,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC3,Ealing Hospital NHS Trust,Q36,8,15,29,39,10,433,7,9,22,41,21,430,3,8,27,46,16,431,1,7,19,56,17,432,3,8,23,54,12,432,3,10,20,55,12,433,9,19,33,32,7,430,18,29,25,26,3,432,1,8,10,36,33,13,429,1,1,9,41,39,8,431,3,10,13,34,24,17,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWH,East And North Hertfordshire NHS Trust,Q35,6,19,24,40,10,348,5,13,17,45,21,349,2,7,22,53,16,347,2,4,16,55,23,347,2,9,16,57,16,349,3,7,15,60,16,348,8,20,29,34,9,348,13,27,25,30,4,349,2,4,7,43,33,11,348,1,1,7,43,42,7,348,2,9,12,37,22,17,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJN,East Cheshire NHS Trust,Q31,7,20,27,40,6,351,6,10,22,41,22,352,3,9,21,51,16,352,1,5,9,59,26,352,1,7,17,58,16,351,1,10,17,58,14,353,12,24,34,24,6,352,11,22,24,38,5,352,2,5,9,42,32,11,352,1,1,7,43,43,5,352,3,11,14,36,21,15,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVV,East Kent Hospitals University NHS Foundation Trust,Q37,9,18,25,39,9,395,9,9,21,42,19,394,5,8,26,46,15,395,2,4,16,55,22,395,2,7,19,58,14,394,3,7,19,59,13,393,14,20,27,32,7,393,16,23,28,29,5,393,3,6,7,44,31,10,393,1,2,9,42,39,6,393,4,9,12,37,20,17,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXR,East Lancashire Hospitals NHS Trust,Q31,5,16,31,38,10,386,6,11,18,40,24,386,3,10,21,49,17,385,1,5,20,49,26,386,1,7,17,57,18,386,3,8,17,54,18,384,6,18,34,33,9,384,9,20,25,38,9,384,3,5,6,35,41,10,384,2,2,7,37,48,5,383,3,9,13,30,29,16,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXC,East Sussex Healthcare NHS Trust,Q37,7,18,29,40,6,411,8,10,21,42,18,411,2,9,27,49,13,410,2,4,18,54,22,413,1,8,17,62,12,411,2,11,18,57,11,411,12,24,34,26,4,412,10,27,24,35,4,408,1,6,10,42,26,14,411,0,1,9,46,35,9,411,3,12,16,33,17,20,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVR,Epsom And St Helier University Hospitals NHS Trust,Q36,9,18,27,37,8,437,8,12,20,41,18,436,4,11,24,47,14,437,2,7,14,58,20,437,3,7,16,60,14,436,4,12,14,52,18,437,11,22,30,30,6,434,15,28,28,25,4,432,2,5,7,38,40,8,436,1,3,8,38,44,6,436,4,9,13,34,27,14,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDU,Frimley Park Hospital NHS Foundation Trust,Q37,6,16,26,42,11,484,3,11,18,42,26,487,3,6,24,51,16,485,1,5,16,54,23,487,1,7,14,61,17,488,2,6,17,60,16,487,6,18,31,36,9,485,16,24,26,30,3,482,1,5,4,40,35,16,485,1,1,6,40,40,12,487,1,8,10,33,27,22,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR7,Gateshead Health NHS Foundation Trust,Q30,8,17,31,36,7,407,6,10,19,44,22,408,3,8,29,49,11,408,1,4,20,54,22,407,3,7,18,59,13,408,4,9,14,59,14,407,9,16,32,34,8,407,12,22,25,36,5,409,2,4,7,36,35,15,401,2,1,9,38,41,9,402,3,9,10,30,23,25,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT,George Eliot Hospital NHS Trust,Q34,8,18,26,39,9,392,6,13,20,37,24,393,5,6,25,47,18,390,2,6,16,54,23,393,2,5,18,56,18,389,3,7,20,53,18,392,9,21,25,37,8,391,9,25,25,36,5,391,2,7,7,38,34,11,389,2,1,7,47,37,7,390,4,13,14,30,24,17,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTE,Gloucestershire Hospitals NHS Foundation Trust,Q39,8,21,25,38,7,489,6,11,16,46,20,487,4,11,27,43,16,488,1,7,14,58,20,488,2,9,16,57,16,489,3,10,17,57,13,488,13,26,28,27,5,486,11,27,28,30,3,488,3,7,11,42,27,10,490,0,2,8,44,38,7,490,5,13,15,31,18,17,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN3,Great Western Hospitals NHS Foundation Trust,Q39,6,17,27,42,8,507,5,12,20,39,24,510,3,10,24,48,15,508,1,4,17,54,24,508,2,6,15,61,16,510,3,7,18,58,14,509,10,19,31,34,6,509,9,29,28,32,2,509,3,9,6,40,35,8,506,2,1,7,47,39,4,508,5,16,9,35,21,14,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ1,Guy's and St Thomas' NHS Foundation Trust,Q36,6,14,22,46,12,348,5,8,19,44,24,349,2,5,20,50,22,347,1,4,16,57,21,349,2,5,17,55,22,345,2,10,17,52,20,347,5,13,31,39,12,347,11,26,23,34,5,346,1,4,5,38,38,14,349,1,1,8,37,46,6,350,1,10,10,30,26,23,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN5,Hampshire Hospitals NHS Foundation Trust,Q38,6,16,27,43,8,376,8,13,21,40,18,378,3,7,26,50,14,376,1,6,16,55,23,374,2,10,18,56,14,374,3,12,19,51,16,376,12,18,27,36,7,376,12,30,25,28,4,374,1,9,7,40,35,9,376,0,2,5,44,43,6,376,2,14,14,34,19,16,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCD,Harrogate and District NHS Foundation Trust,Q32,5,16,26,43,10,501,4,10,20,42,24,501,3,9,22,49,17,498,2,4,14,54,26,501,1,6,15,59,18,501,2,10,18,54,17,500,8,19,29,36,7,501,10,24,23,39,3,499,2,4,9,41,34,9,502,1,1,7,47,39,6,501,4,11,15,34,22,14,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR1,Heart of England NHS Foundation Trust,Q34,6,21,25,38,11,360,6,14,22,35,23,359,3,8,23,47,20,359,2,7,14,52,25,359,4,6,17,54,20,360,4,9,18,52,17,359,11,22,27,30,10,358,12,28,25,30,5,358,1,6,8,40,33,12,358,0,1,9,47,35,8,358,3,10,12,33,20,22,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD7,Heatherwood and Wexham Park Hospitals NHS Foundation Trust,Q38,7,19,28,42,5,337,6,12,20,46,16,334,3,8,28,48,13,336,2,9,17,54,19,339,3,7,22,55,13,338,3,11,19,54,12,336,9,19,34,31,6,334,16,28,29,26,1,334,2,5,6,45,33,9,336,1,1,7,50,33,8,334,3,8,11,39,21,17,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQQ,Hinchingbrooke Health Care NHS Trust,Q35,8,21,31,33,7,452,5,18,19,39,20,447,2,12,30,42,15,450,1,7,20,53,19,451,1,6,23,55,14,451,1,8,24,52,15,450,8,23,37,26,7,450,12,28,25,32,4,452,2,6,10,39,34,9,451,1,1,8,43,39,6,451,3,11,14,32,25,16,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQX,Homerton University Hospital NHS Foundation Trust,Q36,4,14,26,45,11,375,5,8,15,46,26,375,3,8,24,47,19,374,1,4,16,53,26,375,1,6,16,56,20,375,2,6,16,53,23,374,4,14,29,41,13,376,14,19,28,35,5,375,1,3,4,41,43,7,376,1,1,4,39,51,4,378,2,7,6,37,35,13,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,Hull And East Yorkshire Hospitals NHS Trust,Q32,8,23,32,31,6,289,8,17,19,38,18,291,4,10,22,51,13,289,1,7,14,57,21,290,2,7,20,55,16,291,3,10,18,54,14,290,13,28,30,26,4,290,12,22,27,34,5,290,3,9,10,37,32,10,287,0,2,10,39,42,6,289,4,13,16,28,20,19,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYJ,Imperial College Healthcare NHS Trust,Q36,8,16,29,40,7,407,7,13,19,41,21,409,3,8,27,48,14,407,1,6,19,55,19,408,4,7,18,56,16,407,4,11,17,51,17,408,11,20,28,34,7,407,14,26,26,29,5,406,2,3,6,41,38,10,402,1,0,5,40,46,8,403,2,7,12,30,33,16,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGQ,Ipswich Hospital NHS Trust,Q35,10,18,30,36,6,407,7,16,16,42,18,407,3,7,26,46,16,404,1,7,17,51,25,407,3,8,18,56,15,407,3,8,17,56,15,405,12,20,34,27,6,406,12,21,28,35,3,405,3,8,12,41,25,11,404,1,2,10,43,38,7,407,4,16,11,33,17,19,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1F1,Isle of Wight NHS Primary Care Trust (acute sector),Q38,5,19,24,45,7,431,5,12,17,43,23,430,4,9,24,48,16,427,1,4,16,58,21,430,2,8,16,56,19,429,4,9,15,55,17,430,8,19,32,35,6,429,9,20,25,43,3,429,1,6,8,40,33,12,430,1,1,6,46,39,7,430,3,12,13,34,20,19,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGP,James Paget University Hospitals NHS Foundation Trust,Q35,7,19,29,38,7,385,5,12,20,46,16,385,2,9,21,53,14,382,2,5,19,54,20,387,2,4,16,63,16,385,3,7,16,58,16,384,8,21,34,30,7,384,9,20,28,37,6,386,0,6,10,41,33,9,384,0,1,9,42,42,5,385,2,13,12,35,23,15,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNQ,Kettering General Hospital NHS Foundation Trust,Q33,10,22,27,34,7,409,7,14,23,39,18,406,2,8,27,51,12,407,2,6,15,55,21,408,2,8,18,56,16,407,4,9,18,54,15,407,10,26,32,27,5,408,11,27,26,31,5,408,2,5,8,36,37,12,406,2,2,9,37,41,9,408,4,7,14,31,25,18,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJZ,King's College Hospital NHS Foundation Trust,Q36,5,15,26,42,11,401,3,10,17,46,23,401,3,5,24,49,19,398,1,5,17,56,20,402,1,8,17,56,18,402,3,10,14,52,21,401,5,16,31,38,10,403,11,23,34,28,4,399,1,5,7,35,43,9,401,1,1,4,40,50,5,400,2,9,10,35,32,13,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAX,Kingston Hospital NHS Trust,Q36,7,16,29,35,13,385,6,9,17,45,23,386,3,6,22,51,19,383,1,4,16,53,26,384,2,4,17,58,19,384,3,9,14,54,21,385,11,17,32,30,10,384,15,27,22,32,5,384,1,5,8,36,39,12,385,1,1,6,40,43,8,383,2,8,13,32,24,21,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Q31,8,22,27,35,7,472,7,14,21,42,16,471,2,10,26,48,14,469,1,7,15,58,18,470,2,10,19,57,13,469,3,9,20,54,14,470,12,23,30,28,6,469,12,29,24,31,3,470,1,8,10,37,29,15,470,1,1,8,47,35,8,470,4,13,15,28,19,21,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR8,Leeds Teaching Hospitals NHS Trust,Q32,11,25,28,31,6,379,7,16,22,40,16,383,8,12,25,43,12,382,2,7,17,54,20,385,3,9,17,59,13,382,4,10,22,54,11,381,18,27,30,21,5,383,13,29,25,29,4,379,4,9,8,39,32,8,382,2,2,7,47,37,5,383,6,15,12,32,20,15,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ2,Lewisham Healthcare NHS Trust,Q36,4,19,25,44,8,262,3,10,18,43,26,260,2,10,24,52,12,262,2,6,15,57,20,260,1,8,14,62,15,261,3,7,15,60,16,260,6,15,30,39,10,261,10,23,29,32,5,260,2,6,6,39,42,5,262,1,1,2,36,56,3,262,2,10,12,40,29,7,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC9,Luton and Dunstable Hospital NHS Foundation Trust,Q35,4,18,29,38,10,381,4,12,21,40,23,380,2,6,24,48,20,381,1,6,17,57,20,381,2,5,18,57,18,380,3,7,19,53,19,382,7,19,29,36,9,381,11,28,29,28,4,377,2,6,9,35,38,11,380,1,1,7,38,48,6,381,2,10,12,33,29,14,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWF,Maidstone And Tunbridge Wells NHS Trust,Q37,6,17,23,42,12,510,4,12,17,43,24,509,2,7,23,51,17,509,1,4,16,58,21,508,2,6,16,60,17,509,3,7,16,57,18,507,6,17,29,38,9,506,10,28,29,28,5,507,1,5,6,41,37,11,509,0,1,5,44,43,6,507,2,8,11,36,25,16,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPA,Medway NHS Foundation Trust,Q37,7,19,31,38,6,359,7,14,19,44,17,356,3,10,27,45,15,356,2,4,16,57,21,357,2,6,20,59,14,357,2,7,21,57,12,358,11,18,34,33,5,358,13,25,27,33,2,356,2,9,8,38,34,10,356,1,3,8,42,40,6,356,3,12,15,32,24,15,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT,Mid Cheshire Hospitals NHS Foundation Trust,Q31,6,19,27,40,8,547,5,9,20,43,23,548,3,7,25,48,17,546,1,4,16,57,22,546,2,6,17,57,18,548,3,6,19,54,18,546,8,19,32,32,9,547,10,26,23,36,5,546,3,7,6,37,34,13,542,1,1,6,46,38,8,541,4,12,13,29,21,21,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ8,Mid Essex Hospital Services NHS Trust,Q35,8,17,31,37,7,251,7,11,21,41,20,251,2,6,27,54,12,251,0,7,13,58,22,251,0,6,16,64,14,250,1,9,17,59,14,251,8,25,32,29,6,251,12,28,28,29,3,251,2,5,8,43,34,9,252,0,1,9,48,37,5,251,2,10,14,36,20,17,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJD,Mid Staffordshire NHS Foundation Trust,Q34,8,17,29,38,8,464,5,9,20,48,18,466,3,5,30,48,13,466,2,6,18,54,19,464,2,8,16,58,16,464,4,8,19,54,15,462,11,20,29,33,6,461,11,26,22,36,5,462,1,5,11,40,32,11,462,1,1,9,41,39,9,464,3,9,14,32,23,18,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXF,Mid Yorkshire Hospitals NHS Trust,Q32,8,21,28,35,8,393,5,13,18,39,25,395,2,10,26,49,12,394,0,7,16,55,22,395,2,9,18,56,15,391,2,11,19,53,16,394,14,27,30,25,4,394,7,25,25,38,5,391,2,7,9,36,35,12,393,1,2,8,38,43,9,393,4,12,13,29,22,19,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
