Service,Supplier Name,Date,Amount (£),Purpose of Expenditure,Merchant Category,Transaction Number,Organisation Name,Service Category
Central Support Costs,ADI SERVICES LTD,2015-09-04,65.00,Professional Fees,Consultancy   ,5100291206,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-04,65.00,Professional Fees,Consultancy   ,5100291207,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-04,250.00,Professional Fees,Consultancy   ,5100291208,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-04,65.00,Professional Fees,Consultancy   ,5100291209,Stockport,Corporate and Support Services
Childrens & Educational Services,ADI SERVICES LTD,2015-09-10,65.00,Legal Fees,Legal Services  ,1900550220,Stockport,Services to People
Childrens & Educational Services,ADI SERVICES LTD,2015-09-09,65.00,Legal Fees,Legal Services  ,1900550221,Stockport,Services to People
Childrens & Educational Services,ADI SERVICES LTD,2015-09-14,65.00,Legal Fees,Legal Services  ,1900550990,Stockport,Services to People
Childrens & Educational Services,ADI SERVICES LTD,2015-09-02,65.00,Legal Fees,Legal Services  ,1900551139,Stockport,Services to People
Childrens & Educational Services,ADI SERVICES LTD,2015-09-09,65.00,Legal Fees,Legal Services  ,1900552405,Stockport,Services to People
Childrens & Educational Services,ADI SERVICES LTD,2015-09-09,65.00,Legal Fees,Legal Services  ,1900552407,Stockport,Services to People
Adult Social Care,ADLINGTON MANOR LTD,2015-09-07,560.00,Care Payments,Social Community Care Supplies & Services  ,102267716,Stockport,Services to People
Adult Social Care,ADLINGTON MANOR LTD,2015-09-07,"2,300.00",Care Payments,Social Community Care Supplies & Services  ,102267716,Stockport,Services to People
Adult Social Care,ADLINGTON MANOR LTD,2015-09-07,"2,174.00",Care Payments,Social Community Care Supplies & Services  ,102267716,Stockport,Services to People
Adult Social Care,ADLINGTON MANOR LTD,2015-09-07,-725.30,Care Payments,Social Community Care Supplies & Services  ,102267716,Stockport,Services to People
Adult Social Care,ADLINGTON MANOR LTD,2015-09-07,"2,255.00",Care Payments,Social Community Care Supplies & Services  ,102267716,Stockport,Services to People
Adult Social Care,ADLINGTON MANOR LTD,2015-09-07,"4,145.00",Care Payments,Social Community Care Supplies & Services  ,102267716,Stockport,Services to People
Adult Social Care,ADLINGTON MANOR LTD,2015-09-07,"4,260.00",Care Payments,Social Community Care Supplies & Services  ,102267716,Stockport,Services to People
Adult Social Care,ADLINGTON MANOR LTD,2015-09-07,-631.50,Care Payments,Social Community Care Supplies & Services  ,102267716,Stockport,Services to People
Adult Social Care,ADLINGTON MANOR LTD,2015-09-07,-763.50,Care Payments,Social Community Care Supplies & Services  ,102267716,Stockport,Services to People
Adult Social Care,ADLINGTON MANOR LTD,2015-09-29,"1,926.43",Care Payments,Social Community Care Supplies & Services  ,102280220,Stockport,Services to People
Childrens & Educational Services,ADOPTION MATTERS NORTHWEST,2015-09-28,750.00,Care Payments,Social Community Care Supplies & Services  ,1900541002,Stockport,Services to People
Childrens & Educational Services,ADOPTION MATTERS NORTHWEST,2015-09-28,750.00,Care Payments,Social Community Care Supplies & Services  ,1900541003,Stockport,Services to People
Childrens & Educational Services,ADOPTION MATTERS NORTHWEST,2015-09-16,750.00,Care Payments,Social Community Care Supplies & Services  ,1900552413,Stockport,Services to People
Childrens & Educational Services,ADOPTION MATTERS NORTHWEST,2015-09-16,750.00,Care Payments,Social Community Care Supplies & Services  ,1900552414,Stockport,Services to People
Childrens & Educational Services,ADOPTION MATTERS NORTHWEST,2015-09-16,750.00,Care Payments,Social Community Care Supplies & Services  ,1900552415,Stockport,Services to People
Childrens & Educational Services,ADOPTION MATTERS NORTHWEST,2015-09-16,"18,000.00",Care Payments,Social Community Care Supplies & Services  ,1900552416,Stockport,Services to People
Childrens & Educational Services,ADOPTION MATTERS NORTHWEST,2015-09-16,750.00,Care Payments,Social Community Care Supplies & Services  ,1900552419,Stockport,Services to People
Childrens & Educational Services,ADOPTION UK,2015-09-16,"1,250.00",Fees and Charges,Financial Services  ,1900552017,Stockport,Services to People
Public Health,ADS,2015-09-03,"20,299.00",Service Contract Payments,Social Community Care Supplies & Services  ,1900540889,Stockport,Services to People
Public Health,ADS,2015-09-22,"6,645.00",Service Contract Payments,Social Community Care Supplies & Services  ,1900553710,Stockport,Services to People
Public Health,ADS,2015-09-22,"15,000.00",Service Contract Payments,Social Community Care Supplies & Services  ,1900553711,Stockport,Services to People
Public Health,ADS,2015-09-22,"48,991.00",Service Contract Payments,Social Community Care Supplies & Services  ,1900553712,Stockport,Services to People
Adult Social Care,ADVANCED BUSINESS SOLUTIONS,2015-09-11,972.00,Fees and Charges,Financial Services  ,1900551198,Stockport,Services to People
Adult Social Care,ADVANCED BUSINESS SOLUTIONS,2015-09-29,972.00,Fees and Charges,Financial Services  ,1900553888,Stockport,Services to People
Childrens & Educational Services,ADVANCED CHILDCARE LTD,2015-09-02,"11,480.04",Care Payments,Social Community Care Supplies & Services  ,102264738,Stockport,Services to People
Childrens & Educational Services,ADVANCED CHILDCARE LTD,2015-09-02,"2,720.00",Care Payments,Social Community Care Supplies & Services  ,102264842,Stockport,Services to People
Capital Expenditure,AECOM,2015-09-01,"9,020.00",Professional Fees,Consultancy   ,5100290125,Stockport,Services to Place
Capital Expenditure,AECOM,2015-09-23,"8,140.00",Professional Fees,Consultancy   ,5100290914,Stockport,Services to Place
Adult Social Care,AGE CONCERN MANCHESTER,2015-09-08,868.02,Care Payments,Social Community Care Supplies & Services  ,1900551005,Stockport,Services to People
Adult Social Care,AGE CONCERN MANCHESTER,2015-09-08,830.28,Care Payments,Social Community Care Supplies & Services  ,1900551007,Stockport,Services to People
Adult Social Care,AGE UK STOCKPORT,2015-09-18,"-20,000.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900549600,Stockport,Services to People
Adult Social Care,AGE UK STOCKPORT,2015-09-18,"152,660.75",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900552868,Stockport,Services to People
Capital Expenditure,AGE UK STOCKPORT,2015-09-18,"16,000.00",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900549599,Stockport,Corporate and Support Services
Planning Services,AGGREKO UK LTD,2015-09-15,640.00,Publicity and Promotion,Arts & Leisure Services  ,5100290784,Stockport,Corporate and Support Services
Central Support Costs,AhMedia Ltd,2015-09-24,"1,860.00",Staff Training,Human Resources  ,1900553344,Stockport,Corporate and Support Services
Central Support Costs,AhMedia Ltd,2015-09-24,"1,860.00",Staff Training,Human Resources  ,1900553346,Stockport,Corporate and Support Services
Adult Social Care,AIDSERVICE LTD,2015-09-14,163.00,Furniture and Equipment,Environmental Services Technical Equipment ,5100289863,Stockport,Services to People
Adult Social Care,AIDSERVICE LTD,2015-09-30,60.00,Furniture and Equipment,Environmental Services Technical Equipment ,5100291946,Stockport,Services to People
Adult Social Care,AIDSERVICE LTD,2015-09-17,283.20,Furniture and Equipment,Furniture & Soft Furnishings  ,5100290785,Stockport,Services to People
Adult Social Care,AIDSERVICE LTD,2015-09-24,149.00,Furniture and Equipment,Furniture & Soft Furnishings  ,5100291244,Stockport,Services to People
Adult Social Care,AIDSERVICE LTD,2015-09-24,15.00,Office Expenses,Mail Services   ,5100291244,Stockport,Services to People
Adult Social Care,AK WATSON (CABS),2015-09-08,111.38,Leasing /Transport Hire,Vehicle Management Hire/Leasing ,1900552430,Stockport,Services to People
Adult Social Care,AK WATSON (CABS),2015-09-08,464.13,Leasing /Transport Hire,Vehicle Management Hire/Leasing ,1900552430,Stockport,Services to People
Adult Social Care,AK WATSON (CABS),2015-09-08,"1,280.99",Leasing /Transport Hire,Vehicle Management Hire/Leasing ,1900552430,Stockport,Services to People
Adult Social Care,AK WATSON (CABS),2015-09-08,87.00,Leasing /Transport Hire,Vehicle Management Hire/Leasing ,1900552431,Stockport,Services to People
Childrens & Educational Services,ALERE TOXICOLOGY PLC,2015-09-30,"1,229.00",Care Payments,Social Community Care Supplies & Services  ,1900554306,Stockport,Services to People
Childrens & Educational Services,ALEXANDRA PARK PRE-SCHOOL,2015-09-03,"23,109.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551714,Stockport,Services to People
Childrens & Educational Services,Alfiesoft Limited,2015-09-16,"3,007.00",Information and Communications Technology,Information Communication Technology  ,5100291886,Stockport,Services to People
Adult Social Care,ALL MOBILITY (ROMILEY) LTD,2015-09-04,550.33,Furniture and Equipment,Environmental Services Technical Equipment ,1900551546,Stockport,Services to People
Adult Social Care,ALL MOBILITY (ROMILEY) LTD,2015-09-17,560.12,Furniture and Equipment,Environmental Services Technical Equipment ,1900553166,Stockport,Services to People
Adult Social Care,ALL MOBILITY (ROMILEY) LTD,2015-09-18,388.86,Furniture and Equipment,Environmental Services Technical Equipment ,1900553193,Stockport,Services to People
Childrens & Educational Services,ALLIANCE CARE AND EDUCATION LTD,2015-09-02,"11,340.00",Care Payments,Social Community Care Supplies & Services  ,102264752,Stockport,Services to People
Cultural & Related Services,ALLIANCE DISPOSABLES LTD,2015-09-02,6.28,Publicity and Promotion,Arts & Leisure Services  ,5100290469,Stockport,Services to Place
Adult Social Care,ALLIANCE DISPOSABLES LTD,2015-09-02,22.05,Cleaning,Cleaning & Janitorial  ,5100290476,Stockport,Services to People
Adult Social Care,ALLIANCE DISPOSABLES LTD,2015-09-16,72.79,Cleaning,Cleaning & Janitorial  ,5100290681,Stockport,Services to People
Adult Social Care,ALLIANCE DISPOSABLES LTD,2015-09-02,136.60,Cleaning,Cleaning & Janitorial  ,5100290683,Stockport,Services to People
Adult Social Care,ALLIANCE DISPOSABLES LTD,2015-09-02,11.47,Cleaning,Cleaning & Janitorial  ,5100290924,Stockport,Services to People
Adult Social Care,ALLIANCE DISPOSABLES LTD,2015-09-29,29.10,Cleaning,Cleaning & Janitorial  ,5100292039,Stockport,Services to People
Central Support Costs,ALLIANCE DISPOSABLES LTD,2015-09-02,6.06,Cleaning,Cleaning & Janitorial  ,5100290267,Stockport,Corporate and Support Services
Central Support Costs,ALLIANCE DISPOSABLES LTD,2015-09-02,6.06,Cleaning,Cleaning & Janitorial  ,5100290267,Stockport,Corporate and Support Services
Central Support Costs,ALLIANCE DISPOSABLES LTD,2015-09-02,2.43,Cleaning,Cleaning & Janitorial  ,5100290267,Stockport,Corporate and Support Services
Central Support Costs,ALLIANCE DISPOSABLES LTD,2015-09-02,1.21,Cleaning,Cleaning & Janitorial  ,5100290272,Stockport,Corporate and Support Services
Central Support Costs,ALLIANCE DISPOSABLES LTD,2015-09-02,1.21,Cleaning,Cleaning & Janitorial  ,5100290272,Stockport,Corporate and Support Services
Central Support Costs,ALLIANCE DISPOSABLES LTD,2015-09-02,1.21,Cleaning,Cleaning & Janitorial  ,5100290272,Stockport,Corporate and Support Services
Central Support Costs,ALLIANCE DISPOSABLES LTD,2015-09-02,6.07,Cleaning,Cleaning & Janitorial  ,5100290272,Stockport,Corporate and Support Services
Central Support Costs,ALLIANCE DISPOSABLES LTD,2015-09-02,72.78,Cleaning,Cleaning & Janitorial  ,5100290467,Stockport,Corporate and Support Services
Central Support Costs,ALLIANCE DISPOSABLES LTD,2015-09-02,53.63,Cleaning,Cleaning & Janitorial  ,5100290468,Stockport,Corporate and Support Services
Central Support Costs,ALLIANCE DISPOSABLES LTD,2015-09-25,65.40,Cleaning,Cleaning & Janitorial  ,5100291646,Stockport,Corporate and Support Services
Central Support Costs,ALLIANCE DISPOSABLES LTD,2015-09-29,458.40,Cleaning,Cleaning & Janitorial  ,5100291945,Stockport,Corporate and Support Services
Central Support Costs,ALLIANCE DISPOSABLES LTD,2015-09-30,829.89,Cleaning,Cleaning & Janitorial  ,5100292467,Stockport,Corporate and Support Services
Central Support Costs,ALLIANCE DISPOSABLES LTD,2015-09-01,96.53,Cleaning,Cleaning & Janitorial  ,5100289879,Stockport,Services to People
Childrens & Educational Services,ALLIANCE DISPOSABLES LTD,2015-09-02,31.64,Cleaning,Cleaning & Janitorial  ,5100290091,Stockport,Services to People
Childrens & Educational Services,ALLIANCE DISPOSABLES LTD,2015-09-02,47.37,Cleaning,Cleaning & Janitorial  ,5100290094,Stockport,Services to People
Childrens & Educational Services,ALLIANCE DISPOSABLES LTD,2015-09-02,41.55,Cleaning,Cleaning & Janitorial  ,5100290920,Stockport,Services to People
Childrens & Educational Services,ALLIANCE DISPOSABLES LTD,2015-09-02,86.64,Cleaning,Cleaning & Janitorial  ,5100290922,Stockport,Services to People
Childrens & Educational Services,ALLIANCE DISPOSABLES LTD,2015-09-02,5.52,Cleaning,Cleaning & Janitorial  ,5100290923,Stockport,Services to People
Childrens & Educational Services,ALLIANCE DISPOSABLES LTD,2015-09-02,97.42,Cleaning,Cleaning & Janitorial  ,5100290925,Stockport,Services to People
Cultural & Related Services,ALLIANCE DISPOSABLES LTD,2015-09-02,57.22,Cleaning,Cleaning & Janitorial  ,5100290481,Stockport,Services to Place
Cultural & Related Services,ALLIANCE DISPOSABLES LTD,2015-09-02,16.04,Cleaning,Cleaning & Janitorial  ,5100290482,Stockport,Services to Place
Cultural & Related Services,ALLIANCE DISPOSABLES LTD,2015-09-02,3.98,Cleaning,Cleaning & Janitorial  ,5100290680,Stockport,Services to Place
Cultural & Related Services,ALLIANCE DISPOSABLES LTD,2015-09-02,46.03,Cleaning,Cleaning & Janitorial  ,5100290926,Stockport,Services to Place
Housing (General Fund) Services,ALLIANCE DISPOSABLES LTD,2015-09-02,5.57,Cleaning,Cleaning & Janitorial  ,5100290472,Stockport,Services to People
Adult Social Care,ALLIANCE DISPOSABLES LTD,2015-09-02,83.40,Clothing Uniforms and Laundry,Clothing  ,5100290093,Stockport,Services to People
Adult Social Care,ALLIANCE DISPOSABLES LTD,2015-09-02,111.20,Clothing Uniforms and Laundry,Clothing  ,5100290475,Stockport,Services to People
Adult Social Care,ALLIANCE DISPOSABLES LTD,2015-09-02,27.80,Clothing Uniforms and Laundry,Clothing  ,5100290477,Stockport,Services to People
