Newcastle City Council Invoices over £250 paid in February 2014,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,10/02/2014,ALAN CARR DESIGN & PRINT,6136838,Revenue,1V204,Car Parking Infrastructure,477.00 ,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,20/02/2014,ALAN CARR DESIGN & PRINT,6153740,Revenue,1V204,Car Parking Infrastructure,318.00 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ALBANY HOUSE  (WHITLEY BAY),6161312,Revenue,1MM20,Ind Res Care MH,"4,793.36 ",
Environment & Regeneration,Fleet Management System                ,Supplies & Services,04/02/2014,ALBANY MOTORS,6123831,Revenue,1KESH,Light Workshop Routine Repair,350.00 ,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,04/02/2014,ALBANY MOTORS,6123832,Revenue,1KESH,Light Workshop Routine Repair,321.60 ,
Chief Executive's,CD - SPAM Trading Account        ,Capital Expenditure,12/02/2014,ALBANY OFFICE FURNITURE SOLUTIONS,6144269,Capital,2FT14,Property Services,284.00 ,
Chief Executive's,CD - Customer Service Centres    ,Supplies & Services,06/02/2014,ALBANY OFFICE FURNITURE SOLUTIONS,6133812,Revenue,1FA53,Reg of Births Deaths & Margs,345.00 ,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,21/02/2014,ALBERT KENNEDY TRUST OUTPOST,6156193,Revenue,1MX50,SP Block Gross,"5,823.32 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ALEXANDRA PARK,6161357,Revenue,1MM20,Ind Res Care MH,"8,262.96 ",
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,13/02/2014,ALL TOGETHER IN COWGATE,6145364,Revenue,1KL26,Montagu Full Service,750.00 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,ALLAN COURT RESIDENTIAL HOME,6161366,Revenue,1MG10,Ind Nursing Care Elderly,"-4,942.61 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,ALLAN COURT RESIDENTIAL HOME,6161366,Revenue,1MG20,Ind Res Care Elderly,"-2,426.69 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,ALLAN COURT RESIDENTIAL HOME,6161366,Revenue,1MG10,Ind Nursing Care Elderly,-879.32 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,ALLAN COURT RESIDENTIAL HOME,6161366,Revenue,1MG20,Ind Res Care Elderly,-486.00 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ALLAN COURT RESIDENTIAL HOME,6161366,Revenue,1MG10,Ind Nursing Care Elderly,"41,235.75 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ALLAN COURT RESIDENTIAL HOME,6161366,Revenue,1MG20,Ind Res Care Elderly,"12,869.84 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ALLAN COURT RESIDENTIAL HOME,6161366,Revenue,1MM20,Ind Res Care MH,"1,952.00 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ALLAN COURT RESIDENTIAL HOME,6161381,Revenue,1MG10,Ind Nursing Care Elderly,439.16 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ALLAN COURT RESIDENTIAL HOME,6161366,Revenue,1MG10,Ind Nursing Care Elderly,"5,354.08 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ALLAN COURT RESIDENTIAL HOME,6161366,Revenue,1MG20,Ind Res Care Elderly,"2,288.48 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,27/02/2014,ALLIED HEALTHCARE GROUP,6159251,Revenue,1MG53,Supporting People Eld,959.31 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,ALLIED HEALTHCARE GROUP,6152121,Revenue,1MG51,Ind Home Per Care Elderly,"50,428.91 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,ALLIED HEALTHCARE GROUP,6152121,Revenue,1MG52,Ind Home Dom Supp Elderly,930.24 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,ALLIED HEALTHCARE GROUP,6152121,Revenue,1MH51,Ind Home Per Care PD,"7,897.59 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,ALLIED HEALTHCARE GROUP,6152121,Revenue,1MH52,Ind Home Dom Supp PD,251.94 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,ALLIED HEALTHCARE GROUP,6152121,Revenue,1MK51,Ind Home-Per Care LD,"1,292.96 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,ALLIED HEALTHCARE GROUP,6152121,Revenue,1MM51,Ind Home-Per Care MH,"1,215.50 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,ALLIED HEALTHCARE GROUP,6152121,Revenue,1MM52,Ind Home-Dom Supp MH,242.25 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,ALLIED HEALTHCARE GROUP,6152121,Revenue,1MG51,Ind Home Per Care Elderly,"10,298.25 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,ALLIED HEALTHCARE GROUP,6152121,Revenue,1MG52,Ind Home Dom Supp Elderly,222.87 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,ALLIED HEALTHCARE GROUP,6152121,Revenue,1MH51,Ind Home Per Care PD,"2,211.28 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,ALLIED HEALTHCARE GROUP,6152121,Revenue,1MH52,Ind Home Dom Supp PD,77.52 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,ALLIED HEALTHCARE GROUP,6152121,Revenue,1MK51,Ind Home-Per Care LD,400.49 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,ALLIED HEALTHCARE GROUP,6152121,Revenue,1MM51,Ind Home-Per Care MH,"1,508.04 ",
HRA,HRA Income                 ,Supplies & Services,20/02/2014,ALLPAY.NET LIMITED,6154419,Revenue,1HCTG,HRA Income - General Team,42.55 ,
HRA,HRA Income                 ,Supplies & Services,20/02/2014,ALLPAY.NET LIMITED,6154419,Revenue,1HCTG,HRA Income - General Team,319.58 ,
HRA,HRA Income                 ,Supplies & Services,27/02/2014,ALLPAY.NET LIMITED,6139631,Revenue,1HCTG,HRA Income - General Team,5.00 ,
HRA,HRA Income                 ,Supplies & Services,27/02/2014,ALLPAY.NET LIMITED,6139631,Revenue,1HCTG,HRA Income - General Team,12.48 ,
HRA,HRA Income                 ,Third Party Payments,20/02/2014,ALLPAY.NET LIMITED,6154419,Revenue,1HCTG,HRA Income - General Team,"2,078.36 ",
HRA,HRA Income                 ,Third Party Payments,27/02/2014,ALLPAY.NET LIMITED,6139631,Revenue,1HCTG,HRA Income - General Team,302.86 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/02/2014,ALZHEIMERS SOCIETY,6141570,Revenue,1MG60,Ind Day Care Elderly,"13,797.92 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,AMBER HOUSE RESIDENTIAL HOME,6142859,Revenue,1MG20,Ind Res Care Elderly,"-1,462.88 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,AMBER HOUSE RESIDENTIAL HOME,6142859,Revenue,1MG20,Ind Res Care Elderly,"5,316.48 ",
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,21/02/2014,AMCO ENGINEERING,6155040,Revenue,1KKU6,Ouseburn Barrage Maintenance,"1,251.00 ",
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Supplies & Services,20/02/2014,AMCO ENGINEERING,6152035,Revenue,1KKU6,Ouseburn Barrage Maintenance,"5,148.47 ",
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Supplies & Services,20/02/2014,AMCO ENGINEERING,6153521,Revenue,1KKU6,Ouseburn Barrage Maintenance,"6,813.73 ",
Adult and Culture,Social Services-Care Support           ,Third Party Payments,21/02/2014,ANCHOR TRUST,6156187,Revenue,1MX51,SP Block Subsidy,544.63 ,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,21/02/2014,ANCHOR TRUST,6156187,Revenue,1MX51,SP Block Subsidy,300.08 ,
Children's Services,Raising Stnds              ,Supplies & Services,20/02/2014,ANDRELL EDUCATION LTD,6153630,Revenue,1E66A,Seconday Improvement Team,"5,775.00 ",
Environment & Regeneration,CW Security Services             ,Premises,05/02/2014,ANDTECH SYSTEMS,6128696,Revenue,1KKY2,Allendale Accomodation,"1,840.00 ",
Environment & Regeneration,CW Security Services             ,Premises,27/02/2014,ANDTECH SYSTEMS,6165667,Revenue,1KSA1,Operational Support,830.00 ,
Environment & Regeneration,NS: Waste Management       ,Supplies & Services,25/02/2014,ANDTECH SYSTEMS,6162155,Revenue,1KE23,Sandhills,395.00 ,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,19/02/2014,ANTALIS MCNAUGHTON LTD,6150974,Revenue,1CP17,Digital Printing,980.60 ,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,19/02/2014,ANTALIS MCNAUGHTON LTD,6151032,Revenue,1CP17,Digital Printing,"1,706.66 ",
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,06/02/2014,ANTALIS MCNAUGHTON LTD,6138515,Revenue,1CP17,Digital Printing,476.70 ,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,06/02/2014,ANTALIS MCNAUGHTON LTD,6138646,Revenue,1CP17,Digital Printing,"2,783.20 ",
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,06/02/2014,ANTALIS MCNAUGHTON LTD,6138647,Revenue,1CP17,Digital Printing,"1,255.80 ",
Environment & Regeneration,Cityworks East End Pool    ,Supplies & Services,26/02/2014,APEX RADIO SYSTEMS LTD,6164186,Revenue,1KL1D,East End Pool,"2,894.99 ",
HRA,HRA Planning QS            ,Premises,07/02/2014,AQUA INTERIORS,6140515,Revenue,1HBS5,R&M Contract S5,"38,395.54 ",
Children's Services,Educ School Planning    ,Third Party Payments,27/02/2014,AQUILA WAY,6164671,Revenue,1MB09,Assessment (Children),"1,307.14 ",
Children's Services,Educ School Planning    ,Third Party Payments,27/02/2014,AQUILA WAY,6164672,Revenue,1MB09,Assessment (Children),"2,440.00 ",
Children's Services,Educ School Planning    ,Third Party Payments,27/02/2014,AQUILA WAY,6164673,Revenue,1MB09,Assessment (Children),"1,394.29 ",
Children's Services,Educ School Planning    ,Third Party Payments,27/02/2014,AQUILA WAY,6164674,Revenue,1MB09,Assessment (Children),"3,050.00 ",
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Supplies & Services,28/02/2014,ARCO LTD,6113029,Revenue,1KKX1,Civic Centre Direct Costs,389.34 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,13/02/2014,ARIEN SIGNS,6129973,Revenue,1KEKL,Env Impsrb,"1,565.00 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,ARK HOUSE TREATMENT CENTRE,6152428,Revenue,1MP27,DAT Residential Rehab,"1,800.88 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,ARK HOUSE TREATMENT CENTRE,6152429,Revenue,1MP27,DAT Residential Rehab,"1,919.96 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21/02/2014,ARK HOUSE TREATMENT CENTRE,6154734,Revenue,1MP27,DAT Residential Rehab,"1,800.92 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25/02/2014,ARK HOUSE TREATMENT CENTRE,6162371,Revenue,1MP27,DAT Residential Rehab,"1,614.96 ",
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,24/02/2014,ARMITAGE VENESTA,6143084,Revenue,1KVWC,Minor Works Contracts,543.77 ,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,06/02/2014,ARNOLD CLARK,6123858,Revenue,1KESY,Fleet Services Hire office,294.00 ,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,18/02/2014,ARNOLD CLARK,6144019,Revenue,1KESY,Fleet Services Hire office,294.00 ,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,14/02/2014,ARNOLD CLARK,6136000,Revenue,1KESY,Fleet Services Hire office,364.00 ,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,17/02/2014,ARNOLD CLARK,6131880,Revenue,1KESH,Light Workshop Routine Repair,254.71 ,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,28/02/2014,ARNOLD CLARK,6144020,Revenue,1KESY,Fleet Services Hire office,364.00 ,
Environment & Regeneration,NS: City Transport         ,Capital Expenditure,03/02/2014,ARNOLD CLARK COACHBUILDERS,6135096,Capital,2KF01,Facility Services,"8,632.16 ",
Environment & Regeneration,NS: City Transport         ,Capital Expenditure,03/02/2014,ARNOLD CLARK COACHBUILDERS,6135087,Capital,2KF01,Facility Services,"8,632.16 ",
Environment & Regeneration,NS: City Transport         ,Capital Expenditure,03/02/2014,ARNOLD CLARK COACHBUILDERS,6135104,Capital,2KF01,Facility Services,"8,632.16 ",
Environment & Regeneration,NS: City Transport         ,Capital Expenditure,03/02/2014,ARNOLD CLARK COACHBUILDERS,6135135,Capital,2KF01,Facility Services,"8,632.16 ",
Environment & Regeneration,NS: City Transport         ,Capital Expenditure,03/02/2014,ARNOLD CLARK COACHBUILDERS,6135139,Capital,2KF01,Facility Services,"8,632.16 ",
Environment & Regeneration,E&R Parking Services       ,Transport,21/02/2014,ARRIVA NORTH EAST,6155666,Revenue,1V301,Travel office Travel Passes,920.00 ,
Environment & Regeneration,E&R Parking Services       ,Transport,24/02/2014,ARRIVA NORTH EAST,6158453,Revenue,1V301,Travel office Travel Passes,"1,890.00 ",
Environment & Regeneration,Cityworks Parks & C/side   ,Capital Expenditure,27/02/2014,ARTIS CONSULTING LTD,6147092,Capital,2KL01,Leisure Services,"2,022.22 ",
Adult and Culture,AS - Learning City         ,Supplies & Services,03/02/2014,ASCENTIS,6133719,Revenue,1EA15,Newcastle City Learning,"3,400.00 ",
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,20/02/2014,ASDA STORES LIMITED,6154322,Revenue,1ML09,PH - Drugs and alcohol,340.00 ,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,20/02/2014,ASDA STORES LIMITED,6154322,Revenue,1ML11,PH - Smoking & Tobacco,623.46 ,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,20/02/2014,ASDA STORES LIMITED,6154322,Revenue,1ML10,PH - Sexual health -C'ception,479.98 ,
Chief Executive's,CD - Exchequer Payroll Prep      ,Supplies & Services,26/02/2014,ASH INFORMATION SYSTEMS LTD,6164232,Revenue,1FJX1,Legal - Expenditure Overheads,"2,000.00 ",
Chief Executive's,CD - Exchequer Payroll Prep      ,Supplies & Services,26/02/2014,ASH INFORMATION SYSTEMS LTD,6164232,Revenue,1CH03,Income & Recovery,"11,200.00 ",
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,20/02/2014,ASHCHEM CHEMISTS,6154319,Revenue,1ML09,PH - Drugs and alcohol,275.00 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,ASHFIELD COURT,6161313,Revenue,1MG20,Ind Res Care Elderly,"-2,720.60 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ASHFIELD COURT,6161313,Revenue,1MG20,Ind Res Care Elderly,"7,038.04 ",
Children's Services,Childrens Services Support       ,Transfer Payments,28/02/2014,ASHMOLE MINICOACHES,6150050,Revenue,1E+212,Transport Special,"1,000.00 ",
Children's Services,Childrens Services Support       ,Transfer Payments,19/02/2014,ASHMOLE MINICOACHES,6137020,Revenue,1E+212,Transport Special,"1,970.00 ",
Children's Services,Childrens Services Support       ,Transfer Payments,28/02/2014,ASHMOLE MINICOACHES,6150050,Revenue,1E+212,Transport Special,970.00 ,
Adult and Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,20/02/2014,ASIAN BUSINESS CONNEXIONS,6154288,Revenue,1EA65,Skills For Jobs Project,937.95 ,
Adult and Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,21/02/2014,ASIAN BUSINESS CONNEXIONS,6155813,Revenue,1EA15,Newcastle City Learning,"1,500.00 ",
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,12/02/2014,ASKEWS LIBRARY SERVICES LTD,6127257,Revenue,1EJ13,Stock Services,258.37 ,
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,28/02/2014,ASKEWS LIBRARY SERVICES LTD,6148075,Revenue,1EJ13,Stock Services,669.69 ,
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,19/02/2014,ASKEWS LIBRARY SERVICES LTD,6138110,Revenue,1EJ13,Stock Services,351.52 ,
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,26/02/2014,ASKEWS LIBRARY SERVICES LTD,6148043,Revenue,1EJ13,Stock Services,386.30 ,
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,28/02/2014,ASKEWS LIBRARY SERVICES LTD,6148077,Revenue,1EJ13,Stock Services,288.13 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,ASPINDEN WOOD CENTRE,6142812,Revenue,1MM20,Ind Res Care MH,-486.00 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,ASPINDEN WOOD CENTRE,6142812,Revenue,1MM20,Ind Res Care MH,"2,760.00 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12/02/2014,ASPIRATIONS CARE LTD,6144205,Revenue,1MH50,Ind Home Spot Pur PD,"17,672.50 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,10/02/2014,ASPIRATIONS CARE LTD,6141475,Revenue,1MH50,Ind Home Spot Pur PD,"2,501.32 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,18/02/2014,ASPIRATIONS CARE LTD,6148965,Revenue,1MH50,Ind Home Spot Pur PD,"10,781.46 ",
Chief Executive's,CD - Director of PSC             ,Supplies & Services,12/02/2014,ASSOCIATION OF NORTH EAST COUNCILS,6144308,Revenue,1FN20,Central Policy Unit,"7,500.00 ",
Children's Services,Educ SENTASS               ,Supplies & Services,14/02/2014,AT COMPUTERS,6145465,Revenue,1E655,Language Impairment Team,"1,890.00 ",
Adult and Culture,Social Services                        ,Supplies & Services,25/02/2014,AT HOME IN THE COMMUNITY LTD,6156080,Revenue,3WJ01,Service Users Funds,"1,821.60 ",
Adult and Culture,Social Services-Care Support           ,Third Party Payments,21/02/2014,AT HOME IN THE COMMUNITY LTD,6156221,Revenue,1MX51,SP Block Subsidy,"9,648.00 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/02/2014,AT HOME IN THE COMMUNITY LTD,6158937,Revenue,1MK50,Ind Supported Living LD,-273.88 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/02/2014,AT HOME IN THE COMMUNITY LTD,6158937,Revenue,1MK50,Ind Supported Living LD,-704.80 ,
