Site,Chart 1:Number of cases included in chart,Chart 1:Admitted to orthopaedic ward within 4 hours (n),Chart 1:Admitted to orthopaedic ward after 4 hours (n),Chart 1:Not admitted to orthopaedic ward (n),Chart 1:Unknown (n),Chart2:Number of cases included in chart,Chart2:Routine by orthogeriatrician (n),Chart2:All other reviews (n),Chart2:No assessment (n),Chart2:Unknown (n),Chart3:Number of cases included in chart,"Chart3:GA, GA+nerve block (n)","Chart3:SA, SA+epidural(CSE), SA+nerve block (n)","Chart3:GA+SA, GA+epidural (n)",Chart3:Unknown and other (n),Chart4:Number of cases included in chart,"Chart4:Surgery on day of, or day after, admission (n)",Chart4:Surgery two or more calendar days after admission (n),Chart4:No surgery performed (n),Chart4:Unknown (n),Chart5:Number of cases included in chart,Chart5:Internal fixation (n),Chart5:Arthroplasty (n),Chart5:No operation (n),Chart5:Unknown and other (n),Chart6:Number of cases included in chart,Chart6:Arthroplasty (n),Chart6:Internal fixation (n),Chart6:No operation (n),Chart6:Unknown and other (n),Chart7:Number of cases included in chart,Chart7:Cemented (n),Chart7:Uncemented (n),Chart8:Number of cases included in chart,Chart8:Total hip replacement (n),Chart8:Other operation or unknown (n),Chart9:Number of cases included in chart,Chart9:Internal fixation SHS (n),Chart9:Internal fixation – not SHS (n),Chart9:Arthroplasty (n),Chart9:No operation (n),Chart9:Unknown and other (n),Chart10:Number of cases included in chart,Chart10:Internal fixation – all intramedullary nail (n),Chart10:Internal fixation –all other (n),Chart10:Arthroplasty (n),Chart10:No operation (n),Chart10:Unknown and other (n),Chart11:Number of cases included in chart,Chart11:Surgery (n),Chart11:No surgery (n),Chart11:Unknown (n),Chart12:Number of cases included in chart,Chart12:Reoperation within 30 days (n),Chart12:No reoperation within 30 days (n),Chart12:Unknown (n),Chart13:Number of cases included in chart,Chart13:Continued from pre-admission (n),Chart13:Started on this admission (n),Chart13:Awaits DXA scan (n),Chart13:Awaits bone clinic assessment (n),Chart13:Assessed – no bone protection medication needed/appropriate (n),Chart13:No assessment or action taken (n),Chart13:Unknown (n),Chart14:Number of cases included in chart,Chart14:Yes (n),Chart14:No or unknown (n),Chart15:Number of cases included in chart,Chart15:Pressure ulcers (n),Chart15:No pressure ulcers (n),Chart15:Unknown (n),Chart16:Number of cases included in chart,Chart16:Own home/sheltered housing (n),Chart16:Rehabilitation unit (n),Chart16:Acute hospital (n),Chart16:Residential care (n),Chart16:Nursing care (n),Chart16:Dead (n),Chart16:Other (n),Chart16:Unknown (n),Chart17:Number of cases included in chart,Chart17:Own home/sheltered housing (n),Chart17:Residential care (n),Chart17:Nursing care (n),Chart17:Rehabilitation unit (n),Chart17:Acute hospital (n),Chart17:Already in hospital (n),Chart17:Other (n),Chart17:Unknown (n),Chart18:Number of cases included in chart,Chart18:Mean length of acute stay (days),Chart18:Mean length of post-acute stay (days),Chart19:No. of cases eligible for mortality analysis,Chart19:Raw mortality rate within 30 days (%),Chart19:Adjusted mortality rate with 30 days (%),Chart20:No. of cases eligible for return home from home analysis,Chart20:Raw return home rate by 30 days (%),Chart20:Adjusted return home rate by 30 days (%),Chart21:Number of cases included in chart,Chart21:Ineligible - met 9 criteria,Chart21:Ineligible - met 8 criteria (n),Chart21:Ineligible - met 7 criteria (n),Chart21:Ineligible - met 6 criteria (n),Chart21:Ineligible - met 5 criteria (n),Chart21:Ineligible - met 4 criteria (n),Chart21:Ineligible - met 3 criteria (n),Chart21:Ineligible - met 2 criteria (n),Chart21:Ineligible - met 1 criteria (n),Chart21:Ineligible - met 0 criteria (n),Regional table:Number of cases submitted,Regional table:Admitted to orthopaedic ward within 4 hours (%),Regional table:Surgery on the day of or day after admission (%),Regional table:Senior geriatric review within 72 hours of admission (%),Regional table:Abbreviated mental test performed (%),Regional table:Specialist falls assessment performed (%),Regional table:Bone health medication assessment performed (%),Regional table:Patients developing pressure ulcers (%),Regional table:Best practice tariff attainment (%),Regional table:Mortality 2011 to 2013 - crude (%),Regional table:Mortality 2011 to 2013 - casemix adjusted (%),Regional table:Returned home from home within 30 days - crude (%),Regional table:Return home from home within 30 days - casemix adjusted (%),Regional table:Mean length of total Trust stay [acute + post-acute] (days),Regional table:30 day follow up completion rate (%),Facilities audit:No. of hip fractures treated/annum,Facilities audit:Trauma service description,Facilities audit:Hours of designated trauma/week,Facilities audit:No. of WTE orthopaedic consultants,Facilities audit:No. of WTE orthopaedic middle grades,Facilities audit:Orthogeriatric consultant hours/week,Facilities audit:Orthogeriatric middle grade hours/week,Facilities audit:Orthogeriatric ward rounds/week,Facilities audit:No of. WTE fragility fracture nurses,Facilities audit:No. of WTE fracture liaison nurses,Facilities audit:Specific clerking proforma,Facilities audit:Falls clinic,Facilities audit:DXA on-site facility,Facilities audit:Data collected by,Facilities audit:Data entered by,Facilities audit:Enhanced recovery programme,Facilities audit:Early supported discharge service,Facilities audit:Access to rehabilitation beds
STD,205,138,67,0,0,214,54,147,13,0,214,44,147,*,20,214,146,57,11,0,16,7,*,6,0,104,96,0,*,7,99,93,6,40,11,29,78,66,8,0,*,*,14,12,*,0,0,0,214,203,11,0,180,6,0,174,184,41,110,19,0,14,0,0,184,184,0,184,*,182,0,191,111,0,*,35,*,25,14,0,214,169,31,*,0,0,9,*,0,193,14.1,*,638,8.6,9,169,45.6,45.8,204,112,64,20,*,*,*,0,0,0,0,214,67.3,68.2,90.2,100,100,100,*,54.9,8.6,9,45.6,45.8,26.5,0,220,DGH,17.5,*,6,*,10,*,*,0,No,Con,Axial,Nurses,Nurses,Yes,No,No
STH,191,151,33,*,*,207,80,22,105,0,207,107,56,24,20,207,135,65,7,0,44,*,35,*,0,83,80,0,*,*,116,58,58,57,31,26,63,58,*,*,*,0,17,15,*,0,0,0,207,200,7,0,188,8,180,0,196,39,75,42,16,19,*,0,196,196,0,196,9,187,0,195,156,7,*,*,14,11,0,0,207,180,9,6,0,0,12,0,0,295,16.8,*,540,*,6.6,180,86.1,74,210,102,68,29,6,*,0,0,0,0,0,207,79.1,65.2,88.4,93.2,100,97.4,*,48.6,*,6.6,86.1,74,16.2,0,210,Tertiary,44,8,8,14,8,*,*,*,Yes,Con,Axial,Doctors,Admin,No,Yes,Yes
STM,266,64,201,*,0,309,150,156,0,*,309,197,61,43,8,309,218,86,*,0,13,12,*,0,0,156,135,17,*,*,136,131,*,78,19,59,117,103,11,0,*,0,23,13,9,0,0,*,309,302,*,*,292,*,287,*,284,38,150,*,0,90,0,*,284,284,0,284,*,280,0,297,192,32,16,*,30,24,0,0,309,259,8,18,0,*,21,0,0,588,9.6,*,871,7.5,8.5,259,64.5,63.4,326,223,75,19,*,*,0,0,0,0,0,309,24.1,70.6,91.3,97.4,100,99.6,*,68.4,7.5,8.5,64.5,63.4,18.4,0,320,Both,84,14,18,28,28,*,0,0,No,Nurse,Axial,Audit,Audit,Yes,Yes,Yes
STO,569,322,230,0,17,602,256,181,165,0,602,526,60,*,12,602,392,198,12,0,27,14,8,*,0,330,320,*,*,0,331,108,223,144,44,100,219,215,0,*,*,0,26,20,*,*,0,*,602,590,12,0,577,7,0,570,575,90,214,178,*,90,*,0,575,572,*,575,15,557,*,588,159,345,*,36,18,26,*,*,602,449,95,28,8,*,18,*,0,342,13.3,*,1638,6.3,5.7,449,30.1,30.1,612,346,202,36,20,*,*,*,0,0,0,602,56.6,65.1,93.2,95.3,99.5,99.8,*,56.5,6.3,5.7,30.1,30.1,9.7,*,620,Both,68,19,18,15,0,*,*,*,Yes,Nurse,Axial,Nurses,Nurses,No,Yes,Yes
STR,374,13,334,26,*,392,274,93,23,*,392,113,247,18,14,392,320,58,14,0,39,19,16,*,0,179,168,*,7,0,187,178,9,97,31,66,156,139,11,*,*,0,18,17,*,0,0,0,392,378,14,0,356,*,288,63,359,26,295,15,*,9,8,*,359,351,8,359,*,352,6,370,147,94,*,40,43,32,11,0,392,291,52,29,*,*,13,*,0,362,21.3,*,1103,9.1,9.9,291,59.5,62.6,381,259,91,19,6,*,*,*,0,0,0,392,*,81.6,94.9,98.7,97.8,96.9,*,68,9.1,9.9,59.5,62.6,13.9,87.1,375,DGH,40,12,8,10,*,*,0,0,Yes,Con,Axial,Nurses,Admin,No,No,No
SUN,363,275,83,*,*,397,167,82,148,0,397,98,262,25,12,397,290,95,12,0,18,13,*,*,0,225,214,*,8,0,219,213,6,86,33,53,139,135,*,0,*,0,14,11,*,0,*,*,397,385,12,0,359,7,193,159,355,52,166,69,24,43,*,0,355,354,*,355,15,337,*,370,165,57,0,56,40,41,11,0,397,271,55,32,*,*,21,12,0,235,15.9,*,1179,12.2,9.9,271,52.8,54,403,263,108,21,*,*,*,0,0,0,0,397,75.8,73,88.7,99.5,99.7,99.7,*,65.3,12.2,9.9,52.8,54,22.4,59.3,410,DGH,52.5,14,8,8,0,*,*,*,No,Con,Axial,Nurses,Nurses,No,No,No
TGA,250,131,107,*,8,264,262,*,0,0,264,*,241,0,22,264,140,108,14,*,14,7,*,*,0,183,109,61,10,*,118,114,*,88,*,87,52,21,29,0,*,0,N/A,N/A,N/A,N/A,N/A,N/A,264,248,14,*,228,0,0,228,243,45,98,13,0,86,0,*,243,239,*,243,*,240,*,238,77,68,*,27,42,20,0,0,264,178,39,36,*,*,7,*,0,115,11.5,7.7,735,10.6,12,178,38.2,35.4,250,123,105,18,*,0,0,0,0,0,0,264,52.4,53,89.8,100,98.4,99.6,*,49.2,10.6,12,38.2,35.4,16.1,0,350,DGH,53,8,6,*,*,*,0,0,Yes,Con,Axial,Nurses,Nurses,Yes,Yes,Yes
TLF,150,90,49,0,11,156,0,6,149,*,156,85,20,0,51,156,73,33,*,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,149,13,69,12,*,20,23,10,149,94,55,149,0,91,58,120,77,0,8,7,18,7,*,*,156,123,15,16,0,*,0,*,0,N/A,N/A,N/A,524,6.5,6.8,123,48,51.3,124,0,0,0,11,44,32,19,13,*,0,156,60,46.8,0,94.9,63.1,77.9,0,0,6.5,6.8,48,51.3,19.2,0,230,DGH,17.5,10,7,0,0,0,*,0,Yes,Nurse,Peri,Doctors,Nurses,No,No,No
TOR,407,155,223,25,*,430,332,98,0,0,430,105,290,11,24,430,312,109,9,0,33,*,26,*,0,216,211,*,*,*,238,236,*,106,22,84,160,126,30,*,*,0,21,21,0,0,0,0,430,421,9,0,411,6,82,323,406,42,308,14,*,40,*,0,406,405,*,406,9,397,0,420,97,202,*,65,27,23,*,0,430,312,70,27,6,0,15,0,0,398,8.7,*,1282,8.3,8,312,35.6,36,431,309,108,12,*,0,*,0,0,0,0,430,38.1,72.6,99.3,99.3,99.8,99.8,*,71.7,8.3,8,35.6,36,9,19.8,450,DGH,53.5,12,7.5,20,40,*,*,*,No,Con,Axial,Doctors,Nurses,No,No,Yes
TRA,68,50,16,*,*,78,16,39,23,0,78,26,44,*,6,78,48,25,*,0,N/A,N/A,N/A,N/A,N/A,21,21,0,0,0,34,29,*,*,*,*,20,20,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,78,73,*,0,73,0,20,53,74,*,65,0,0,*,0,*,74,73,*,74,0,73,*,78,49,*,0,9,11,*,0,0,78,55,7,6,0,0,10,0,0,75,31.2,*,301,10.3,10.1,55,58.2,57.5,86,17,33,20,7,*,*,*,0,*,0,78,73.5,61.5,60.3,94.9,98.6,94.6,0,19.8,10.3,10.1,58.2,57.5,31.9,22.1,110,DGH,20,6,*,8,0,*,*,0,0,Con,None,Nurses,Nurses,0,0,0
TUN,495,276,211,7,*,512,19,477,16,0,512,96,386,20,10,512,375,129,8,0,60,19,41,0,0,256,230,24,*,0,272,263,9,130,24,106,157,142,8,*,6,0,37,17,20,0,0,0,512,504,8,0,469,12,163,294,455,35,239,18,14,128,21,0,455,436,19,455,40,412,*,477,228,64,*,33,85,56,8,0,512,384,49,57,*,*,14,*,0,470,9.9,11.3,1135,8.2,8.2,384,53.1,52.6,500,233,95,62,49,34,13,8,*,*,*,512,55.8,73.2,72.9,90.6,95.8,95.4,8.8,46.6,8.2,8.2,53.1,52.6,21.1,*,520,Both,70,16,13,32.5,0,*,0,0,Yes,Con,Axial,Audit,Audit,Yes,Yes,No
UCL,113,72,35,*,*,117,34,46,37,0,117,67,30,15,*,117,87,28,*,0,12,*,6,*,0,57,47,9,0,*,57,49,8,23,10,13,39,30,*,*,*,0,N/A,N/A,N/A,N/A,N/A,N/A,117,115,*,0,109,*,*,103,110,23,19,28,9,24,7,0,110,106,*,110,*,106,0,111,58,37,*,0,*,7,*,*,117,108,*,0,*,*,*,*,0,109,17.7,*,315,6,6,108,54.6,51.2,118,38,25,20,18,12,*,*,0,0,0,117,63.7,74.4,64.1,81.2,96.4,93.6,*,32.2,6,6,54.6,51.2,17.8,*,142,Both,28,11.5,11,8,*,*,*,0,Yes,None,Axial,Nurses,Nurses,No,Yes,Yes
UHC,445,188,251,*,*,489,*,486,0,0,489,333,143,*,9,489,414,67,8,0,42,37,0,*,0,229,211,17,0,*,211,205,6,128,28,100,199,194,*,0,*,0,19,16,*,0,*,0,489,481,8,0,448,11,404,33,445,7,404,6,0,7,21,0,445,445,0,445,*,441,0,456,307,11,*,64,29,40,*,*,489,385,42,20,0,*,39,*,0,452,16.7,6.7,1413,8.6,9,385,63.6,63.5,491,311,115,38,20,*,*,0,0,0,0,489,42.2,84.7,74.6,100,100,95.3,*,63.3,8.6,9,63.6,63.5,23.4,91.6,522,Both,108,26,15,15,0,*,*,0,Yes,None,Axial,Nurses,Admin,No,No,Yes
UHN,684,544,137,*,*,728,710,*,14,0,728,341,366,6,15,728,588,125,15,0,47,44,0,*,0,357,311,35,8,*,317,287,30,164,13,151,288,246,33,6,*,0,36,34,*,0,*,0,728,713,15,0,676,*,0,673,645,82,232,152,23,138,17,*,645,624,21,645,14,630,*,691,275,181,9,62,59,81,24,0,728,586,71,69,0,0,0,*,0,689,14.6,*,2162,9.7,8.1,586,43.7,48.2,743,535,128,32,15,8,11,9,*,*,0,728,79.5,80.8,93.7,99,96.7,97.2,*,72,9.7,8.1,43.7,48.2,17.3,0,800,Both,166,12,16,25,25,*,*,*,Yes,Con,Axial,Audit,Audit,No,No,Yes
VIC,424,189,203,0,32,426,*,425,0,0,426,*,417,*,0,426,278,148,0,0,171,68,103,0,0,131,102,29,0,0,206,201,*,83,6,77,101,91,9,*,0,0,23,12,11,0,0,0,426,426,0,0,388,0,0,388,394,24,323,*,*,40,*,0,394,393,*,394,*,391,0,388,257,*,0,35,58,31,*,*,426,322,35,64,*,0,*,0,0,388,13.9,9.7,1268,5.8,5.5,322,55.3,54.2,423,175,180,58,10,0,0,0,0,0,0,426,44.6,65.3,66.2,100,99.7,99.5,*,41.4,5.8,5.5,55.3,54.2,23.6,0,450,DGH,55.5,8,9,14,0,*,*,*,Yes,Nurse,Peri,Nurses,Admin,Yes,Yes,Yes
WAR,274,156,95,14,9,300,241,20,39,0,300,157,118,13,12,300,232,64,*,0,36,24,11,*,0,158,146,11,*,0,157,*,152,79,22,57,94,72,21,0,*,0,12,6,*,0,*,0,300,296,*,0,273,6,198,69,278,23,242,*,*,*,*,0,278,277,*,278,*,267,9,277,198,7,*,33,15,21,*,*,300,211,38,26,*,*,17,*,0,266,15.9,9.4,863,5.7,5.9,211,65.4,63.8,306,211,77,13,*,*,0,0,*,0,0,300,56.9,77.3,94.3,99.3,99.6,99.3,*,69,5.7,5.9,65.4,63.8,25.3,91.7,365,DGH,30,9.15,9,16,40,*,6.3,0,Yes,Con,Axial,Nurses,Nurses,No,Yes,No
WAT,410,219,156,15,20,427,362,62,*,0,427,263,146,12,6,427,360,61,6,0,57,48,9,0,0,194,158,33,*,0,167,132,35,101,9,92,132,80,48,0,*,*,44,33,11,0,0,0,427,421,6,0,403,*,94,307,389,31,289,49,*,16,0,0,389,389,0,389,*,385,0,409,185,133,*,27,12,37,10,0,427,319,69,20,*,0,10,*,0,395,13.8,*,1282,10.8,11.7,319,44.5,43.3,427,356,60,*,0,*,*,*,0,*,0,427,53.4,84.3,99.3,99.8,100,100,*,83.4,10.8,11.7,44.5,43.3,13.9,20.3,450,DGH,60,10,18,24,40,*,*,*,Yes,Con,None,Nurses,Admin,No,No,No
WDG,325,182,134,*,6,343,64,41,238,0,343,282,41,*,16,343,268,65,10,0,64,8,52,*,*,126,105,16,*,*,163,158,*,45,13,32,133,101,15,*,*,8,18,10,7,*,0,0,343,333,10,0,307,8,253,46,323,40,219,13,18,10,23,0,323,322,*,323,11,273,39,315,121,85,0,12,78,17,*,0,343,251,24,45,*,*,9,8,0,311,13.2,11.1,941,6.4,6.2,251,46.2,47.6,332,134,80,71,25,10,8,*,*,0,0,343,56,78.1,75.5,81.3,99.7,92.9,*,40.4,6.4,6.2,46.2,47.6,24.3,85.8,350,DGH,48,12,8,37.5,0,*,0,0,Yes,None,Peri,Nurses,Nurses,No,No,Yes
WDH,248,155,54,0,39,271,*,51,217,0,271,138,94,*,35,268,237,25,*,*,23,18,*,*,0,124,112,8,*,*,117,91,26,66,10,56,111,110,*,0,0,0,10,6,*,0,0,0,271,264,*,*,256,0,202,54,244,25,106,27,*,41,41,0,244,244,0,244,*,203,39,261,97,109,0,0,6,26,16,7,271,238,17,9,*,0,6,0,0,258,13.1,*,783,8.9,8.5,238,35.3,38.7,269,179,66,22,*,0,0,0,0,0,0,271,62.5,88.4,90,100,100,83.2,*,66.5,8.9,8.5,35.3,38.7,13.4,0,270,DGH,20.3,8,9,8,8,*,*,*,Yes,Con,Axial,Nurses,Admin,Yes,Yes,Yes
WES,168,*,134,33,0,176,63,113,0,0,176,41,107,21,7,176,122,47,7,0,14,9,*,*,0,68,62,*,*,0,64,64,0,39,14,25,83,67,15,0,*,0,11,11,0,0,0,0,176,169,7,0,155,*,13,141,166,24,81,19,39,*,*,0,166,163,*,166,12,154,0,162,83,38,*,*,22,10,*,0,176,149,8,9,0,*,*,6,0,128,27.3,*,407,5.7,6.4,149,41.6,39.9,173,98,60,12,*,*,0,0,0,0,0,176,*,69.3,91.5,100,98.2,99.4,7.2,56.6,5.7,6.4,41.6,39.9,27.9,5.1,180,Both,26,12,7,7,*,*,*,0,Yes,Con,Axial,Nurses,Nurses,No,Yes,Yes
WEX,340,57,276,7,0,350,130,18,201,*,350,160,99,52,39,350,258,82,10,0,16,11,*,*,0,165,157,*,*,0,161,104,57,71,27,44,138,129,*,0,*,0,19,17,*,0,0,*,350,340,10,0,317,*,12,304,326,25,253,13,0,13,21,*,326,300,26,326,11,306,9,326,157,73,*,27,35,23,6,*,350,283,26,28,0,*,11,0,*,318,17.9,*,1058,9.2,8.3,283,48.8,50.4,344,177,93,44,12,8,*,*,*,0,*,350,16.8,73.7,82.6,93.7,92,93.3,*,51.5,9.2,8.3,48.8,50.4,18.6,*,365,DGH,33,11,12,*,37.5,*,0,0,Yes,Con,None,Nurses,Admin,Yes,No,No
WGH,301,158,131,7,*,309,31,27,251,0,309,93,116,6,94,309,224,81,*,0,57,26,29,*,0,132,122,6,*,*,152,152,0,62,12,50,103,97,6,0,0,0,12,11,*,0,0,0,309,305,*,0,286,0,0,286,281,21,193,6,*,7,52,*,281,200,81,281,6,186,89,290,128,35,*,49,42,25,*,*,309,210,51,34,0,0,7,6,*,282,17.6,*,810,6.8,5.9,210,45.2,46.3,302,72,71,45,19,35,24,25,11,0,0,309,52.5,72.5,49.8,95.8,71.2,81.1,*,23.8,6.8,5.9,45.2,46.3,21.6,0,350,DGH,24,7,9,*,0,0,*,*,Yes,None,Axial,Audit,Audit,No,No,No
WHC,264,53,183,*,27,281,224,47,6,*,281,232,11,12,26,281,222,55,*,0,51,47,*,*,0,138,135,*,0,0,139,136,*,64,9,55,54,53,0,0,*,0,15,*,9,0,0,*,281,277,*,0,255,6,114,135,252,0,249,0,0,*,0,*,252,251,*,252,13,237,*,258,84,92,*,31,22,26,0,0,281,190,45,8,*,*,14,19,0,257,23.3,*,864,8.8,8.7,190,41.1,43.5,278,184,75,11,*,*,*,*,0,0,0,281,20.1,79,96.1,99.6,99.6,99.2,5.2,66.2,8.8,8.7,41.1,43.5,25.8,47.7,320,DGH,40,9,9,17,0,*,*,0,Yes,Con,None,Nurses,Nurses,No,No,Yes
WHH,441,146,290,*,*,453,307,10,136,0,453,120,171,154,8,453,330,117,6,0,61,16,42,*,*,204,194,8,*,0,237,137,100,101,13,88,153,139,12,*,*,0,35,27,7,0,*,0,453,447,6,0,427,*,108,315,408,28,302,66,*,7,*,0,408,407,*,408,21,386,*,433,286,82,8,*,7,41,*,0,453,393,10,0,*,*,8,35,0,432,17.6,*,1216,10,11.1,393,58.3,60.8,473,320,128,22,0,*,*,*,0,0,0,453,33.1,72.8,97.6,99.6,99.8,99.5,5.1,67.7,10,11.1,58.3,60.8,19.8,34.3,441,DGH,45,10,12,10,40,*,*,*,Yes,Con,None,Audit,Audit,Yes,Yes,Yes
WHI,360,73,281,*,*,386,149,80,157,0,386,304,57,22,*,386,305,78,*,0,42,36,6,0,0,195,184,8,*,0,190,33,157,85,12,73,127,120,7,0,0,0,22,18,*,0,0,0,386,383,*,0,359,0,0,359,348,51,220,35,*,36,*,0,348,336,12,348,12,330,6,362,173,14,14,25,50,38,48,0,386,276,37,35,10,0,24,*,0,349,18,5.2,1125,10.9,11,276,43.5,43,390,228,120,24,10,*,0,*,0,*,0,386,20.3,79,90.9,98.7,96.6,98.6,*,58.5,10.9,11,43.5,43,23.3,0,385,DGH,56,11,11,8,8,*,0,0,Yes,Con,Axial,Nurses,Audit,No,No,Yes
WHT,131,24,105,*,*,137,62,28,47,0,137,68,52,*,15,137,125,12,0,0,63,12,51,0,0,20,15,*,0,0,67,*,66,7,0,7,40,20,20,0,0,0,11,9,*,0,0,0,137,137,0,0,132,*,*,127,129,13,100,6,*,8,0,0,129,129,0,129,*,125,0,132,74,26,*,8,11,7,*,0,137,106,15,*,0,*,6,*,0,131,15.9,0,393,6.1,7,106,60.4,62.5,141,51,54,24,7,*,*,0,0,0,0,137,18.3,91.2,81,90.5,100,100,*,36.2,6.1,7,60.4,62.5,15.9,*,150,DGH,20,8,8,15,0,*,0,0,Yes,Con,Axial,Doctors,Nurses,Yes,Yes,Yes
WIR,415,273,124,15,*,451,262,7,180,*,451,320,100,19,12,451,389,58,*,0,37,20,15,*,0,214,200,13,*,0,220,215,*,107,34,73,152,113,36,*,0,0,45,39,*,0,*,0,451,447,*,0,420,6,402,12,419,59,232,63,*,55,9,0,419,409,10,419,27,391,*,424,209,16,*,54,99,29,16,0,451,316,49,53,*,*,24,*,0,406,16.8,6.2,1248,9,9.4,316,53.2,52.1,457,336,75,27,9,*,*,0,*,*,0,451,65.8,86.3,94.5,99.3,97.6,97.9,6.4,73.5,9,9.4,53.2,52.1,22.9,32.9,450,DGH,81,16,9,20,40,7,*,0,Yes,None,Axial,Audit,Audit,Yes,No,Yes
WMH,309,64,234,7,*,319,104,32,180,*,319,152,150,7,10,319,207,105,7,0,15,*,11,0,0,162,156,*,*,*,167,149,18,72,6,66,125,117,*,0,*,0,16,12,*,0,0,*,319,310,7,*,291,0,0,291,286,26,225,0,*,11,21,*,286,284,*,286,*,282,*,298,120,28,*,27,39,32,48,0,319,248,29,30,0,*,11,0,0,291,12.5,5.5,858,9.4,9,248,40.7,41.3,320,149,80,34,21,6,14,7,9,0,0,319,20.7,64.9,66.1,88.7,99.3,92,*,46.6,9.4,9,40.7,41.3,18,0,360,DGH,22,9,10,12,0,*,0,0,Yes,Nurse,None,Nurses,Nurses,No,No,Yes
WMU,220,85,114,21,0,224,37,77,110,0,224,188,22,*,11,224,100,112,12,0,11,8,*,*,0,124,109,7,8,0,110,82,28,58,6,52,75,69,*,0,*,0,14,7,6,0,*,0,224,212,12,0,198,0,0,198,204,84,115,*,0,*,*,0,204,199,*,204,12,191,*,209,164,0,*,*,13,19,*,*,224,185,7,26,*,*,*,*,0,205,15.7,*,622,9.6,10.9,185,83.8,85.4,224,70,96,39,12,*,*,0,*,0,0,224,38.6,44.6,67,96.4,97.5,98.5,5.9,31.3,9.6,10.9,83.8,85.4,15.9,0,200,DGH,30,*,9,6,*,*,*,0,Yes,Con,Peri,Nurses,Nurses,Yes,Yes,No
WRC,436,147,217,47,25,446,283,32,131,0,446,153,241,26,26,446,235,199,12,0,37,24,12,*,0,216,180,28,8,0,193,130,63,102,9,93,171,165,*,0,*,0,20,6,11,0,0,*,446,434,12,0,404,*,9,394,405,21,128,10,*,229,14,0,405,403,*,405,*,392,9,415,124,97,*,46,61,38,37,11,446,342,70,20,*,*,*,*,0,369,12.1,*,1251,6.6,6.4,342,31.9,31.5,435,195,137,42,18,9,17,12,*,0,0,446,33.7,52.7,84.5,93.9,99.5,96.5,*,44.8,6.6,6.4,31.9,31.5,16.1,*,420,DGH,10,8,8,*,*,*,0,*,Yes,Con,Axial,Nurses,Nurses,No,No,No
WRG,450,275,56,115,*,479,361,14,104,0,479,268,197,*,9,479,366,104,9,0,57,42,12,*,0,245,237,*,*,0,251,228,23,102,16,86,140,133,*,*,*,*,31,12,17,*,0,*,479,470,9,0,441,7,390,44,424,66,243,22,9,84,0,0,424,424,0,424,12,411,*,449,217,66,*,16,66,52,24,*,479,352,31,63,*,*,23,*,0,329,5.8,16.2,1414,10.8,9.7,352,52.3,55,484,375,107,0,*,*,0,0,0,0,0,479,61.1,76.4,97.9,100,100,100,*,77.5,10.8,9.7,52.3,55,21.9,78.5,518,DGH,43.5,8,16,16,*,7,0,0,Yes,Con,None,Admin,Admin,No,No,Yes
WSH,324,215,99,0,10,337,143,133,61,0,337,264,34,6,33,337,285,52,0,0,28,12,16,0,0,174,164,8,0,*,182,181,*,90,31,59,118,110,7,*,0,0,13,13,0,0,0,0,337,336,0,*,320,6,306,8,309,47,207,30,*,23,0,0,309,307,*,309,11,295,*,320,175,45,*,44,23,27,*,0,337,261,38,21,0,*,10,*,0,320,12.8,5.3,916,7.4,6.2,261,73.9,75.3,341,281,51,6,*,0,*,0,0,0,0,337,66.4,84.6,99.4,99.7,99.4,100,*,82.4,7.4,6.2,73.9,75.3,18.1,66.8,300,DGH,20,10,10,20,10,*,*,0,Yes,Con,None,Doctors,Audit,Yes,No,Yes
WYT,275,56,205,12,*,294,160,134,0,0,294,169,99,19,7,294,236,52,6,0,35,22,12,*,0,139,123,14,*,0,139,126,13,82,12,70,110,100,7,*,*,0,N/A,N/A,N/A,N/A,N/A,N/A,294,288,6,0,254,*,70,183,262,46,211,*,*,*,0,0,262,262,0,262,*,258,0,260,183,*,*,13,22,31,*,0,294,242,10,23,*,*,9,*,0,246,19.4,5.5,856,7.5,8,242,63.2,60.8,296,218,57,13,*,*,0,0,0,0,0,294,20.4,80.3,90.1,100,100,100,*,73.6,7.5,8,63.2,60.8,24.9,25,300,Both,48,12,11,25,6,*,0,0,Yes,Con,Axial,Nurses,Nurses,No,Yes,No
YDH,364,305,45,0,14,384,245,15,124,0,384,150,203,8,23,384,276,87,21,0,22,10,8,*,0,211,188,10,13,0,197,148,49,121,31,90,109,97,8,*,*,0,32,26,*,0,*,0,384,363,21,0,344,*,339,0,361,30,65,89,18,159,0,0,361,359,*,361,*,358,0,365,161,86,*,36,51,22,7,0,384,297,41,35,*,*,8,*,0,365,14.2,*,1250,6.4,7.7,297,68.7,64.2,379,254,86,22,11,*,*,*,0,0,0,384,83.8,71.9,94,99.2,99.4,100,*,67,6.4,7.7,68.7,64.2,16.1,97.2,360,DGH,36,11,10,18,0,*,*,0,Yes,Con,None,Doctors,Audit,No,No,No
