Creditor Name ,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
TREKA BUS LIMITED,220, 02/10/2015,Other General Fund,General Payments
RSP RAIL TRAVEL  ACCOUNT,449.5, 02/10/2015,Childrens Services,Transport For Children
RSP RAIL TRAVEL  ACCOUNT,961.6, 02/10/2015,Childrens Services,Transport For Children
RSP RAIL TRAVEL  ACCOUNT,326.3, 02/10/2015,Childrens Services,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,1266.9, 02/10/2015,Childrens Services,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,86, 02/10/2015,Childrens Services,Transport For Children
RSP RAIL TRAVEL  ACCOUNT,447.2, 02/10/2015,Childrens Services,Transport For Children
RSP RAIL TRAVEL  ACCOUNT,986.3, 02/10/2015,Childrens Services,Transport For Children
RSP RAIL TRAVEL  ACCOUNT,408.3, 02/10/2015,Childrens Services,Transport For Children
RSP RAIL TRAVEL  ACCOUNT,478.2, 02/10/2015,Childrens Services,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,244.5, 02/10/2015,Childrens Services,Transport For Parent Car
RSP RAIL TRAVEL  ACCOUNT,34, 02/10/2015,Childrens Services,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,488.3, 02/10/2015,Childrens Services,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,583.9, 02/10/2015,Childrens Services,Transport For Parent Car
RSP RAIL TRAVEL  ACCOUNT,135.6, 02/10/2015,Childrens Services,Transport For Parent Car
RSP RAIL TRAVEL  ACCOUNT,141.9, 02/10/2015,Childrens Services,Transport For Children
RSP RAIL TRAVEL  ACCOUNT,151.3, 02/10/2015,Childrens Services,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,220, 02/10/2015,Childrens Services,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,37, 02/10/2015,Childrens Services,Transport For Children
RSP RAIL TRAVEL  ACCOUNT,71.2, 02/10/2015,Childrens Services,Transport For Children
RSP RAIL TRAVEL  ACCOUNT,15.8, 02/10/2015,Childrens Services,Transport For Children
RSP RAIL TRAVEL  ACCOUNT,225.9, 02/10/2015,Childrens Services,Transport For Children
RSP RAIL TRAVEL  ACCOUNT,16.3, 02/10/2015,Childrens Services,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,46.5, 02/10/2015,Childrens Services,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,31.6, 02/10/2015,Childrens Services,Transport For Parent Car
RSP RAIL TRAVEL  ACCOUNT,202.8, 02/10/2015,Childrens Services,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,24, 02/10/2015,Adult and Older People,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,46, 02/10/2015,Childrens Services,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,56, 02/10/2015,Chief Executives,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,272.7, 02/10/2015,Childrens Services,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,24, 02/10/2015,Childrens Services,Transport For Children
RSP RAIL TRAVEL  ACCOUNT,504.3, 02/10/2015,Childrens Services,Transport For Parent Car
RSP RAIL TRAVEL  ACCOUNT,10.2, 02/10/2015,Childrens Services,Transport For Parent Car
RSP RAIL TRAVEL  ACCOUNT,43, 02/10/2015,Housing Services HRA,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,17, 02/10/2015,Chief Executives,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,12, 02/10/2015,Chief Executives,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,37.3, 02/10/2015,Adult and Older People,Travel Expenses
RSP RAIL TRAVEL  ACCOUNT,12, 02/10/2015,Regeneration Enterprise and Sk,Travel Expenses
ROYAL MAIL GROUP LTD,3883.35, 02/10/2015,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,1789.03, 02/10/2015,Chief Executives,Postage - Royal Mail
HALPINROBBINS LIMITED,2950, 02/10/2015,Comm Safety and Environment,Materials
BIBBY FACTORS MANCHESTER LIMITED,24852, 02/10/2015,Comm Safety and Environment,Services Private Contractor
ENVITECH EUROPE LTD,576, 02/10/2015,Comm Safety and Environment,Environment Monitoring
HOW SCAFFOLDING,2256, 02/10/2015,Housing Services HRA,Direct Orders
POSTURITE (UK) LTD,754.94, 02/10/2015,Adult and Older People,Equipment
POSTURITE (UK) LTD,21, 02/10/2015,Adult and Older People,Equipment
KEEGANS LIMITED,5492.04, 02/10/2015,Modernisation,Ext Consultants Fees
NPOWER LTD,738.39, 02/10/2015,Housing Services HRA,Electricity - Estate Roads
OFFICE DEPOT UK LIMITED,12.6, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,7.56, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,23.83, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,81.6, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,3.6, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,6.84, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,6.06, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,3.96, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,2.52, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,2.38, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,2.38, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,0.72, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,1.1, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,45.6, 02/10/2015,Regeneration Enterprise and Sk,Stationery
OFFICE DEPOT UK LIMITED,464.76, 02/10/2015,Regeneration Enterprise and Sk,Stationery
VAN HEYNINGEN & HAWARD ARCHITECTS LLP,16181.84, 02/10/2015,Modernisation,Ext Consultants Fees
NPOWER LTD,1725.14, 02/10/2015,Housing Services HRA,Electricity - Estate Roads
SWEETT (UK) LTD,1620, 02/10/2015,Modernisation,Ext Consultants Fees
ALLPAY NET LIMITED,11463.04, 02/10/2015,Housing Services HRA,Paypal Charges
ALLPAY NET LIMITED,-10692.96, 02/10/2015,Housing Services HRA,Paypal Charges
ALLPAY NET LIMITED,8910.8, 02/10/2015,Housing Services HRA,Paypal Charges
EMMAUS GREENWICH,4425.5, 02/10/2015,Chief Executives,ESS Care Grant Furniture
EMMAUS GREENWICH,864, 02/10/2015,Chief Executives,ESS Care Grant Furniture
WOLSELEY UK LTD (VARIOUS SUPPLIES),536.04, 02/10/2015,Housing Services,Materials
WOLSELEY UK LTD (VARIOUS SUPPLIES),1550.4, 02/10/2015,Housing Services,Materials
WOLSELEY UK LTD (VARIOUS SUPPLIES),1550.4, 02/10/2015,Housing Services,Materials
WOLSELEY UK LTD (VARIOUS SUPPLIES),1550.4, 02/10/2015,Housing Services,Materials
FOUR SEASONS (NO 7) LTD T/A CHARLTON PARK CARE HOM,3566.46, 02/10/2015,Adult and Older People,Private Sector Nursing Homes
HARMONY HOME AID SERVICES LTD,531.72, 02/10/2015,Adult and Older People,Private Home Help Domest Misc
HARMONY HOME AID SERVICES LTD,531.72, 02/10/2015,Adult and Older People,Private Home Help Domest Misc
HARMONY HOME AID SERVICES LTD,2111.2, 02/10/2015,Adult and Older People,Private Home Help Domest Misc
HARMONY HOME AID SERVICES LTD,800, 02/10/2015,Childrens Services,Private Home Help Domestic
HARMONY HOME AID SERVICES LTD,912, 02/10/2015,Childrens Services,Section 17
HEADWAY SELNWK LTD,756, 02/10/2015,Adult and Older People,Client Support
CAPITAL CARE & FOSTER LTD T/AS 365 FOSTER CARE,3132.08, 02/10/2015,Childrens Services,Agency Placements
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT) LTD,2202.42, 02/10/2015,Adult and Older People,Services Private Contractor
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT) LTD,2698.42, 02/10/2015,Adult and Older People,Services Private Contractor
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT) LTD,2611.37, 02/10/2015,Adult and Older People,Services Private Contractor
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT) LTD,2698.42, 02/10/2015,Adult and Older People,Services Private Contractor
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT) LTD,2611.37, 02/10/2015,Adult and Older People,Services Private Contractor
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT) LTD,2698.42, 02/10/2015,Adult and Older People,Services Private Contractor
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT) LTD,783.41, 02/10/2015,Adult and Older People,Services Private Contractor
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT) LTD,3082.37, 02/10/2015,Adult and Older People,Private Sector Nursing Homes
HARMONY HOME AID SERVICES LTD,1006.04, 02/10/2015,Adult and Older People,Private Home Help Domest Misc
STAR CARE UK LTD,537.21, 02/10/2015,Adult and Older People,ISF Personal Care
STAR CARE UK LTD,1626.88, 02/10/2015,Adult and Older People,Private Home Help Domest Misc
AVANTE CARE AND SUPPORT LTD,1283.38, 02/10/2015,Adult and Older People,ISF Personal Care
AVANTE CARE AND SUPPORT LTD,523.22, 02/10/2015,Adult and Older People,Private Home Help Domest Misc
AVANTE CARE AND SUPPORT LTD,1727.16, 02/10/2015,Adult and Older People,ISF Personal Care
AVANTE CARE AND SUPPORT LTD,556.15, 02/10/2015,Adult and Older People,Private Home Help Domest Misc
CLEARWATER CARE (HACKNEY) LTD,6400, 02/10/2015,Adult and Older People,Services Private Contractor
SUPREME CARE SERVICES LTD,1769.08, 02/10/2015,Adult and Older People,Private Home Help Domest Misc
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT) LTD,1837.71, 02/10/2015,Adult and Older People,Services Private Contractor
REDACTED PERSONAL INFORMATION,3675.67, 02/10/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3557.1, 02/10/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,15172.86, 02/10/2015,Childrens Services,Agency Placements
DENISE HATT,1920, 02/10/2015,Housing Services,Deposits
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,106336.05, 02/10/2015,Regeneration Enterprise and Sk,Rents Other
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,106336.05, 02/10/2015,Regeneration Enterprise and Sk,Rents Other
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,19967.72, 02/10/2015,Regeneration Enterprise and Sk,Service Charges
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,19967.73, 02/10/2015,Regeneration Enterprise and Sk,Service Charges
REDACTED PERSONAL INFORMATION,900, 02/10/2015,Childrens Services,R and M Day To Day
REDACTED PERSONAL INFORMATION,1200, 02/10/2015,Childrens Services,Prof Serv Con Adv Non Curric
EMMAUS GREENWICH,3771, 02/10/2015,Chief Executives,ESS Care Grant Furniture
EMMAUS GREENWICH,756, 02/10/2015,Chief Executives,ESS Care Grant Furniture
EMMAUS GREENWICH,456, 02/10/2015,Chief Executives,ESS Care Grant Furniture
EXTERION MEDIA  ( UK ) LTD,3024, 02/10/2015,Comm Safety and Environment,Medium Risk Victims
REDACTED PERSONAL INFORMATION,1429.4, 02/10/2015,Housing Services HRA,Major Reactive Repairs
J W BROWN PRINTERS LTD,770, 02/10/2015,Regeneration Enterprise and Sk,External Income Sales
ALLPAY NET LIMITED,11848.45, 02/10/2015,Housing Services HRA,Paypal Charges
ALLPAY NET LIMITED,-10998.25, 02/10/2015,Housing Services HRA,Paypal Charges
ALLPAY NET LIMITED,9165.21, 02/10/2015,Housing Services HRA,Paypal Charges
ALLPAY NET LIMITED,11734.23, 02/10/2015,Housing Services HRA,Paypal Charges
ALLPAY NET LIMITED,-10996.81, 02/10/2015,Housing Services HRA,Paypal Charges
ALLPAY NET LIMITED,9164.01, 02/10/2015,Housing Services HRA,Paypal Charges
REDACTED PERSONAL INFORMATION,1937.7, 02/10/2015,Systems Control Accounts,Advances
REDACTED PERSONAL INFORMATION,1946.98, 02/10/2015,Systems Control Accounts,Advances
REDACTED PERSONAL INFORMATION,1946.98, 02/10/2015,Systems Control Accounts,Advances
REDACTED PERSONAL INFORMATION,2192.29, 02/10/2015,Systems Control Accounts,Advances
REDACTED PERSONAL INFORMATION,2187.94, 02/10/2015,Systems Control Accounts,Advances
GREENWICH SERVICE PLUS LIMITED,2144.52, 05/10/2015,Comm Safety and Environment,Cleaning Services - Contract
GREENWICH SERVICE PLUS LIMITED,1183.75, 05/10/2015,Comm Safety and Environment,Cleaning Serv In House Trad
GREENWICH SERVICE PLUS LIMITED,5395.27, 05/10/2015,Comm Safety and Environment,Cleaning Serv In House Trad
GREENWICH SERVICE PLUS LIMITED,733.33, 05/10/2015,Comm Safety and Environment,Cleaning Serv In House Trad
REDACTED PERSONAL INFORMATION,4641.97, 05/10/2015,Capital Housing Revenue Acc,Disturbance
TREKA BUS LIMITED,66616.07, 05/10/2015,Other General Fund,General Payments
TREKA BUS LIMITED,-264, 05/10/2015,Other General Fund,General Payments
TREKA BUS LIMITED,220, 05/10/2015,Other General Fund,General Payments
PLEXUS LAW,2650, 05/10/2015,Corporate,Insurance Claims
GREENWICH SERVICE PLUS LIMITED,800, 05/10/2015,Childrens Services,Cleaning Serv In House Trad
SANCTUARY CARE LTD,5669.23, 05/10/2015,NS General Fund,General Payments
SANCTUARY CARE LTD,-5669.23, 05/10/2015,Housing Services,Ext Inc Other Recover Charges
SANCTUARY CARE LTD,753.02, 05/10/2015,NS General Fund,General Payments
SANCTUARY CARE LTD,-3, 05/10/2015,Housing Services,Stationery
GREENWICH SERVICE PLUS LIMITED,2112, 05/10/2015,Adult and Older People,Vehicle Hire for GSP Only
GREENWICH SERVICE PLUS LIMITED,6354.74, 05/10/2015,Corporate,Insurance Claims
ST MARYS (ELTHAM) COMMUNITY COMPLEX ASSOCIATION,522.5, 05/10/2015,Adult and Older People,Venue Hire
ST MARYS (ELTHAM) COMMUNITY COMPLEX ASSOCIATION,815.1, 05/10/2015,Adult and Older People,Venue Hire
ST MARYS (ELTHAM) COMMUNITY COMPLEX ASSOCIATION,570, 05/10/2015,Adult and Older People,Venue Hire
LOGICALIS UK LIMITED,1218.53, 05/10/2015,Modernisation,IT Cabling
LOGICALIS UK LIMITED,1680, 05/10/2015,Chief Executives,Computer Software
DEEP BLUE ASSET MANAGEMENT LLP,1206.4, 05/10/2015,Childrens Services,Agency Staff
MODERN MINDSET LTD,8412, 05/10/2015,Chief Executives,Computer Software
PENNA PLC,4296, 05/10/2015,Regeneration Enterprise and Sk,Agency Staff
PENNA PLC,4296, 05/10/2015,Regeneration Enterprise and Sk,Agency Staff
HSBC INVOICE FINANCE (UK) LTD,2272.8, 05/10/2015,Regeneration Enterprise and Sk,Repairs Buildings GMR In House
BETA DISTRIBUTION (SOUTH),6798.64, 05/10/2015,Chief Executives,Courier Service
FACULTATIEVE TECHNOLOGIES LTD,6726, 05/10/2015,Eltham Crematorium Revenue,R & M Buildings Other
FALON NAMEPLATES LTD,1592.52, 05/10/2015,Eltham Crematorium Revenue,Memorial Plaques
EXTERION MEDIA  ( UK ) LTD,13704, 05/10/2015,Comm Safety and Environment,Medium Risk Victims
REDACTED PERSONAL INFORMATION,1140, 05/10/2015,Childrens Services,Supply/Sessional Normal TIme
REDACTED PERSONAL INFORMATION,1140, 05/10/2015,Childrens Services,Supply/Sessional Normal TIme
REDACTED PERSONAL INFORMATION,950, 05/10/2015,Childrens Services,Supply/Sessional Normal TIme
REDACTED PERSONAL INFORMATION,2280, 05/10/2015,Childrens Services,Supply/Sessional Normal TIme
REDACTED PERSONAL INFORMATION,15637.45, 05/10/2015,Systems Control Accounts,Advances
APT SULUTIONS LTD,3105, 05/10/2015,Housing Services HRA,Small Systems Budget
REDACTED PERSONAL INFORMATION,10931.76, 05/10/2015,Systems Control Accounts,Advances
REDACTED PERSONAL INFORMATION,5959.44, 05/10/2015,Childrens Services,Redundancy Payments
REDACTED PERSONAL INFORMATION,30000, 05/10/2015,Childrens Services,Redundancy Payments
REDACTED PERSONAL INFORMATION,14494.36, 05/10/2015,Systems Control Accounts,Advances
REDACTED PERSONAL INFORMATION,11764.09, 05/10/2015,Childrens Services,Redundancy Payments
DOVETAIL EQUIPMENTLIMITED,1085.66, 05/10/2015,Chief Executives,Vehicle Hire External Hired
POTTER RAPER PARTNERSHIP,16359.16, 05/10/2015,Capital Housing Revenue Acc,Ext Consultants Fees
POTTER RAPER PARTNERSHIP,-2847.6, 05/10/2015,Capital Housing Revenue Acc,Ext Consultants Fees
POTTER RAPER PARTNERSHIP,2373, 05/10/2015,Capital Housing Revenue Acc,Ext Consultants Fees
HALPINROBBINS LIMITED,2000, 05/10/2015,Comm Safety and Environment,Materials
REDACTED PERSONAL INFORMATION,1000, 05/10/2015,Housing Services HRA,Disturbance Payments - Repairs
HOWDENS JOINERY LTD,1769.88, 05/10/2015,Housing Services,Materials
GREENWICH SERVICE PLUS LIMITED,710.32, 05/10/2015,Childrens Services,Cleaning Services - Contract
GREENWICH SERVICE PLUS LIMITED,5021.36, 05/10/2015,Housing Services HRA,Vehicle Repair In House Trad
GREENWICH SERVICE PLUS LIMITED,664.84, 05/10/2015,Housing Services HRA,Vehicle Repair In House Trad
POWER DISTRIBUTE (AF L P KEETCH),3454.8, 05/10/2015,Comm Safety and Environment,Rm Buildings Gmrs Ext Contract
ALLPAY NET LIMITED,11136.97, 05/10/2015,Housing Services HRA,Paypal Charges
ALLPAY NET LIMITED,-10089.9, 05/10/2015,Housing Services HRA,Paypal Charges
ALLPAY NET LIMITED,8408.25, 05/10/2015,Housing Services HRA,Paypal Charges
AGILITY ECO SERVICES LTD,11640, 05/10/2015,Capital Housing Revenue Acc,Ext Consultants Fees
XMBRACE LTD,1200, 05/10/2015,Housing Services HRA,Small Systems Budget
PARKEON LTD,230232.84, 05/10/2015,Regeneration Enterprise and Sk,Equipment
PELLINGS LLP,1056, 05/10/2015,Planned Maintenance,Ext Safety Supervision Fees
MIDLAND HR,972.12, 05/10/2015,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,3250, 05/10/2015,Adult and Older People,Services by External Providers
LOGICALIS UK LIMITED,14138.39, 05/10/2015,Planned Maintenance,IT Cabling
LINCOLN ANALYTICAL SERVICES LTD,1872, 05/10/2015,Comm Safety and Environment,Asbestos Analysis
LINCOLN ANALYTICAL SERVICES LTD,1560, 05/10/2015,Comm Safety and Environment,Asbestos Analysis
GREENWICH CO-OPERATIVE DEVELOPMENT AGENCY,11250, 05/10/2015,Adult and Older People,Services Vol Associations
LINCOLN ANALYTICAL SERVICES LTD,1596, 05/10/2015,Comm Safety and Environment,Asbestos Analysis
EARTH ANCHORS LTD,1073.94, 05/10/2015,Comm Safety and Environment,Materials
GAS TRAIN LTD,1108.2, 05/10/2015,Housing Services HRA,Corp Training Train Dev Fund
GAS TRAIN LTD,-78, 05/10/2015,Housing Services HRA,Corp Training Train Dev Fund
GAS TRAIN LTD,65, 05/10/2015,Housing Services HRA,Corp Training Train Dev Fund
MOUNTAIN VIEW HOLIDAYS LTD,3263.64, 05/10/2015,Adult and Older People,Agency Staff
FAIRDEAL WINDOWS LTD,2791, 05/10/2015,Capital Housing Revenue Acc,Safety
OPENVIEW SECURITY SOLUTIONS LTD,3879.62, 05/10/2015,Housing Services HRA,Equipment
LINCOLN ANALYTICAL SERVICES LTD,1056, 05/10/2015,Comm Safety and Environment,Asbestos Analysis
LINCOLN ANALYTICAL SERVICES LTD,1026, 05/10/2015,Comm Safety and Environment,Asbestos Analysis
M G AXTON,24000, 05/10/2015,Capital Housing Revenue Acc,Refurbishment
HFS ENVIRONMENTAL LTD,1260, 05/10/2015,Comm Safety and Environment,Asbestos Analysis
CATCH 22,14210.86, 05/10/2015,Housing Services,Services by External Providers
TCS COMPUTER SERVICES LTD,3330, 05/10/2015,Chief Executives,Computer Software
PSi2000 LTD,810, 05/10/2015,Comm Safety and Environment,Asbestos Analysis
MISCO UK LTD T/A MISCO,734.4, 05/10/2015,Comm Safety and Environment,Asbestos Analysis
MISCO UK LTD T/A MISCO,11.99, 05/10/2015,Comm Safety and Environment,Asbestos Analysis
EDEN PARK (STMS) LIMITED,561.6, 05/10/2015,Comm Safety and Environment,Materials
GREENWICH SERVICE PLUS LIMITED,45.82, 05/10/2015,Childrens Services,Stationery
GREENWICH SERVICE PLUS LIMITED,229.1, 05/10/2015,Regeneration Enterprise and Sk,Courier Service
GREENWICH SERVICE PLUS LIMITED,229.1, 05/10/2015,Regeneration Enterprise and Sk,Courier Service
GREENWICH SERVICE PLUS LIMITED,114.55, 05/10/2015,Regeneration Enterprise and Sk,Courier Service
GREENWICH SERVICE PLUS LIMITED,114.55, 05/10/2015,Comm Safety and Environment,Courier Service
GREENWICH SERVICE PLUS LIMITED,229.1, 05/10/2015,Comm Safety and Environment,Courier Service
GREENWICH SERVICE PLUS LIMITED,229.1, 05/10/2015,Comm Safety and Environment,Courier Service
GREENWICH SERVICE PLUS LIMITED,229.1, 05/10/2015,Chief Executives,Postage - Royal Mail
GREENWICH SERVICE PLUS LIMITED,229.1, 05/10/2015,Comm Safety and Environment,Courier Service
GREENWICH SERVICE PLUS LIMITED,57.27, 05/10/2015,Adult and Older People,Other Services
GREENWICH SERVICE PLUS LIMITED,57.28, 05/10/2015,Adult and Older People,Other Services
GREENWICH SERVICE PLUS LIMITED,57.27, 05/10/2015,Adult and Older People,Other Services
GREENWICH SERVICE PLUS LIMITED,57.28, 05/10/2015,Adult and Older People,Other Services
GREENWICH SERVICE PLUS LIMITED,114.55, 05/10/2015,Adult and Older People,Other Services
GREENWICH SERVICE PLUS LIMITED,114.55, 05/10/2015,Adult and Older People,Other Services
GREENWICH SERVICE PLUS LIMITED,229.1, 05/10/2015,Regeneration Enterprise and Sk,Postage - Royal Mail
GREENWICH SERVICE PLUS LIMITED,137.46, 05/10/2015,Comm Safety and Environment,Courier Service
