Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum Of Amount
Department for Transport,Department for Transport,02/02/2011,Agency Staff Costs,Transform Licensing Logistics and Sponsorship,WINCANTON GROUP LTD,2000024392,"5,500.00"
Department for Transport,Department for Transport,02/02/2011,Transport Consultancy,Aviation,WSP DEVELOPMENT LTD,2000024384,"1,136.00"
Department for Transport,Department for Transport,03/02/2011,Research,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000024474,"1,748.00"
Department for Transport,Department for Transport,03/02/2011,Data Supply - Transport Direct,Information Management Directorate,ATKINS LTD (TRANSPORT PLAN),2000024472,"8,127.80"
Department for Transport,Department for Transport,03/02/2011,Stationery (Non-stock),Transform Licensing Logistics and Sponsorship,BANNER BUSINESS SERVICES LTD,2000024471,878.8
Department for Transport,Department for Transport,03/02/2011,Stationery (Non-stock),Transport Analysis and Economics,BANNER BUSINESS SERVICES LTD,2000024471,774.6
Department for Transport,Department for Transport,03/02/2011,Payroll Voluntary Deductions,Human Resources,BENENDEN HEALTHCARE (BHA),2000024452,"4,004.00"
Department for Transport,Department for Transport,03/02/2011,Grant in Aid to NDPBs,Finance & Planning,BRB (RESIDUARY) LTD,2000003675,"10,000,000.00"
Department for Transport,Department for Transport,03/02/2011,Recruitment,Human Resources,CABINET OFFICE,2000024434,"5,976.63"
Department for Transport,Department for Transport,03/02/2011,Payroll Voluntary Deductions,Finance & Estates ,CHARITIES AID FOUNDATION,2000003684,756
Department for Transport,Department for Transport,03/02/2011,Payroll Voluntary Deductions,Human Resources,CHARITIES AID FOUNDATION,2000024453,"3,242.82"
Department for Transport,Department for Transport,03/02/2011,Management Consultancy,Transport Security,CHILTERN HOUSE ASSOCIATES LTD,2000024480,883.5
Department for Transport,Department for Transport,03/02/2011,Payroll Voluntary Deductions,Human Resources,CIVIL SERVICE BENEVOLENT FUND,2000024455,837.95
Department for Transport,Department for Transport,03/02/2011,Payroll Voluntary Deductions,Human Resources,CIVIL SERVICE SPORTS CLUB,2000024456,"1,893.75"
Department for Transport,Department for Transport,03/02/2011,Payroll Pensions Costs,Finance & Estates ,CS.AVC@SCOTTISHWIDOWS.CO.UK,2000003682,"2,074.10"
Department for Transport,Department for Transport,03/02/2011,Payroll Pensions Costs,Human Resources,CS.AVC@SCOTTISHWIDOWS.CO.UK,2000024445,"3,923.72"
Department for Transport,Department for Transport,03/02/2011,IT Services  Running Costs,Communication Directorate ,DELIB LIMITED,2000024487,"1,008.00"
Department for Transport,Department for Transport,03/02/2011,Training,Transport Security,DRIVING STANDARDS AGENCY,2000024435,"2,000.00"
Department for Transport,Department for Transport,03/02/2011,Eurotunnel Admin Payment,Rail Strategy & Stakeholder Relations,EUROTUNNEL,2000003668,"3,808,692.65"
Department for Transport,Department for Transport,03/02/2011,Eurotunnel Admin Payment,Rail Strategy & Stakeholder Relations,EUROTUNNEL (EURO PAYMENTS),2000003669,"4,368,830.69"
Department for Transport,Department for Transport,03/02/2011,Car Hire and Leasing,Standalone Units,GOVERNMENT CAR & DESPATCH AGENCY,2000024436,"6,006.46"
Department for Transport,Department for Transport,03/02/2011,Travel Expenses UK,Accident Investigating Branches,HARRY WEEKS TRAVEL & LEISURE GROUP,2000024475,"3,934.86"
Department for Transport,Department for Transport,03/02/2011,Your Rewards - Healthcare (CSH),Human Resources,HEALTH MANAGEMENT LTD,2000024438,805
Department for Transport,Department for Transport,03/02/2011,Payroll Voluntary Deductions,Human Resources,HSA CROWN PLAN,2000024459,828.1
Department for Transport,Department for Transport,03/02/2011,Agency Staff Costs,Finance & Estates ,KELLY SERVICES (UK) LTD,2000024476,949.02
Department for Transport,Department for Transport,03/02/2011,Publications for Resale,Road & Vehicle Safety & Standards,KEYTEC TYPESETTING LTD,2000024477,419
Department for Transport,Department for Transport,03/02/2011,Infrastructure Maintenance,Information Management Directorate,METALOGIX INTERNATIONAL GMBH,2000024433,"11,111.50"
Department for Transport,Department for Transport,03/02/2011,Agency Staff Costs,Finance & Estates ,MICHAEL PAGE INTERNATIONAL,2000024483,814.29
Department for Transport,Department for Transport,03/02/2011,Travel Expenses Overseas,Accident Investigating Branches,MIDLANDS CO-OPERATIVE SOCIETY LTD,2000024485,923
Department for Transport,Department for Transport,03/02/2011,Programme and Project Management Consultancy,Rail Technical & Professional,MOTT MACDONALD,2000003673,"9,213.00"
Department for Transport,Department for Transport,03/02/2011,Payroll National Insurance,Finance & Estates ,NIC,2000003691,"174,130.96"
Department for Transport,Department for Transport,03/02/2011,Payroll National Insurance,Human Resources,NIC,2000024464,"874,017.73"
Department for Transport,Department for Transport,03/02/2011,Your Rewards - Synergy Prepay card,Human Resources,P & MM LIMITED,2000024446,"4,021.00"
Department for Transport,Department for Transport,03/02/2011,Payroll Pensions Costs,Human Resources,PARLIAMENTARY PENSION,2000024439,"1,302.65"
Department for Transport,Department for Transport,03/02/2011,Payroll Voluntary Deductions,Finance & Estates ,PCS UNION,2000003689,752.09
Department for Transport,Department for Transport,03/02/2011,Payroll Voluntary Deductions,Human Resources,PCS UNION,2000024462,"5,814.70"
Department for Transport,Department for Transport,03/02/2011,Payroll Pensions Costs,Finance & Estates ,PCSPS,2000003677,"237,338.54"
Department for Transport,Department for Transport,03/02/2011,Payroll Pensions Costs,Human Resources,PCSPS,2000024488,"1,330,166.89"
Department for Transport,Department for Transport,03/02/2011,Financial Consultancy,Finance & Estates ,PRGX UK LIMITED,2000024486,"3,353.17"
Department for Transport,Department for Transport,03/02/2011,Railway Pension Scheme,Finance & Estates ,RAILWAYS AND BRASS PENSIONS,2000003679,"34,059.35"
Department for Transport,Department for Transport,03/02/2011,Railway Pension Scheme,Human Resources,RAILWAYS AND BRASS PENSIONS,2000024440,"8,220.79"
Department for Transport,Department for Transport,03/02/2011,Programme and Project Management Consultancy,Rail Technical & Professional,RC&M SERVICES (UK) LTD,2000003676,"19,008.00"
Department for Transport,Department for Transport,03/02/2011,Payroll Pensions Costs,Human Resources,SCOTTISH WIDOWS,2000024467,"2,650.19"
Department for Transport,Department for Transport,03/02/2011,Payroll Pensions Costs,Human Resources,STANDARD LIFE,2000024468,"3,139.01"
Department for Transport,Department for Transport,03/02/2011,Payroll Pensions Costs,Human Resources,STANDARD LIFE (PARTNERSHIP),2000024470,617.32
Department for Transport,Department for Transport,03/02/2011,Transport Consultancy,Projects,STEER DAVIES & GLEAVE LTD,2000003674,"23,016.90"
Department for Transport,Department for Transport,03/02/2011,Transport Consultancy,Projects,STEER DAVIES & GLEAVE LTD,2000003674,"14,433.43"
Department for Transport,Department for Transport,03/02/2011,Transport Consultancy,Projects,STEER DAVIES & GLEAVE LTD,2000003674,"3,609.75"
Department for Transport,Department for Transport,03/02/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000024481,881.25
Department for Transport,Department for Transport,03/02/2011,Publications for Resale,Regional & Local Transport Delivery,TEMPO GRAPHIC DESIGN LTD,2000024482,"3,500.00"
Department for Transport,Department for Transport,03/02/2011,Payroll Pensions Costs,Human Resources,TUC/PRUDENTIAL (PP),2000024469,"2,212.53"
Department for Transport,Department for Transport,04/02/2011,Web Design Services,London and Road Demand Management,1 SPATIAL GROUP LIMITED,2000024531,"3,648.11"
Department for Transport,Department for Transport,04/02/2011,Research,Environment and International,AEA TECHNOLOGY PLC,2000024532,"17,764.20"
Department for Transport,Department for Transport,04/02/2011,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000024532,"19,639.00"
Department for Transport,Department for Transport,04/02/2011,Stationery (Non-stock),CHANGE MANAGEMENT,BANNER BUSINESS SERVICES LTD,2000024530,995.29
Department for Transport,Department for Transport,04/02/2011,Stationery (Non-stock),Communication Directorate ,BANNER BUSINESS SERVICES LTD,2000024530,514.07
Department for Transport,Department for Transport,04/02/2011,Stationery (Non-stock),Legal Services Directorate ,BANNER BUSINESS SERVICES LTD,2000024530,"1,329.48"
Department for Transport,Department for Transport,04/02/2011,Stationery (Non-stock),Rail Service Delivery,BANNER BUSINESS SERVICES LTD,2000003707,877.04
Department for Transport,Department for Transport,04/02/2011,Stationery (Non-stock),Road & Vehicle Safety & Standards,BANNER BUSINESS SERVICES LTD,2000024530,"1,248.82"
Department for Transport,Department for Transport,04/02/2011,Subsidies to Private Sector,Maritime and Dangerous Goods,BURNESS CORLETT & PARTNERS,2000024547,"23,288.30"
Department for Transport,Department for Transport,04/02/2011,Agency Staff Costs,Standalone Units,CERTES COMPUTING LTD,2000024545,"5,221.70"
Department for Transport,Department for Transport,04/02/2011,Area Based Grants,Regional & Local Transport Delivery,COMMUNITIES AND LOCAL GOVERNMENT,2000024527,"5,027,545.00"
Department for Transport,Department for Transport,04/02/2011,Area Based Grants,Regional & Local Transport Policy,COMMUNITIES AND LOCAL GOVERNMENT,2000024527,"5,400,000.00"
Department for Transport,Department for Transport,04/02/2011,Area Based Grants,Road & Vehicle Safety & Standards,COMMUNITIES AND LOCAL GOVERNMENT,2000024527,"3,614,314.00"
Department for Transport,Department for Transport,04/02/2011,Programme and Project Management Consultancy,Regional & Local Transport Policy,COMMUNITY TRANSPORT ASSOCIATION,2000024543,"6,540.00"
Department for Transport,Department for Transport,04/02/2011,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,D B SHENKER RAIL (UK) LIMITED,2000024544,"33,670.64"
Department for Transport,Department for Transport,04/02/2011,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,D B SHENKER RAIL (UK) LIMITED,2000024544,"17,554.03"
Department for Transport,Department for Transport,04/02/2011,Services provided by OGDs,Finance & Planning,GOVERNMENT ACTUARY'S DEPARTMENT,2000003711,"12,798.75"
Department for Transport,Department for Transport,04/02/2011,Grant in Aid to NDPBs,Rail Strategy & Stakeholder Relations,HS2,2000003709,"903,137.00"
Department for Transport,Department for Transport,04/02/2011,Training,Regional & Local Transport Policy,NATIONAL SCHOOL OF GOVERNMENT,2000024528,"2,200.00"
Department for Transport,Department for Transport,04/02/2011,Small Software,Communication Directorate ,OPEN OBJECTS SOFTWARE LTD,2000024535,"2,016.00"
Department for Transport,Department for Transport,04/02/2011,Periodicals & Subscriptions,Maritime and Dangerous Goods,PRB ASSOCIATES LIMITED,2000024536,"1,200.00"
Department for Transport,Department for Transport,04/02/2011,Programme and Project Management Consultancy,Rail Technical & Professional,RED PERSONNEL LTD,2000003710,678.68
Department for Transport,Department for Transport,04/02/2011,Agency Staff Costs,Transport Security,REED SPECIALIST RECRUITMENT LTD,2000024538,837.22
Department for Transport,Department for Transport,04/02/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000024540,"2,573.25"
Department for Transport,Department for Transport,04/02/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000024540,"1,296.00"
Department for Transport,Department for Transport,04/02/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000024540,"1,860.02"
Department for Transport,Department for Transport,04/02/2011,Cap Grant to Priv Sect - Persons & NPISH,Environment and International,THE CARBON TRUST (BIOFUELS),2000024546,"650,000.00"
Department for Transport,Department for Transport,04/02/2011,Training,Accident Investigating Branches,THE FIRE SERVICE COLLEGE,2000024548,"2,630.00"
Department for Transport,Department for Transport,04/02/2011,Transport Consultancy,Projects,THE NICHOLS GROUP,2000003708,"4,000.00"
Department for Transport,Department for Transport,04/02/2011,Research,Regional & Local Transport Delivery,WSP DEVELOPMENT LTD,2000024541,"9,489.30"
Department for Transport,Department for Transport,04/02/2011,Research,Regional & Local Transport Policy,WSP DEVELOPMENT LTD,2000024541,"5,728.72"
Department for Transport,Department for Transport,07/02/2011,Telephone charges,Transport Security,AIRWAVE SOLUTIONS LTD,2000024615,"2,688.31"
Department for Transport,Department for Transport,07/02/2011,Telephone charges,Transport Security,AIRWAVE SOLUTIONS LTD,2000024615,"2,745.51"
Department for Transport,Department for Transport,07/02/2011,Motorcycle Fleet Fuel,Corporate Support Function,ARVAL,2000024616,"14,818.54"
Department for Transport,Department for Transport,07/02/2011,Stationery (Non-stock),INE Group ,BANNER BUSINESS SERVICES LTD,2000024614,572.81
Department for Transport,Department for Transport,07/02/2011,Storage & Distribution,PLEASE CHECK DIRECTORATE,CAMBERTOWN LIMITED,2000003724,500
Department for Transport,Department for Transport,07/02/2011,Capital Grant to Priv Sector - Companies,Regional & Local Transport Policy,EAST YORKSHIRE MOTOR SERVICES LTD,2000024627,"198,600.00"
Department for Transport,Department for Transport,07/02/2011,Small Software,Accident Investigating Branches,EURONAV LTD,2000024628,"2,514.00"
Department for Transport,Department for Transport,07/02/2011,Management Consultancy,Finance & Planning,EVERSHEDS LLP,2000003720,"4,384.00"
Department for Transport,Department for Transport,07/02/2011,Agency Staff Costs,Standalone Units,EVOLVE BUSINESS CONSULTANCY LTD,2000024618,"21,719.88"
Department for Transport,Department for Transport,07/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,GO SKILLS LIMITED,2000024623,"286,650.00"
Department for Transport,Department for Transport,07/02/2011,Current Grants to LAs within AEF/AEG,London and Road Demand Management,GREATER LONDON AUTHORITY,2000024629,"133,860,000.00"
Department for Transport,Department for Transport,07/02/2011,Research,Aviation,INSTITUTE OF OCCUPATIONAL MEDICINE,2000024626,"5,368.21"
Department for Transport,Department for Transport,07/02/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000003722,"1,296.00"
Department for Transport,Department for Transport,07/02/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000003722,"1,620.00"
Department for Transport,Department for Transport,07/02/2011,Printing,Accident Investigating Branches,MWL PRINT GROUP LTD,2000024620,"2,780.00"
Department for Transport,Department for Transport,07/02/2011,Training,Transport Security,NATIONAL SCHOOL OF GOVERNMENT,2000024613,750
Department for Transport,Department for Transport,07/02/2011,Capital Grant to Priv Sector - Companies,Finance & Planning,NETWORK RAIL INFRASTUCTURE LTD,2000003723,"261,182,574.36"
Department for Transport,Department for Transport,07/02/2011,Support Services,Aviation,PROF JOYCE DARGAY,2000024624,750
Department for Transport,Department for Transport,07/02/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000024621,"7,332.00"
Department for Transport,Department for Transport,08/02/2011,Research,Road & Vehicle Safety & Standards,AECOM LIMITED,2000024700,"21,039.09"
Department for Transport,Department for Transport,08/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003748,"2,565.00"
