Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,Department for Transport,02/03/2011,PTOC - Cp3 Fixed Track Access,Rail Service Delivery,CROSS COUNTRY TRAINS LTD,2000003995,"-12,897,301.00"
Department for Transport,Department for Transport,02/03/2011,PTOC - SPRS Indexation Pay,Rail Service Delivery,CROSS COUNTRY TRAINS LTD,2000003995,"939,083.56"
Department for Transport,Department for Transport,02/03/2011,RTOC - Basic Franchise Rec,Rail Service Delivery,CROSS COUNTRY TRAINS LTD,2000003995,"-148,413.00"
Department for Transport,Department for Transport,02/03/2011,RTOC - Deed Of Amendment,Rail Service Delivery,CROSS COUNTRY TRAINS LTD,2000003995,"-15,000.00"
Department for Transport,Department for Transport,02/03/2011,Research,Transport Analysis and Economics,ATKINS LTD (MANAGEMENT CONSULTANTS),2000026882,"17,170.00"
Department for Transport,Department for Transport,02/03/2011,Transport Consultancy,Transport Analysis and Economics,ATKINS LTD (MANAGEMENT CONSULTANTS),2000026882,"4,670.00"
Department for Transport,Department for Transport,02/03/2011,Training,Accident Investigating Branches,ATKINS LTD (TRANSPORT PLANNING),2000026883,422.02
Department for Transport,Department for Transport,02/03/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000026884,"2,935.04"
Department for Transport,Department for Transport,02/03/2011,Contract Cleaning,Accident Investigating Branches,CLEAN SLATE,2000026887,"1,682.45"
Department for Transport,Department for Transport,02/03/2011,Gas,Finance & Estates ,CORONA ENERGY RETAIL 4 LTD,2000026888,"3,145.20"
Department for Transport,Department for Transport,02/03/2011,Gas,Finance & Estates ,CORONA ENERGY RETAIL 4 LTD,2000026888,"2,542.90"
Department for Transport,Department for Transport,02/03/2011,Gas,Finance & Estates ,CORONA ENERGY RETAIL 4 LTD,2000026888,"1,511.23"
Department for Transport,Department for Transport,02/03/2011,Car Hire and Leasing,Human Resources,CYCLESCHEME LTD,2000026889,"1,833.33"
Department for Transport,Department for Transport,02/03/2011,Research,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000026890,"37,657.00"
Department for Transport,Department for Transport,02/03/2011,Research,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000026890,"-41,157.00"
Department for Transport,Department for Transport,02/03/2011,Research,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000026890,"3,500.00"
Department for Transport,Department for Transport,02/03/2011,Research,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000026890,"41,157.00"
Department for Transport,Department for Transport,02/03/2011,Transport Consultancy,Regional & Local Transport,HALCROW GROUP LTD,2000026891,"1,182.38"
Department for Transport,Department for Transport,02/03/2011,Building Service Charges,Accident Investigating Branches,MAX INDUSTRIAL GP LTD,2000026892,229.2
Department for Transport,Department for Transport,02/03/2011,Rent - L&B (non-PFI),Accident Investigating Branches,MAX INDUSTRIAL GP LTD,2000026892,"3,870.00"
Department for Transport,Department for Transport,02/03/2011,Rent - L&B (non-PFI),Accident Investigating Branches,INNES ENGLAND LTD,2000026893,"1,625.00"
Department for Transport,Department for Transport,02/03/2011,Research,Road & Vehicle Safety & Standards,THE INSTITUTION OF HIGHWAYS,2000026894,"1,932.04"
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,Regional & Local Transport,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000026895,"6,920.00"
Department for Transport,Department for Transport,02/03/2011,Data Supply - Transport Direct,Information Management Directorate,RAIL SETTLEMENT PLAN,2000026896,"5,837.93"
Department for Transport,Department for Transport,02/03/2011,Small Software,Maritime and Dangerous Goods,SCIENTIFIC INFORMATION RETRIEVAL,2000026897,900
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,728.4
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,728.4
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,728.4
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,728.4
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,825
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,"40,414.52"
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,942
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,"20,637.19"
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,942
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,900
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,728.4
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,900
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,900
Department for Transport,Department for Transport,02/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000026898,900
Department for Transport,Department for Transport,02/03/2011,Other Current Grants to NDPBs (in budgets),Road & Vehicle Safety & Standards,ROADSAFE,2000026900,"62,500.00"
Department for Transport,Department for Transport,02/03/2011,Electricity,Accident Investigating Branches,MINISTRY OF DEFENCE,2000026901,"1,969.84"
Department for Transport,Department for Transport,02/03/2011,IT Consultancy,Information Management Directorate,CESG,2000026905,"6,933.60"
Department for Transport,Department for Transport,02/03/2011,Current Grants to Overseas,XXX CHECK PROFIT CENTRE XXX,ICAO (TEL SAP HELPDESK),2000026907,"9,610.80"
Department for Transport,Department for Transport,03/03/2011,Eurotunnel Admin Payment,Rail Strategy & Stakeholder Relations,EUROTUNNEL,2000004008,"3,757,619.01"
Department for Transport,Department for Transport,03/03/2011,Eurotunnel Admin Payment,Rail Strategy & Stakeholder Relations,EUROTUNNEL (EURO PAYMENTS),2000004009,"4,261,196.65"
Department for Transport,Department for Transport,03/03/2011,Transport Consultancy,Projects,JACOBS ENGINEERING U.K. LTD,2000004027,"61,704.77"
Department for Transport,Department for Transport,03/03/2011,Management Consultancy,Projects,KINGS CROSS CENTRAL,2000004029,"96,000.00"
Department for Transport,Department for Transport,03/03/2011,Medical Advisory Service,Human Resources,HEALTH MANAGEMENT LTD,2000026953,"3,383.00"
Department for Transport,Department for Transport,03/03/2011,Your Rewards - Healthcare (CSH),Human Resources,HEALTH MANAGEMENT LTD,2000026953,805
Department for Transport,Department for Transport,03/03/2011,Your Rewards - Synergy Prepay card,Human Resources,P & MM LIMITED,2000026961,"3,921.00"
Department for Transport,Department for Transport,03/03/2011,Capital Grants to NDPBs & CG,London and Road Demand Management,Dept Culture Media and Sport,2000026987,"42,172,325.26"
Department for Transport,Department for Transport,03/03/2011,Secondments,INE Group ,COMMUNITIES AND LOCAL GOVERNMENT,2000026988,"1,708.89"
Department for Transport,Department for Transport,03/03/2011,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000026992,"20,500.00"
Department for Transport,Department for Transport,03/03/2011,Management Consultancy,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000026993,"2,520.00"
Department for Transport,Department for Transport,03/03/2011,Research,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000026993,"5,087.00"
Department for Transport,Department for Transport,03/03/2011,Computer equipment,Accident Investigating Branches,ESSENTIAL COMPUTING LTD,2000026996,"1,800.00"
Department for Transport,Department for Transport,03/03/2011,Agency Staff Costs,Transform Licensing Logistics and Sponsorship,ROBERT HALF INTERNATIONAL,2000026999,"1,568.16"
Department for Transport,Department for Transport,03/03/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000027000,"16,468.88"
Department for Transport,Department for Transport,03/03/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000027000,"20,540.62"
Department for Transport,Department for Transport,03/03/2011,Research,Transport Security,TRANSPORT RESEARCH LABORATORY,2000027000,"30,717.44"
Department for Transport,Department for Transport,03/03/2011,IT Consultancy,Information Management Directorate,UGCS LTD,2000027001,"15,600.00"
Department for Transport,Department for Transport,03/03/2011,Management Consultancy,London and Road Demand Management,VIDEO SCIENCE LTD,2000027002,"2,230.20"
Department for Transport,Department for Transport,03/03/2011,Telephone charges,Information Management Directorate,BT PAYMENT SERVICES LTD,2000027003,748.32
Department for Transport,Department for Transport,03/03/2011,Curr Grant to Priv Sect-Persons & NPISH,Environment and International,ENERGY SAVING TRUST,2000027004,"439,355.00"
Department for Transport,Department for Transport,03/03/2011,Books,Legal Services Directorate ,WILDY AND SONS LTD,2000027005,663.1
Department for Transport,Department for Transport,03/03/2011,Cap Grant to Priv Sect - Persons & NPISH,Environment and International,THE CARBON TRUST (BIOFUELS),2000027006,"600,000.00"
Department for Transport,Department for Transport,03/03/2011,Curr Grant to Priv Sect-Persons & NPISH,Environment and International,LOW CARBON VEHICLE PARTNERSHIP,2000027007,"51,986.00"
Department for Transport,Department for Transport,03/03/2011,Grant in Aid to NDPBs,Finance & Estates ,"HSBC BANK PLC, LONDON",2000027008,"28,050,000.00"
Department for Transport,Department for Transport,03/03/2011,Management Consultancy,Regional & Local Transport,CYCLE CITY GUIDES,2000027009,"117,972.00"
Department for Transport,Department for Transport,03/03/2011,Subsidies to Private Sector,Maritime and Dangerous Goods,I O DESIGN LTD,2000027010,"2,358.00"
Department for Transport,Department for Transport,03/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Policy,LONDON BUSES SERVICES LIMITED,2000027011,"1,600,000.00"
Department for Transport,Department for Transport,03/03/2011,Subsidies to Private Sector,Maritime and Dangerous Goods,MARINE DATA LTD,2000027012,"1,890.00"
Department for Transport,Department for Transport,03/03/2011,Land & Buildings (excl Dwellings) Capital Cost,Finance & Estates ,ISG INTERIOR EXTERIOR PLC,2000027014,"25,575.01"
Department for Transport,Department for Transport,03/03/2011,Land & Buildings (excl Dwellings) Capital Cost,Finance & Estates ,KIER REGIONAL LTD,2000027015,"434,722.17"
Department for Transport,Department for Transport,04/03/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000004046,"3,061.32"
Department for Transport,Department for Transport,04/03/2011,Legal Consultancy,Projects,C M S CAMERON MCKENNA,2000004047,"4,408.62"
Department for Transport,Department for Transport,04/03/2011,Publicity,PLEASE CHECK DIRECTORATE,FOLIO CREATIVE COMMUNICATION LTD,2000004048,"3,200.00"
Department for Transport,Department for Transport,04/03/2011,Programme and Project Management Consultancy,Rail Technical & Professional,MOTT MACDONALD,2000004049,"7,470.00"
Department for Transport,Department for Transport,04/03/2011,Transport Consultancy,Rail Technical & Professional,MOTT MACDONALD,2000004049,"27,473.00"
Department for Transport,Department for Transport,04/03/2011,Publications for Resale,PLEASE CHECK DIRECTORATE,TEMPO GRAPHIC DESIGN LTD,2000004050,"4,048.00"
Department for Transport,Department for Transport,04/03/2011,PTOC - Other SPRS,Rail Service Delivery,SOUTHERN,2000004052,"337,825.33"
Department for Transport,Department for Transport,04/03/2011,Capital Grant to Priv Sector - Companies,Projects,STAGECOACH SOUTH WESTERN TRAIN,2000004053,"126,115.50"
Department for Transport,Department for Transport,04/03/2011,Treasury Solicitors,Legal Services Directorate ,TREASURY SOLICITOR,2000027063,"-4,821.03"
Department for Transport,Department for Transport,04/03/2011,Area Based Grants,Regional & Local Transport Delivery,COMMUNITIES AND LOCAL GOVERNMENT,2000027064,"5,027,542.00"
Department for Transport,Department for Transport,04/03/2011,Area Based Grants,Regional & Local Transport Policy,COMMUNITIES AND LOCAL GOVERNMENT,2000027064,"5,400,000.00"
Department for Transport,Department for Transport,04/03/2011,Area Based Grants,Road & Vehicle Safety & Standards,COMMUNITIES AND LOCAL GOVERNMENT,2000027064,"3,614,314.00"
Department for Transport,Department for Transport,04/03/2011,Stationery (Non-stock),Aviation,BANNER BUSINESS SERVICES LTD,2000027066,"1,986.17"
Department for Transport,Department for Transport,04/03/2011,Stationery (Non-stock),Maritime and Dangerous Goods,BANNER BUSINESS SERVICES LTD,2000027066,553.03
Department for Transport,Department for Transport,04/03/2011,Stationery (Non-stock),Regional & Local Transport,BANNER BUSINESS SERVICES LTD,2000027066,560.88
Department for Transport,Department for Transport,04/03/2011,Agency Staff Costs,Finance & Estates ,HAYS PERSONNEL SERVICE LTD,2000027067,"1,440.00"
Department for Transport,Department for Transport,04/03/2011,Agency Staff Costs,Human Resources,HAYS PERSONNEL SERVICE LTD,2000027067,"4,104.00"
Department for Transport,Department for Transport,04/03/2011,Support Services,Maritime and Dangerous Goods,ENVIRONMENTAL SCIENTIFICS GROUP LTD,2000027068,"2,678.40"
Department for Transport,Department for Transport,04/03/2011,Support Services,Maritime and Dangerous Goods,ENVIRONMENTAL SCIENTIFICS GROUP LTD,2000027068,"1,785.60"
Department for Transport,Department for Transport,04/03/2011,Management Consultancy,Audit and Risk Assurance,DELOITTE & TOUCHE LLP,2000027069,"73,623.91"
Department for Transport,Department for Transport,04/03/2011,Data Supply - Transport Direct,Information Management Directorate,ATKINS LTD (TRANSPORT PLAN),2000027070,"8,127.80"
Department for Transport,Department for Transport,04/03/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000027071,538.2
Department for Transport,Department for Transport,04/03/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000027071,969.45
Department for Transport,Department for Transport,04/03/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000027071,"2,165.00"
Department for Transport,Department for Transport,04/03/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000027071,"1,512.75"
Department for Transport,Department for Transport,04/03/2011,Support Services,Aviation,BAE SYSTEMS (OPERATIONS) LTD,2000027072,"27,916.24"
Department for Transport,Department for Transport,04/03/2011,Small Software,Road & Vehicle Safety & Standards,BUCHANAN COMPUTING LTD,2000027073,914.4
Department for Transport,Department for Transport,04/03/2011,Publicity,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000027075,"208,407.97"
Department for Transport,Department for Transport,04/03/2011,Publicity,Standalone Units,CENTRAL OFFICE OF INFORMATION,2000027075,"24,100.00"
Department for Transport,Department for Transport,04/03/2011,Contract Cleaning,Accident Investigating Branches,CLIENTCARE CLEANING LTD,2000027077,624
Department for Transport,Department for Transport,04/03/2011,Veh Hire/Lse st <1yr,INE Group ,CLYDE TRAVEL,2000027078,"-3,803.06"
Department for Transport,Department for Transport,04/03/2011,Agency Staff Costs,Information Management Directorate,ELAN COMPUTING LTD,2000027080,"1,630.14"
Department for Transport,Department for Transport,04/03/2011,Agency Staff Costs,Information Management Directorate,ELAN COMPUTING LTD,2000027080,"12,387.12"
Department for Transport,Department for Transport,04/03/2011,First Aid,Human Resources,THE FARADAY PARTNERSHIP,2000027082,600
Department for Transport,Department for Transport,04/03/2011,Transport Consultancy,Regional & Local Transport,HALCROW GROUP LTD,2000027083,"4,377.86"
Department for Transport,Department for Transport,04/03/2011,Agency Staff Costs,Transport Security,JOSEPHINE SAMMONS LTD,2000027086,"1,203.91"
Department for Transport,Department for Transport,04/03/2011,Rent - L&B (non-PFI),Accident Investigating Branches,TRUSTEES OF MAJOR & BARNES LTD,2000027088,"36,600.00"
Department for Transport,Department for Transport,04/03/2011,Property Maintenance,Accident Investigating Branches,NORRIS & GARDINER,2000027089,578.18
Department for Transport,Department for Transport,04/03/2011,Transport Consultancy,Regional & Local Transport,OVE ARUP & PARTNERS,2000027090,"46,969.49"
Department for Transport,Department for Transport,04/03/2011,Stock stationery issued,Maritime and Dangerous Goods,PRINT STATION (HASTINGS) LTD,2000027091,756
Department for Transport,Department for Transport,04/03/2011,Agency Staff Costs,Transport Security,REED SPECIALIST RECRUITMENT LTD,2000027092,853.63
Department for Transport,Department for Transport,04/03/2011,Services provided by OGDs,Maritime and Dangerous Goods,SEAFISH INDUSTRY AUTHORITY,2000027093,"250,000.00"
Department for Transport,Department for Transport,04/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TRAFFICMASTER PLC,2000027094,"84,950.02"
Department for Transport,Department for Transport,04/03/2011,Research,Accident Investigating Branches,TRANSPORT RESEARCH LABORATORY,2000027095,"2,043.51"
Department for Transport,Department for Transport,04/03/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000027095,"16,033.22"
Department for Transport,Department for Transport,04/03/2011,Small Software,Information Management Directorate,TRAPEZE GROUP (UK) LTD,2000027096,"18,240.00"
Department for Transport,Department for Transport,04/03/2011,Telephone charges,Accident Investigating Branches,VODAFONE LTD,2000027099,"1,556.12"
Department for Transport,Department for Transport,04/03/2011,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,DIRECT RAIL SERVICES LTD,2000027100,"59,385.00"
