"#","Page","Popularity","Impressions","Sessions","Re-Visits"
"214","money tax and benefits > en > benefitstaxcreditsandothersupport/beginnersguidetobenefits/ dg_10014073 applying for a national insurance number : directgov - money, tax and benefits",0.00,"8,391","6,919",0.18
"215","education and learning > en > universityandhighereducation/studentfinance/gettingstarted/ dg_171573 how much will university or college cost? tuition fees and other expenses : directgov - education and learning",0.00,"8,357","7,112",0.16
"216","education and learning > en > universityandhighereducation/studentfinance/gettingstarted/ dg_171580 submitting evidence to support a student finance application : directgov - education and learning",0.00,"8,309","6,350",0.24
"217","help > en > sitemap/  site index : directgov - help",0.00,"8,252","5,118",0.39
"218","employment > en > employees/sicknessabsence/ dg_10027238 company sick pay rights : directgov - employment",0.00,"8,183","6,163",0.25
"219","motoring > en > driverlicensing/endorsementsanddisqualifications/ dg_10022425 when endorsements and penalty points can be removed from a driving licence : directgov - motoring",0.00,"8,143","6,899",0.16
"220","caring for someone > en > moneymatters/carersallowance/ dg_10012525 carer's allowance - eligibility : directgov - caring for someone",0.00,"8,119","6,753",0.18
"221","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022084 exchanging your paper driving licence for a photocard : directgov - motoring",0.00,"8,009","6,331",0.22
"222","do it online > en >  dg_4018268 replace or apply for a passport : directgov - do it online",0.00,"7,997","7,103",0.12
"223","employment > en > healthandsafetyatwork/  health and safety at work : directgov - employment",0.00,"7,980","5,379",0.33
"224","directories > en > usefulcontactsbycategory/motoringcontacts/ dg_178028 dvla - driver licensing enquiries : directgov - directories",0.00,"7,961","6,596",0.18
"225","parents > en > moneyandworkentitlements/workandfamilies/pregnancyandmaternityrights/  pregnancy and maternity rights : directgov - parents",0.00,"7,909","5,134",0.36
"226","money tax and benefits > en > taxes/workingandpayingtax/ dg_10013512 paye forms: p45, p46, p60, p11d : directgov - money, tax and benefits",0.00,"7,885","6,977",0.12
"227","education and learning > en > qualificationsexplained/ dg_10039017 qualifications: what the different levels mean : directgov - education and learning",0.00,"7,801","6,372",0.19
"228","environment and greener living > en >   environment and greener living : directgov",0.00,"7,774","6,079",0.23
"229","education and learning > en > universityandhighereducation/studentfinance/ dg_186107 full-time student finance: frequently asked questions : directgov - education and learning",0.00,"7,701","6,506",0.16
"230","travel and transport > en > highwaycode/driversandriders/  drivers and riders : directgov - travel and transport",0.00,"7,681","4,797",0.38
"231","money tax and benefits > en > benefitstaxcreditsandothersupport/illorinjured/ dg_10018913 incapacity benefit : directgov - money, tax and benefits",0.00,"7,676","6,299",0.19
"232","pensions and retirement planning > en > statepension/ dg_188551 state pension and pension credit rate: how much can you get? : directgov - pensions and retirement planning",0.00,"7,673","6,060",0.22
"233","money tax and benefits > en > taxes/beginnersguidetotax/ dg_10010529 stamp duty: the basics : directgov - money, tax and benefits",0.00,"7,571","6,430",0.16
"234","do it online > en >  dg_4017970 state pension forecast e-service : directgov - do it online",0.00,"7,566","5,697",0.25
"235","employment > en > healthandsafetyatwork/ dg_4016686 employers' health and safety responsibilities : directgov - employment",0.00,"7,565","6,260",0.18
"236","employment > en > jobseekers/contactjobcentreplus/  contact jobcentre plus : directgov - employment",0.00,"7,513","6,308",0.17
"237","employment > en > employees/timeoffandholidays/  time off and holidays : directgov - employment",0.00,"7,456","5,479",0.27
"238","motoring > en > motoringtransactions/beforeyouapplyb/ dg_066956 apply online to renew your driving licence at age 70 or over : directgov - motoring",0.00,"7,417","5,331",0.29
"239","motoring > en > buyingandsellingavehicle/adviceonbuyingandsellingavehicle/ dg_10014436 vehicle check services : directgov - motoring",0.00,"7,415","6,702",0.11
"240","motoring > en > learnerandnewdrivers/theorytest/ dg_4022531 do you need to take a driving theory test? : directgov - motoring",0.00,"7,359","6,311",0.15
"241","travel and transport > en > passports/applicationinformation/ dg_174152 passport photos and who can certify them : directgov - travel and transport",0.00,"7,353","6,216",0.16
"242","travel and transport > en > passports/applicationinformation/ dg_174154 the post office check & send service : directgov - travel and transport",0.00,"7,348","6,243",0.16
"243","travel and transport > en > passports/applyingforaneworrenewedchildpassport/ dg_174105 who can apply for a child passport and when : directgov - travel and transport",0.00,"7,325","5,765",0.22
"244","employment > en > employees/workinghoursandtimeoff/  working hours : directgov - employment",0.00,"7,324","4,771",0.36
"245","do it online > en >  dg_4018866 money, tax and benefits : directgov - do it online",0.00,"7,271","5,837",0.21
"246","home and community > en > privaterenting/tenancies/  tenancies, deposits and rent : directgov - home and community",0.00,"7,263","5,039",0.31
"247","money tax and benefits > en > taxes/contactordealwithhmrc/ dg_10014875 how to contact hm revenue and customs : directgov - money, tax and benefits",0.00,"7,200","6,528",0.10
"248","government citizens and rights > en > other   birth, marriage and death certificates : directgov - government, citizens and rights",0.00,"7,150","5,406",0.25
"249","directories > en >  dg_10011319 driving standards agency (dsa) - practical test enquiries : directgov - directories",0.00,"7,112","5,985",0.17
"250","travel and transport > en > passports/applicationinformation/ dg_174151 who can countersign your application? : directgov - travel and transport",0.00,"7,108","6,478",0.10
"251","disabled people > en > financialsupport/ dg_10011925 disability living allowance - rates and how to claim : directgov - disabled people",0.00,"7,069","5,742",0.20
"252","government citizens and rights > en > other   family history and research : directgov - government, citizens and rights",0.00,"7,046","5,404",0.24
"253","money tax and benefits > en > taxes/beginnersguidetotax/vat/ dg_190918 vat basics for consumers : directgov - money, tax and benefits",0.00,"7,006","6,487",0.08
"254","pensions and retirement planning > en > statepension/ dg_183754 state pensions - an introduction : directgov - pensions and retirement planning",0.00,"6,926","5,518",0.21
"255","motoring > en > motoringtransactions/beforeyouapplya/ dg_066954 apply online to exchange your paper driving licence for a photocard driving licence : directgov - motoring",0.00,"6,912","5,648",0.19
"256","education and learning > en > universityandhighereducation/studentfinance/applyingforthefirsttime/ dg_171557 maintenance grant: help with living costs : directgov - education and learning",0.00,"6,872","4,909",0.29
"257","motoring > en > buyingandsellingavehicle/registeringavehicle/  registering a vehicle : directgov - motoring",0.00,"6,869","4,829",0.30
"258","motoring > en > buyingandsellingavehicle/registeringavehicle/ dg_4022311 how to notify dvla if you sell your vehicle : directgov - motoring",0.00,"6,850","5,455",0.21
"259","money tax and benefits > en > benefitstaxcreditsandothersupport/on_a_low_income/ dg_10034876 benefits for higher education students with low incomes : directgov - money, tax and benefits",0.00,"6,807","5,507",0.20
"260","travel and transport > en > passports/loststolenordamagedpassports/ dg_174162 report a lost or stolen passport : directgov - travel and transport",0.00,"6,793","4,791",0.30
"261","motoring > en > learnerandnewdrivers/theorytest/ dg_4022536 how to prepare for your theory test : directgov - motoring",0.00,"6,751","5,818",0.15
"262","money tax and benefits > en > taxes/beginnersguidetotax/  taxes and national insurance : directgov - money, tax and benefits",0.00,"6,740","5,298",0.22
"263","motoring > en > owningavehicle/mot/ dg_4022109 the mot test for your vehicle : directgov - motoring",0.00,"6,714","5,539",0.18
"264","education and learning > en > universityandhighereducation/studentfinance/gettingstarted/ dg_171577 student finance: how and when to apply : directgov - education and learning",0.00,"6,713","5,416",0.20
"265","money tax and benefits > en > benefitstaxcreditsandothersupport/beginnersguidetobenefits/ dg_4016267 changes that affect your benefit : directgov - money, tax and benefits",0.00,"6,693","5,672",0.16
"266","education and learning > en > adultlearning/financialhelpforadultlearners/  financial help : directgov - education and learning",0.00,"6,642","4,417",0.34
"267","employment > en > employees/nationalminimumwage/  national minimum wage : directgov - employment",0.00,"6,641","5,040",0.25
"268","home and community > en > yourlocalcouncilandcounciltax/counciltax/ dg_743 council tax : directgov - home and community",0.00,"6,640","5,562",0.17
"269","education and learning > en > adultlearning/financialhelpforadultlearners/careerdevelopmentloans/  professional and career development loans : directgov - education and learning",0.00,"6,637","4,877",0.27
"270","motoring > en > learnerandnewdrivers/practicaltest/ dg_186585 how to book your theory and practical driving tests : directgov - motoring",0.00,"6,601","6,003",0.10
"271","parents > en > moneyandworkentitlements/workandfamilies/  work and families : directgov - parents",0.00,"6,585","4,760",0.28
"272","do it online > en >  dg_4017252 check your council tax band : directgov - do it online",0.00,"6,579","6,093",0.08
"273","money tax and benefits > en > taxes/  taxes : directgov - money, tax and benefits",0.00,"6,565","5,077",0.23
"274","travel and transport > en > highwaycode/ dg_069856 general rules, techniques and advice for all drivers and riders (103-158) : directgov - travel and transport",0.00,"6,557","3,391",0.49
"275","money tax and benefits > en > benefitstaxcreditsandothersupport/benefitfraud/ dg_10014876 reporting benefit fraud : directgov - money, tax and benefits",0.00,"6,516","5,872",0.11
"276","employment > en > employees/employmentcontractsandconditions/ dg_10028079 changes to employment contracts : directgov - employment",0.00,"6,508","4,593",0.30
"277","motoring > en > buyingandsellingavehicle/registeringavehicle/ dg_4022310 how to notify dvla if you buy a new or used vehicle : directgov - motoring",0.00,"6,474","5,038",0.23
"278","parents > en > schoolslearninganddevelopment/examstestsandthecurriculum/ dg_4016665 understanding the national curriculum : directgov - parents",0.00,"6,465","5,043",0.23
"279","money tax and benefits > en > benefitstaxcreditsandothersupport/beginnersguidetobenefits/ dg_4016266 how to claim benefit : directgov - money, tax and benefits",0.00,"6,398","5,529",0.14
